10,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
10,"t","Table 1.  Farms, Land, and Value of Sales of Organic Agricultural Products – Certified and Exempt Organic Farms:  2014 (continued)"
10,"t","[For meaning of abbreviations and symbols, see introductory text.]"
10,"h","","","","","","","",""
10,"h","Item","","United States","Alabama","Alaska","Arizona","Arkansas","California"
10,"h","","","","","","","",""
10,"d","VALUE OF SALES OF ORGANICALLY","",,,,,,
10,"d"," PRODUCED COMMODITIES","",,,,,,
10,"d","","",,,,,,
10,"d","Total value of organic agricultural","",,,,,,
10,"d"," products sold","farms",14093,28,17,61,34,2805
10,"d","","$1,000",5456732,1396,929,93465,"(D)",2231241
10,"d","  By value of sales:","",,,,,,
10,"d","    Less than $1,000 (see text)","farms",631,6,2,4,2,90
10,"d","","$1,000",318,4,"(D)",2,"(D)",43
10,"d","    $1,000 to $2,499","farms",749,-,3,-,2,129
10,"d","","$1,000",1266,-,6,-,"(D)",223
10,"d","    $2,500 to $4,999","farms",941,6,5,2,3,180
10,"d","","$1,000",3487,22,22,"(D)",11,666
10,"d","    $5,000 to $9,999","farms",1049,5,-,7,6,244
10,"d","","$1,000",7553,44,-,56,38,1745
10,"d","    $10,000 to $19,999","farms",1240,4,4,9,2,253
10,"d","","$1,000",18015,68,61,141,"(D)",3588
10,"d","","",,,,,,
10,"d","    $20,000 to $24,999","farms",483,-,-,1,-,99
10,"d","","$1,000",10715,-,-,"(D)",-,2210
10,"d","    $25,000 to $39,999","farms",942,3,-,5,8,183
10,"d","","$1,000",30387,104,-,167,277,5919
10,"d","    $40,000 to $49,999","farms",592,-,-,-,2,124
10,"d","","$1,000",26325,-,-,-,"(D)",5490
10,"d","    $50,000 to $99,999","farms",1825,2,-,2,3,311
10,"d","","$1,000",130453,"(D)",-,"(D)",289,22360
10,"d","    $100,000 to $249,999","farms",2589,-,1,4,5,392
10,"d","","$1,000",419801,-,"(D)",628,920,62487
10,"d","","",,,,,,
10,"d","    $250,000 to $499,999","farms",1381,1,2,5,-,234
10,"d","","$1,000",479463,"(D)","(D)",1526,-,83004
10,"d","    $500,000 or more","farms",1671,1,-,22,1,566
10,"d","","$1,000",4328949,"(D)",-,90724,"(D)",2043506
10,"d","","",,,,,,
10,"d","  Crops including nursery and greenhouse","farms",11715,27,17,59,32,2639
10,"d","","$1,000",3291940,"(D)","(D)",85621,"(D)",1659305
10,"d","  Livestock and poultry","farms",3513,1,-,2,1,197
10,"d","","$1,000",660340,"(D)",-,"(D)","(D)",271354
10,"d","  Livestock and poultry products","farms",3154,1,1,4,7,171
10,"d","","$1,000",1504452,"(D)","(D)","(D)","(D)",300582
10,"c",""
10,"c","--continued"
