11,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
11,"t","Table 1.  Farms, Land, and Value of Sales of Organic Agricultural Products – Certified and Exempt Organic Farms:  2014 (continued)"
11,"t","[For meaning of abbreviations and symbols, see introductory text.]"
11,"h","","","","","","","",""
11,"h","Item","","Colorado","Connecticut","Delaware","Florida","Georgia","Hawaii"
11,"h","","","","","","","",""
11,"d","VALUE OF SALES OF ORGANICALLY","",,,,,,
11,"d"," PRODUCED COMMODITIES","",,,,,,
11,"d","","",,,,,,
11,"d","Total value of organic agricultural","",,,,,,
11,"d"," products sold","farms",157,122,10,166,117,166
11,"d","","$1,000",146799,3682,253,57182,12456,13356
11,"d","  By value of sales:","",,,,,,
11,"d","    Less than $1,000 (see text)","farms",9,19,2,11,9,21
11,"d","","$1,000","(D)",10,"(D)",5,4,"(D)"
11,"d","    $1,000 to $2,499","farms",11,15,-,18,15,15
11,"d","","$1,000",15,22,-,22,25,26
11,"d","    $2,500 to $4,999","farms",4,23,2,17,11,28
11,"d","","$1,000",14,85,"(D)",63,41,93
11,"d","    $5,000 to $9,999","farms",11,19,3,15,14,13
11,"d","","$1,000",79,103,21,105,100,95
11,"d","    $10,000 to $19,999","farms",9,12,-,15,9,18
11,"d","","$1,000",126,155,-,229,141,256
11,"d","","",,,,,,
11,"d","    $20,000 to $24,999","farms",2,6,-,4,7,14
11,"d","","$1,000","(D)",134,-,83,169,300
11,"d","    $25,000 to $39,999","farms",-,6,-,13,7,12
11,"d","","$1,000",-,180,-,422,253,376
11,"d","    $40,000 to $49,999","farms",6,3,2,5,3,2
11,"d","","$1,000",274,141,"(D)",222,133,"(D)"
11,"d","    $50,000 to $99,999","farms",17,10,-,16,19,16
11,"d","","$1,000",1169,679,-,912,1330,1029
11,"d","    $100,000 to $249,999","farms",38,6,1,16,14,10
11,"d","","$1,000",5834,951,"(D)",2384,2249,1240
11,"d","","",,,,,,
11,"d","    $250,000 to $499,999","farms",11,3,-,17,4,12
11,"d","","$1,000",3606,1223,-,6469,1344,4462
11,"d","    $500,000 or more","farms",39,-,-,19,5,5
11,"d","","$1,000",135630,-,-,46267,6668,5389
11,"d","","",,,,,,
11,"d","  Crops including nursery and greenhouse","farms",148,110,9,155,113,162
11,"d","","$1,000",52198,2557,"(D)",57063,12361,"(D)"
11,"d","  Livestock and poultry","farms",14,6,2,3,10,2
11,"d","","$1,000","(D)",681,"(D)",54,"(D)","(D)"
11,"d","  Livestock and poultry products","farms",18,24,1,14,10,11
11,"d","","$1,000","(D)",444,"(D)",65,"(D)","(D)"
11,"c",""
11,"c","--continued"
