12,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
12,"t","Table 1.  Farms, Land, and Value of Sales of Organic Agricultural Products – Certified and Exempt Organic Farms:  2014 (continued)"
12,"t","[For meaning of abbreviations and symbols, see introductory text.]"
12,"h","","","","","","","",""
12,"h","Item","","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky"
12,"h","","","","","","","",""
12,"d","VALUE OF SALES OF ORGANICALLY","",,,,,,
12,"d"," PRODUCED COMMODITIES","",,,,,,
12,"d","","",,,,,,
12,"d","Total value of organic agricultural","",,,,,,
12,"d"," products sold","farms",161,249,282,612,83,107
12,"d","","$1,000",65696,52723,59845,102626,17215,7757
12,"d","  By value of sales:","",,,,,,
12,"d","    Less than $1,000 (see text)","farms",6,13,7,14,5,3
12,"d","","$1,000",4,4,4,5,4,2
12,"d","    $1,000 to $2,499","farms",6,5,10,23,2,18
12,"d","","$1,000","(D)",6,16,40,"(D)","(D)"
12,"d","    $2,500 to $4,999","farms",8,11,16,17,10,15
12,"d","","$1,000",35,42,56,59,35,52
12,"d","    $5,000 to $9,999","farms",5,18,12,34,2,14
12,"d","","$1,000",29,113,101,254,"(D)",93
12,"d","    $10,000 to $19,999","farms",18,16,27,51,5,8
12,"d","","$1,000",276,211,390,791,79,103
12,"d","","",,,,,,
12,"d","    $20,000 to $24,999","farms",7,8,8,22,-,1
12,"d","","$1,000",157,185,179,498,-,"(D)"
12,"d","    $25,000 to $39,999","farms",12,9,16,42,10,8
12,"d","","$1,000",350,277,523,1403,292,216
12,"d","    $40,000 to $49,999","farms",2,8,12,38,3,2
12,"d","","$1,000","(D)",359,505,1740,131,"(D)"
12,"d","    $50,000 to $99,999","farms",27,34,41,128,23,9
12,"d","","$1,000",1815,2512,3186,9050,1567,600
12,"d","    $100,000 to $249,999","farms",24,64,114,147,8,20
12,"d","","$1,000",4249,10992,18121,22629,931,3200
12,"d","","",,,,,,
12,"d","    $250,000 to $499,999","farms",19,33,13,52,5,8
12,"d","","$1,000",6881,11826,4327,17896,1651,2714
12,"d","    $500,000 or more","farms",27,30,6,44,10,1
12,"d","","$1,000",51804,26196,32438,48260,12511,"(D)"
12,"d","","",,,,,,
12,"d","  Crops including nursery and greenhouse","farms",142,213,143,519,82,80
12,"d","","$1,000","(D)",35251,5693,50741,"(D)",1876
12,"d","  Livestock and poultry","farms",34,56,165,162,9,33
12,"d","","$1,000","(D)",4061,3684,"(D)",314,1897
12,"d","  Livestock and poultry products","farms",20,48,154,148,5,30
12,"d","","$1,000",34311,13412,50468,"(D)","(D)",3984
12,"c",""
12,"c","--continued"
