14,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
14,"t","Table 1.  Farms, Land, and Value of Sales of Organic Agricultural Products – Certified and Exempt Organic Farms:  2014 (continued)"
14,"t","[For meaning of abbreviations and symbols, see introductory text.]"
14,"h","","","","","","","",""
14,"h","Item","","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire"
14,"h","","","","","","","",""
14,"d","VALUE OF SALES OF ORGANICALLY","",,,,,,
14,"d"," PRODUCED COMMODITIES","",,,,,,
14,"d","","",,,,,,
14,"d","Total value of organic agricultural","",,,,,,
14,"d"," products sold","farms",8,216,147,170,49,150
14,"d","","$1,000",6000,43274,43657,75917,20414,20849
14,"d","  By value of sales:","",,,,,,
14,"d","    Less than $1,000 (see text)","farms",2,13,4,5,7,10
14,"d","","$1,000","(D)",6,2,1,"(D)","(D)"
14,"d","    $1,000 to $2,499","farms",-,9,5,8,-,10
14,"d","","$1,000",-,15,8,14,-,22
14,"d","    $2,500 to $4,999","farms",2,11,3,9,1,26
14,"d","","$1,000","(D)",40,9,35,"(D)",89
14,"d","    $5,000 to $9,999","farms",-,16,7,3,6,36
14,"d","","$1,000",-,109,49,25,34,256
14,"d","    $10,000 to $19,999","farms",-,26,14,4,12,19
14,"d","","$1,000",-,385,211,54,198,258
14,"d","","",,,,,,
14,"d","    $20,000 to $24,999","farms",-,18,8,3,1,10
14,"d","","$1,000",-,389,182,69,"(D)",220
14,"d","    $25,000 to $39,999","farms",-,13,14,13,-,7
14,"d","","$1,000",-,443,441,426,-,272
14,"d","    $40,000 to $49,999","farms",-,13,5,4,4,2
14,"d","","$1,000",-,554,217,178,189,"(D)"
14,"d","    $50,000 to $99,999","farms",1,26,18,31,-,12
14,"d","","$1,000","(D)",1840,1314,2359,-,925
14,"d","    $100,000 to $249,999","farms",1,28,24,33,7,12
14,"d","","$1,000","(D)",4320,3884,5670,1137,2148
14,"d","","",,,,,,
14,"d","    $250,000 to $499,999","farms",-,15,24,31,6,3
14,"d","","$1,000",-,5476,8121,11511,2365,1072
14,"d","    $500,000 or more","farms",2,28,21,26,5,3
14,"d","","$1,000","(D)",29698,29220,55577,16459,15492
14,"d","","",,,,,,
14,"d","  Crops including nursery and greenhouse","farms",6,186,136,159,49,131
14,"d","","$1,000","(D)",17622,36352,"(D)","(D)",3443
14,"d","  Livestock and poultry","farms",2,37,40,26,1,42
14,"d","","$1,000","(D)",1233,5090,"(D)","(D)",630
14,"d","  Livestock and poultry products","farms",2,46,13,7,-,39
14,"d","","$1,000","(D)",24419,2215,"(D)",-,16776
14,"c",""
14,"c","--continued"
