15,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
15,"t","Table 1.  Farms, Land, and Value of Sales of Organic Agricultural Products – Certified and Exempt Organic Farms:  2014 (continued)"
15,"t","[For meaning of abbreviations and symbols, see introductory text.]"
15,"h","","","","","","","",""
15,"h","Item","","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio"
15,"h","","","","","","","",""
15,"d","VALUE OF SALES OF ORGANICALLY","",,,,,,
15,"d"," PRODUCED COMMODITIES","",,,,,,
15,"d","","",,,,,,
15,"d","Total value of organic agricultural","",,,,,,
15,"d"," products sold","farms",87,116,917,264,94,541
15,"d","","$1,000",7786,21860,164203,66941,27279,88846
15,"d","  By value of sales:","",,,,,,
15,"d","    Less than $1,000 (see text)","farms",6,9,27,37,-,14
15,"d","","$1,000",4,4,12,17,-,9
15,"d","    $1,000 to $2,499","farms",13,13,25,15,1,15
15,"d","","$1,000",22,21,46,29,"(D)",26
15,"d","    $2,500 to $4,999","farms",18,8,62,20,2,24
15,"d","","$1,000",65,34,235,66,"(D)",86
15,"d","    $5,000 to $9,999","farms",12,20,45,35,5,19
15,"d","","$1,000",85,135,328,259,39,148
15,"d","    $10,000 to $19,999","farms",12,9,79,13,3,58
15,"d","","$1,000",188,120,1204,203,43,867
15,"d","","",,,,,,
15,"d","    $20,000 to $24,999","farms",1,4,19,6,4,10
15,"d","","$1,000","(D)",84,415,127,88,233
15,"d","    $25,000 to $39,999","farms",3,9,65,13,7,38
15,"d","","$1,000",80,270,2110,396,199,1167
15,"d","    $40,000 to $49,999","farms",1,8,36,10,-,20
15,"d","","$1,000","(D)",350,1580,453,-,899
15,"d","    $50,000 to $99,999","farms",7,10,143,22,22,99
15,"d","","$1,000",641,691,10231,1644,1623,7110
15,"d","    $100,000 to $249,999","farms",7,14,242,39,17,169
15,"d","","$1,000",975,1684,39341,6561,2904,26150
15,"d","","",,,,,,
15,"d","    $250,000 to $499,999","farms",2,6,113,22,17,41
15,"d","","$1,000","(D)",2377,37153,8106,5559,14191
15,"d","    $500,000 or more","farms",5,6,61,32,16,34
15,"d","","$1,000",5039,16090,71547,49080,16815,37961
15,"d","","",,,,,,
15,"d","  Crops including nursery and greenhouse","farms",86,105,608,229,94,345
15,"d","","$1,000",7760,7210,52698,42892,"(D)",26444
15,"d","  Livestock and poultry","farms",5,18,477,34,4,242
15,"d","","$1,000","(D)","(D)",16011,1410,"(D)",8610
15,"d","  Livestock and poultry products","farms",11,22,438,38,-,227
15,"d","","$1,000","(D)","(D)",95494,22638,-,53791
15,"c",""
15,"c","--continued"
