16,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
16,"t","Table 1.  Farms, Land, and Value of Sales of Organic Agricultural Products – Certified and Exempt Organic Farms:  2014 (continued)"
16,"t","[For meaning of abbreviations and symbols, see introductory text.]"
16,"h","","","","","","",""
16,"h","Item","","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina"
16,"h","","","","","","",""
16,"d","VALUE OF SALES OF ORGANICALLY","",,,,,
16,"d"," PRODUCED COMMODITIES","",,,,,
16,"d","","",,,,,
16,"d","Total value of organic agricultural","",,,,,
16,"d"," products sold","farms",45,525,679,24,47
16,"d","","$1,000","(D)",237121,313456,902,"(D)"
16,"d","  By value of sales:","",,,,,
16,"d","    Less than $1,000 (see text)","farms",3,22,17,-,4
16,"d","","$1,000",1,9,6,-,3
16,"d","    $1,000 to $2,499","farms",2,51,17,4,3
16,"d","","$1,000","(D)",86,29,7,7
16,"d","    $2,500 to $4,999","farms",16,56,16,1,9
16,"d","","$1,000",57,207,56,"(D)",28
16,"d","    $5,000 to $9,999","farms",8,27,27,2,4
16,"d","","$1,000",55,211,190,"(D)",36
16,"d","    $10,000 to $19,999","farms",4,51,35,3,8
16,"d","","$1,000",59,751,562,37,110
16,"d","","",,,,,
16,"d","    $20,000 to $24,999","farms",-,15,16,-,10
16,"d","","$1,000",-,337,362,-,219
16,"d","    $25,000 to $39,999","farms",4,32,44,2,2
16,"d","","$1,000",126,1006,1477,"(D)","(D)"
16,"d","    $40,000 to $49,999","farms",-,27,19,4,-
16,"d","","$1,000",-,1203,849,165,-
16,"d","    $50,000 to $99,999","farms",3,38,109,6,3
16,"d","","$1,000",262,2646,7949,375,199
16,"d","    $100,000 to $249,999","farms",1,73,182,2,2
16,"d","","$1,000","(D)",11274,32598,"(D)","(D)"
16,"d","","",,,,,
16,"d","    $250,000 to $499,999","farms",1,40,128,-,-
16,"d","","$1,000","(D)",13217,42507,-,-
16,"d","    $500,000 or more","farms",3,93,69,-,2
16,"d","","$1,000",2866,206174,226871,-,"(D)"
16,"d","","",,,,,
16,"d","  Crops including nursery and greenhouse","farms",40,467,438,24,47
16,"d","","$1,000",2336,127568,91362,894,"(D)"
16,"d","  Livestock and poultry","farms",10,80,356,-,9
16,"d","","$1,000",610,17630,112467,-,135
16,"d","  Livestock and poultry products","farms",3,67,330,4,2
16,"d","","$1,000","(D)",91923,109627,8,"(D)"
16,"c",""
16,"c","--continued"
