17,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
17,"t","Table 1.  Farms, Land, and Value of Sales of Organic Agricultural Products – Certified and Exempt Organic Farms:  2014 (continued)"
17,"t","[For meaning of abbreviations and symbols, see introductory text.]"
17,"h","","","","","","",""
17,"h","Item","","South Dakota","Tennessee","Texas","Utah","Vermont"
17,"h","","","","","","",""
17,"d","VALUE OF SALES OF ORGANICALLY","",,,,,
17,"d"," PRODUCED COMMODITIES","",,,,,
17,"d","","",,,,,
17,"d","Total value of organic agricultural","",,,,,
17,"d"," products sold","farms",80,54,234,60,542
17,"d","","$1,000",16000,4023,199094,18458,93889
17,"d","  By value of sales:","",,,,,
17,"d","    Less than $1,000 (see text)","farms",4,10,20,1,16
17,"d","","$1,000",2,3,"(D)","(D)",11
17,"d","    $1,000 to $2,499","farms",-,11,12,3,36
17,"d","","$1,000",-,16,19,7,66
17,"d","    $2,500 to $4,999","farms",2,4,16,2,21
17,"d","","$1,000","(D)",16,53,"(D)",76
17,"d","    $5,000 to $9,999","farms",4,4,11,7,40
17,"d","","$1,000",22,34,86,59,310
17,"d","    $10,000 to $19,999","farms",1,4,15,2,36
17,"d","","$1,000","(D)",47,236,"(D)",532
17,"d","","",,,,,
17,"d","    $20,000 to $24,999","farms",5,1,1,2,17
17,"d","","$1,000",114,"(D)","(D)","(D)",365
17,"d","    $25,000 to $39,999","farms",3,8,7,-,43
17,"d","","$1,000",94,262,232,-,1400
17,"d","    $40,000 to $49,999","farms",4,-,9,5,23
17,"d","","$1,000",170,-,406,236,1040
17,"d","    $50,000 to $99,999","farms",14,3,25,9,48
17,"d","","$1,000",1047,212,1978,677,3243
17,"d","    $100,000 to $249,999","farms",20,5,38,12,139
17,"d","","$1,000",2709,641,5969,1842,23627
17,"d","","",,,,,
17,"d","    $250,000 to $499,999","farms",20,2,26,12,74
17,"d","","$1,000",7386,"(D)",9143,4842,24371
17,"d","    $500,000 or more","farms",3,2,54,5,49
17,"d","","$1,000",4432,"(D)",180941,10709,38849
17,"d","","",,,,,
17,"d","  Crops including nursery and greenhouse","farms",77,49,209,51,397
17,"d","","$1,000","(D)",1487,78169,9271,39443
17,"d","  Livestock and poultry","farms",9,8,22,8,220
17,"d","","$1,000","(D)",209,17680,730,7860
17,"d","  Livestock and poultry products","farms",4,9,28,6,186
17,"d","","$1,000","(D)",2327,103245,8457,46585
17,"c",""
17,"c","--continued"
