18,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
18,"t","Table 1.  Farms, Land, and Value of Sales of Organic Agricultural Products – Certified and Exempt Organic Farms:  2014 (continued)"
18,"t","[For meaning of abbreviations and symbols, see introductory text.]"
18,"h","","","","","","",""
18,"h","Item","","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
18,"h","","","","","","",""
18,"d","VALUE OF SALES OF ORGANICALLY","",,,,,
18,"d"," PRODUCED COMMODITIES","",,,,,
18,"d","","",,,,,
18,"d","Total value of organic agricultural","",,,,,
18,"d"," products sold","farms",167,716,24,1228,49
18,"d","","$1,000",41302,514897,"(D)",200800,16713
18,"d","  By value of sales:","",,,,,
18,"d","    Less than $1,000 (see text)","farms",5,41,-,34,-
18,"d","","$1,000",1,21,-,22,-
18,"d","    $1,000 to $2,499","farms",16,39,8,44,1
18,"d","","$1,000",31,68,15,76,"(D)"
18,"d","    $2,500 to $4,999","farms",16,39,2,42,-
18,"d","","$1,000",57,163,"(D)",159,-
18,"d","    $5,000 to $9,999","farms",6,55,7,92,1
18,"d","","$1,000",42,413,45,708,"(D)"
18,"d","    $10,000 to $19,999","farms",11,39,5,117,2
18,"d","","$1,000",155,545,65,1663,"(D)"
18,"d","","",,,,,
18,"d","    $20,000 to $24,999","farms",12,29,-,40,2
18,"d","","$1,000",257,668,-,866,"(D)"
18,"d","    $25,000 to $39,999","farms",8,45,-,100,-
18,"d","","$1,000",272,1434,-,3232,-
18,"d","    $40,000 to $49,999","farms",-,29,-,71,4
18,"d","","$1,000",-,1281,-,3154,180
18,"d","    $50,000 to $99,999","farms",11,97,1,191,7
18,"d","","$1,000",683,6650,"(D)",13604,498
18,"d","    $100,000 to $249,999","farms",36,79,-,281,15
18,"d","","$1,000",5780,13484,-,47089,2203
18,"d","","",,,,,
18,"d","    $250,000 to $499,999","farms",33,67,-,130,5
18,"d","","$1,000",11851,24793,-,43207,1855
18,"d","    $500,000 or more","farms",13,157,1,86,12
18,"d","","$1,000",22173,465375,"(D)",87019,11887
18,"d","","",,,,,
18,"d","  Crops including nursery and greenhouse","farms",150,639,16,845,42
18,"d","","$1,000",33393,386701,160,48513,"(D)"
18,"d","  Livestock and poultry","farms",30,95,8,575,13
18,"d","","$1,000",2243,"(D)",298,24908,"(D)"
18,"d","  Livestock and poultry products","farms",20,83,3,511,1
18,"d","","$1,000",5667,"(D)","(D)",127379,"(D)"
18,"c",""
