25,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
25,"t","Table 5.  Organic Vegetables, Potatoes, and Melons Grown in the Open Harvested – Certified and Exempt Organic Farms:  2014"
25,"t","[For meaning of abbreviations and symbols, see introductory text.]"
25,"h","","","","","","",""
25,"h","","","","","Value of sales","Value of sales","Value of sales"
25,"h","","","","","","",""
25,"h","","Harvested","Harvested","Harvested","Total","Total","Total"
25,"h","","","","","","",""
25,"h","Crop and geographic area","Farms","Acres","Quantity","Farms","Quantity","Dollars"
25,"h","","","","","","",""
25,"d","ALL VEGETABLES, POTATOES,",,,,,,
25,"d"," AND MELONS",,,,,,
25,"d","",,,,,,
25,"d","United States",3981,164399,"(X)",3968,"(X)",1249602639
25,"d","",,,,,,
25,"d","Alabama",19,55,"(X)",19,"(X)",209014
25,"d","Alaska",13,43,"(X)",13,"(X)",910425
25,"d","Arizona",31,6123,"(X)",31,"(X)",59018366
25,"d","Arkansas",22,41,"(X)",22,"(X)","(D)"
25,"d","California",625,95909,"(X)",624,"(X)",847429919
25,"d","",,,,,,
25,"d","Colorado",46,4233,"(X)",46,"(X)",18761576
25,"d","Connecticut",96,210,"(X)",96,"(X)",2038154
25,"d","Delaware",1,"(D)","(X)",1,"(X)","(D)"
25,"d","Florida",53,2378,"(X)",53,"(X)",27610077
25,"d","Georgia",74,727,"(X)",74,"(X)",7093692
25,"d","",,,,,,
25,"d","Hawaii",61,274,"(X)",61,"(X)",8386898
25,"d","Idaho",33,231,"(X)",33,"(X)",1374144
25,"d","Illinois",56,678,"(X)",56,"(X)",4784168
25,"d","Indiana",27,83,"(X)",27,"(X)",702983
25,"d","Iowa",91,1264,"(X)",89,"(X)",2424960
25,"d","",,,,,,
25,"d","Kansas",21,45,"(X)",21,"(X)",332515
25,"d","Kentucky",41,89,"(X)",41,"(X)",536841
25,"d","Louisiana",7,"(D)","(X)",7,"(X)","(D)"
25,"d","Maine",235,791,"(X)",231,"(X)",8176389
25,"d","Maryland",55,246,"(X)",55,"(X)",2242668
25,"d","",,,,,,
25,"d","Massachusetts",96,727,"(X)",96,"(X)",7899562
25,"d","Michigan",90,1109,"(X)",90,"(X)",3478530
25,"d","Minnesota",89,1913,"(X)",87,"(X)",5569876
25,"d","Mississippi",3,"(D)","(X)",3,"(X)","(D)"
25,"d","Missouri",34,276,"(X)",34,"(X)",1267362
25,"d","",,,,,,
25,"d","Montana",41,109,"(X)",41,"(X)",911525
25,"d","Nebraska",1,"(D)","(X)",1,"(X)","(D)"
25,"d","Nevada",25,47,"(X)",25,"(X)",528171
25,"d","New Hampshire",88,159,"(X)",88,"(X)",1375434
25,"d","New Jersey",60,449,"(X)",60,"(X)",6279576
25,"d","",,,,,,
25,"d","New Mexico",53,144,"(X)",53,"(X)",1751877
25,"d","New York",196,1571,"(X)",195,"(X)",13591231
25,"d","North Carolina",143,2673,"(X)",142,"(X)",11786464
25,"d","North Dakota",9,53,"(X)",9,"(X)","(D)"
25,"d","Ohio",127,985,"(X)",127,"(X)",4063787
25,"d","",,,,,,
25,"d","Oklahoma",22,126,"(X)",22,"(X)",1367551
25,"d","Oregon",189,18528,"(X)",189,"(X)",67849612
25,"d","Pennsylvania",184,1267,"(X)",184,"(X)",17270485
25,"d","Rhode Island",19,26,"(X)",19,"(X)","(D)"
25,"d","South Carolina",27,727,"(X)",27,"(X)","(D)"
25,"d","",,,,,,
25,"d","South Dakota",3,2,"(X)",3,"(X)","(D)"
25,"d","Tennessee",25,77,"(X)",25,"(X)",379290
25,"d","Texas",70,1030,"(X)",70,"(X)",13083800
25,"d","Utah",13,30,"(X)",13,"(X)",290252
25,"d","Vermont",129,806,"(X)",129,"(X)",9430285
25,"d","",,,,,,
25,"d","Virginia",59,303,"(X)",59,"(X)",3302619
25,"d","Washington",231,13718,"(X)",231,"(X)",59770420
25,"d","West Virginia",12,13,"(X)",12,"(X)","(D)"
25,"d","Wisconsin",334,3855,"(X)",332,"(X)",17386828
25,"d","Wyoming",2,"(D)","(X)",2,"(X)","(D)"
25,"c",""
25,"c","--continued"
