36,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
36,"t","Table 5.  Organic Vegetables, Potatoes, and Melons Grown in the Open Harvested – Certified and Exempt Organic Farms:  2014 (continued)"
36,"t","[For meaning of abbreviations and symbols, see introductory text.]"
36,"h","","","","","","",""
36,"h","","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con."
36,"h","","","","","","",""
36,"h","","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
36,"h","","","","","","",""
36,"h","Crop and geographic area","Farms","Quantity","Dollars","Farms","Quantity","Dollars"
36,"h","","","","","","",""
36,"d","CABBAGE, OTHER (CWT) - Con.",,,,,,
36,"d","",,,,,,
36,"d","Maine",7,"(D)","(D)",2,"(D)","(D)"
36,"d","Maryland",5,196,13038,-,-,-
36,"d","Massachusetts",6,"(D)","(D)",-,-,-
36,"d","Michigan",4,"(D)","(D)",-,-,-
36,"d","Minnesota",1,"(D)","(D)",-,-,-
36,"d","",,,,,,
36,"d","Montana",2,"(D)","(D)",-,-,-
36,"d","New Hampshire",9,94,8883,-,-,-
36,"d","New Jersey",2,"(D)","(D)",-,-,-
36,"d","New York",6,457,45765,-,-,-
36,"d","North Carolina",4,368,23200,-,-,-
36,"d","",,,,,,
36,"d","North Dakota",3,50,3483,-,-,-
36,"d","Ohio",8,461,27856,-,-,-
36,"d","Oregon",4,344,31097,-,-,-
36,"d","Pennsylvania",8,690,99300,-,-,-
36,"d","Tennessee",2,"(D)","(D)",-,-,-
36,"d","",,,,,,
36,"d","Texas",1,"(D)","(D)",-,-,-
36,"d","Vermont",11,1085,114400,-,-,-
36,"d","Virginia",4,90,15400,-,-,-
36,"d","Washington",13,296,33330,-,-,-
36,"d","Wisconsin",16,"(D)","(D)",2,"(D)","(D)"
36,"d","",,,,,,
36,"d","CANTALOUPES AND",,,,,,
36,"d"," MUSKMELONS (CWT)",,,,,,
36,"d","",,,,,,
36,"d","United States",367,"(D)","(D)",3,"(D)","(D)"
36,"d","",,,,,,
36,"d","Arizona",1,"(D)","(D)",1,"(D)","(D)"
36,"d","California",93,146113,8543947,-,-,-
36,"d","Colorado",6,"(D)","(D)",-,-,-
36,"d","Connecticut",1,"(D)","(D)",-,-,-
36,"d","Florida",6,838,69370,-,-,-
36,"d","",,,,,,
36,"d","Georgia",12,870,68079,-,-,-
36,"d","Idaho",4,82,2480,-,-,-
36,"d","Illinois",3,244,24242,-,-,-
36,"d","Indiana",7,24,2940,-,-,-
36,"d","Iowa",7,100,8574,-,-,-
36,"d","",,,,,,
36,"d","Kansas",2,"(D)","(D)",-,-,-
36,"d","Kentucky",3,"(D)","(D)",-,-,-
36,"d","Louisiana",1,"(D)","(D)",-,-,-
36,"d","Maine",16,118,17792,-,-,-
36,"d","Maryland",9,292,26575,-,-,-
36,"d","",,,,,,
36,"d","Massachusetts",10,244,29447,-,-,-
36,"d","Michigan",1,"(D)","(D)",-,-,-
36,"d","Minnesota",10,1323,111728,-,-,-
36,"d","Mississippi",2,"(D)","(D)",-,-,-
36,"d","Missouri",5,111,10550,-,-,-
36,"d","",,,,,,
36,"d","Montana",2,"(D)","(D)",-,-,-
36,"d","Nevada",5,1003,100180,-,-,-
36,"d","New Hampshire",5,266,29900,-,-,-
36,"d","New Jersey",2,"(D)","(D)",-,-,-
36,"d","New Mexico",4,4,300,-,-,-
36,"d","",,,,,,
36,"d","New York",13,212,54185,-,-,-
36,"d","North Carolina",5,"(D)",1181,-,-,-
36,"d","North Dakota",1,"(D)","(D)",-,-,-
36,"d","Ohio",14,734,65838,-,-,-
36,"d","Oklahoma",5,"(D)","(D)",-,-,-
36,"d","",,,,,,
36,"d","Oregon",19,"(D)","(D)",-,-,-
36,"d","Pennsylvania",12,329,22910,-,-,-
36,"c",""
36,"c","--continued"
