71,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
71,"t","Table 6.  Organic Vegetables, Potatoes, and Melons Grown Under Protection Harvested – Certified and Exempt Organic Farms:  2014"
71,"t","[For meaning of abbreviations and symbols, see introductory text.]"
71,"h","","","","","","",""
71,"h","","","","","Value of sales","Value of sales","Value of sales"
71,"h","","","","","","",""
71,"h","","Harvested","Harvested","Harvested","Total","Total","Total"
71,"h","","","","","","",""
71,"h","","","Square feet","","","",""
71,"h","","","under glass","","","",""
71,"h","","","or other","","","",""
71,"h","Crop and geographic area","Farms","protection","Quantity","Farms","Quantity","Dollars"
71,"h","","","","","","",""
71,"d","ALL VEGETABLES, POTATOES,",,,,,,
71,"d"," AND MELONS",,,,,,
71,"d","",,,,,,
71,"d","United States",1515,20030164,"(X)",1496,"(X)",76147531
71,"d","",,,,,,
71,"d","Alabama",13,32558,"(X)",13,"(X)",25564
71,"d","Alaska",9,26294,"(X)",9,"(X)",15730
71,"d","Arizona",10,656000,"(X)",10,"(X)","(D)"
71,"d","Arkansas",15,222152,"(X)",15,"(X)",354540
71,"d","California",113,5582152,"(X)",113,"(X)",31308555
71,"d","",,,,,,
71,"d","Colorado",15,99840,"(X)",15,"(X)",665860
71,"d","Connecticut",49,178940,"(X)",49,"(X)",347199
71,"d","Delaware",4,14460,"(X)",4,"(X)","(D)"
71,"d","Florida",20,1330120,"(X)",20,"(X)",2569838
71,"d","Georgia",34,701700,"(X)",34,"(X)",1220013
71,"d","",,,,,,
71,"d","Hawaii",11,382680,"(X)",9,"(X)",421000
71,"d","Idaho",21,135144,"(X)",21,"(X)",477384
71,"d","Illinois",26,232854,"(X)",26,"(X)",224380
71,"d","Indiana",9,34040,"(X)",9,"(X)","(D)"
71,"d","Iowa",27,120057,"(X)",27,"(X)",352004
71,"d","",,,,,,
71,"d","Kansas",10,23464,"(X)",10,"(X)",36123
71,"d","Kentucky",16,117560,"(X)",16,"(X)",184678
71,"d","Louisiana",4,"(D)","(X)",4,"(X)","(D)"
71,"d","Maine",144,739979,"(X)",140,"(X)",1480299
71,"d","Maryland",36,185928,"(X)",36,"(X)",335948
71,"d","",,,,,,
71,"d","Massachusetts",41,302477,"(X)",41,"(X)",6187893
71,"d","Michigan",30,136316,"(X)",30,"(X)",219251
71,"d","Minnesota",23,100059,"(X)",23,"(X)",350781
71,"d","Missouri",19,182440,"(X)",19,"(X)","(D)"
71,"d","Montana",28,366283,"(X)",28,"(X)","(D)"
71,"d","",,,,,,
71,"d","Nebraska",1,"(D)","(X)",1,"(X)","(D)"
71,"d","Nevada",12,25332,"(X)",12,"(X)",290655
71,"d","New Hampshire",41,127010,"(X)",41,"(X)",290876
71,"d","New Jersey",23,161808,"(X)",21,"(X)","(D)"
71,"d","New Mexico",23,205040,"(X)",23,"(X)","(D)"
71,"d","",,,,,,
71,"d","New York",80,411882,"(X)",78,"(X)",2740698
71,"d","North Carolina",64,275832,"(X)",64,"(X)",408580
71,"d","North Dakota",2,"(D)","(X)",2,"(X)","(D)"
71,"d","Ohio",46,236514,"(X)",46,"(X)",297286
71,"d","Oklahoma",7,18740,"(X)",7,"(X)","(D)"
71,"d","",,,,,,
71,"d","Oregon",69,3064602,"(X)",68,"(X)",2605857
71,"d","Pennsylvania",91,1199742,"(X)",91,"(X)",12168558
71,"d","Rhode Island",17,130632,"(X)",17,"(X)",287427
71,"d","South Carolina",3,6000,"(X)",3,"(X)",600
71,"d","Tennessee",6,64900,"(X)",6,"(X)",174122
71,"d","",,,,,,
71,"d","Texas",12,454574,"(X)",12,"(X)",1134301
71,"d","Utah",3,"(D)","(X)",3,"(X)","(D)"
71,"d","Vermont",98,798649,"(X)",95,"(X)",2259576
71,"d","Virginia",24,219934,"(X)",24,"(X)",1101654
71,"d","Washington",104,306453,"(X)",99,"(X)",1223355
71,"d","",,,,,,
71,"d","West Virginia",1,"(D)","(X)",1,"(X)","(D)"
71,"d","Wisconsin",59,347780,"(X)",59,"(X)",629543
71,"d","Wyoming",2,"(D)","(X)",2,"(X)","(D)"
71,"d","",,,,,,
71,"d","ARTICHOKES (CWT)",,,,,,
71,"d","",,,,,,
71,"d","United States",4,555,4,4,4,450
71,"d","",,,,,,
71,"d","Alaska",1,"(D)","(D)",1,"(D)","(D)"
71,"d","Georgia",3,"(D)","(D)",3,"(D)","(D)"
71,"c",""
71,"c","--continued"
