73,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
73,"t","Table 6.  Organic Vegetables, Potatoes, and Melons Grown Under Protection Harvested – Certified and Exempt Organic Farms:  2014 (continued)"
73,"t","[For meaning of abbreviations and symbols, see introductory text.]"
73,"h","","","","","","",""
73,"h","","","","","Value of sales","Value of sales","Value of sales"
73,"h","","","","","","",""
73,"h","","Harvested","Harvested","Harvested","Total","Total","Total"
73,"h","","","","","","",""
73,"h","","","Square feet","","","",""
73,"h","","","under glass","","","",""
73,"h","","","or other","","","",""
73,"h","Crop and geographic area","Farms","protection","Quantity","Farms","Quantity","Dollars"
73,"h","","","","","","",""
73,"d","BEANS, SNAP, FRESH (CWT)",,,,,,
73,"d","",,,,,,
73,"d","United States",58,109773,454,58,244,92111
73,"d","",,,,,,
73,"d","Alabama",4,5264,204,4,5,1828
73,"d","Alaska",1,"(D)","(D)",1,"(D)","(D)"
73,"d","Arizona",1,"(D)","(D)",1,"(D)","(D)"
73,"d","California",2,"(D)","(D)",2,"(D)","(D)"
73,"d","Florida",1,"(D)","(D)",1,"(D)","(D)"
73,"d","",,,,,,
73,"d","Georgia",6,43890,38,6,38,15578
73,"d","Iowa",6,1379,7,6,7,2197
73,"d","Kentucky",2,"(D)","(D)",2,"(D)","(D)"
73,"d","Maine",3,90,2,3,2,450
73,"d","Massachusetts",5,1080,5,5,4,1170
73,"d","",,,,,,
73,"d","Minnesota",1,"(D)","(D)",1,"(D)","(D)"
73,"d","New Jersey",2,"(D)","(D)",2,"(D)","(D)"
73,"d","North Carolina",3,800,3,3,3,"(D)"
73,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)"
73,"d","Oregon",5,9920,22,5,22,7972
73,"d","",,,,,,
73,"d","Pennsylvania",3,2850,3,3,3,600
73,"d","Vermont",4,2200,4,4,4,1440
73,"d","Washington",7,4150,17,7,17,7394
73,"d","",,,,,,
73,"d","BROCCOLI (CWT)",,,,,,
73,"d","",,,,,,
73,"d","United States",45,124251,2229,45,2120,225595
73,"d","",,,,,,
73,"d","Alabama",2,"(D)","(D)",2,"(D)","(D)"
73,"d","Alaska",2,"(D)","(D)",2,"(D)","(D)"
73,"d","Arkansas",3,9000,135,3,135,"(D)"
73,"d","California",9,65432,1291,9,1185,123733
73,"d","Colorado",1,"(D)","(D)",1,"(D)","(D)"
73,"d","",,,,,,
73,"d","Georgia",3,30000,450,3,450,49833
73,"d","Iowa",2,"(D)","(D)",2,"(D)","(D)"
73,"d","Maine",3,36,2,3,2,150
73,"d","Massachusetts",1,"(D)","(D)",1,"(D)","(D)"
73,"d","Michigan",4,950,2,4,2,486
73,"d","",,,,,,
73,"d","Montana",2,"(D)","(D)",2,"(D)","(D)"
73,"d","New Mexico",2,"(D)","(D)",2,"(D)","(D)"
73,"d","North Carolina",1,"(D)","(D)",1,"(D)","(D)"
73,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)"
73,"d","Oregon",2,"(D)","(D)",2,"(D)","(D)"
73,"d","",,,,,,
73,"d","Pennsylvania",1,"(D)","(D)",1,"(D)","(D)"
73,"d","Vermont",2,"(D)","(D)",2,"(D)","(D)"
73,"d","Washington",3,1604,21,3,21,2371
73,"d","",,,,,,
73,"d","CABBAGE, GREEN (CWT)",,,,,,
73,"d","",,,,,,
73,"d","United States",27,16187,587,27,586,41061
73,"d","",,,,,,
73,"d","Alaska",2,"(D)","(D)",2,"(D)","(D)"
73,"d","California",2,"(D)","(D)",2,"(D)","(D)"
73,"d","Idaho",2,"(D)","(D)",2,"(D)","(D)"
73,"d","Iowa",2,"(D)","(D)",2,"(D)","(D)"
73,"d","Kentucky",2,"(D)","(D)",2,"(D)","(D)"
73,"d","",,,,,,
73,"d","Massachusetts",4,900,18,4,18,3227
73,"d","Montana",1,"(D)","(D)",1,"(D)","(D)"
73,"d","North Carolina",4,2000,20,4,20,3380
73,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)"
73,"d","Oregon",2,"(D)","(D)",2,"(D)","(D)"
73,"d","Wisconsin",4,"(D)","(D)",4,"(D)",266
73,"c",""
73,"c","--continued"
