78,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
78,"t","Table 6.  Organic Vegetables, Potatoes, and Melons Grown Under Protection Harvested – Certified and Exempt Organic Farms:  2014 (continued)"
78,"t","[For meaning of abbreviations and symbols, see introductory text.]"
78,"h","","","","","","",""
78,"h","","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con."
78,"h","","","","","","",""
78,"h","","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
78,"h","","","","","","",""
78,"h","","","","","","",""
78,"h","","","","","","",""
78,"h","","","","","","",""
78,"h","Crop and geographic area","Farms","Quantity","Dollars","Farms","Quantity","Dollars"
78,"h","","","","","","",""
78,"d","CARROTS (CWT) - Con.",,,,,,
78,"d","",,,,,,
78,"d","Tennessee",2,"(D)","(D)",-,-,-
78,"d","Vermont",4,27,5600,-,-,-
78,"d","Washington",3,6,962,-,-,-
78,"d","Wisconsin",3,4,913,-,-,-
78,"d","",,,,,,
78,"d","CAULIFLOWER (CWT)",,,,,,
78,"d","",,,,,,
78,"d","United States",19,551,53025,-,-,-
78,"d","",,,,,,
78,"d","Alaska",2,"(D)","(D)",-,-,-
78,"d","California",4,423,38080,-,-,-
78,"d","Georgia",5,66,8925,-,-,-
78,"d","Kentucky",2,"(D)","(D)",-,-,-
78,"d","New Mexico",2,"(D)","(D)",-,-,-
78,"d","",,,,,,
78,"d","North Carolina",1,"(D)","(D)",-,-,-
78,"d","Pennsylvania",1,"(D)","(D)",-,-,-
78,"d","Wisconsin",2,"(D)","(D)",-,-,-
78,"d","",,,,,,
78,"d","CELERY (CWT)",,,,,,
78,"d","",,,,,,
78,"d","United States",24,1843,126292,-,-,-
78,"d","",,,,,,
78,"d","Alaska",2,"(D)","(D)",-,-,-
78,"d","California",4,1764,108680,-,-,-
78,"d","Georgia",2,"(D)","(D)",-,-,-
78,"d","Iowa",1,"(D)","(D)",-,-,-
78,"d","Maine",2,"(D)","(D)",-,-,-
78,"d","",,,,,,
78,"d","New Hampshire",2,"(D)","(D)",-,-,-
78,"d","North Carolina",4,4,484,-,-,-
78,"d","Ohio",4,16,2200,-,-,-
78,"d","Pennsylvania",1,"(D)","(D)",-,-,-
78,"d","Washington",1,"(D)","(D)",-,-,-
78,"d","Wisconsin",1,"(D)","(D)",-,-,-
78,"d","",,,,,,
78,"d","GARLIC (CWT)",,,,,,
78,"d","",,,,,,
78,"d","United States",20,71,26275,-,-,-
78,"d","",,,,,,
78,"d","Alaska",2,"(D)","(D)",-,-,-
78,"d","California",4,3,700,-,-,-
78,"d","Illinois",1,"(D)","(D)",-,-,-
78,"d","Iowa",2,"(D)","(D)",-,-,-
78,"d","Massachusetts",4,1,490,-,-,-
78,"d","",,,,,,
78,"d","Michigan",2,"(D)","(D)",-,-,-
78,"d","Missouri",1,"(D)","(D)",-,-,-
78,"d","Oregon",1,"(D)","(D)",-,-,-
78,"d","Washington",2,"(D)","(D)",-,-,-
78,"d","Wisconsin",1,"(D)","(D)",-,-,-
78,"d","",,,,,,
78,"d","HERBS, FRESH CUT (POUNDS)",,,,,,
78,"d","",,,,,,
78,"d","United States",192,1005726,"(D)",12,13961,"(D)"
78,"d","",,,,,,
78,"d","Alaska",3,"(D)","(D)",-,-,-
78,"d","Arizona",4,224804,"(D)",-,-,-
78,"d","California",24,"(D)","(D)",2,"(D)","(D)"
78,"d","Colorado",2,"(D)","(D)",-,-,-
78,"d","Connecticut",4,2500,24300,-,-,-
78,"d","",,,,,,
78,"d","Florida",7,"(D)","(D)",3,"(D)","(D)"
78,"d","Georgia",3,"(Z)","(D)",3,"(Z)","(D)"
78,"d","Hawaii",2,"(D)","(D)",-,-,-
78,"d","Idaho",4,28386,168318,-,-,-
78,"d","Illinois",5,444,5571,-,-,-
78,"c",""
78,"c","--continued"
