100,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
100,"t","Table 7.  Other Organic Fruits, Tree Nuts, and Berries Harvested – Certified and Exempt Organic Farms:  2014 (continued)"
100,"t","[For meaning of abbreviations and symbols, see introductory text.]"
100,"h","","","","","","",""
100,"h","","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con."
100,"h","","","","","","",""
100,"h","","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
100,"h","","","","","","",""
100,"h","Crop and geographic area","Farms","Quantity","Dollars","Farms","Quantity","Dollars"
100,"h","","","","","","",""
100,"d","PEACHES, ALL (TONS) - Con.",,,,,,
100,"d","",,,,,,
100,"d","Washington",35,"(D)","(D)",6,"(D)","(D)"
100,"d","Wisconsin",3,"(Z)",864,-,-,-
100,"d","",,,,,,
100,"d","PEARS, ALL (TONS)",,,,,,
100,"d","",,,,,,
100,"d","United States",334,31171,"(D)",14,574,"(D)"
100,"d","",,,,,,
100,"d","Alabama",2,"(D)","(D)",-,-,-
100,"d","Arizona",1,"(D)","(D)",-,-,-
100,"d","California",85,"(D)","(D)",2,"(D)","(D)"
100,"d","Colorado",7,"(D)","(D)",-,-,-
100,"d","Delaware",-,-,-,-,-,-
100,"d","",,,,,,
100,"d","Florida",3,5,4920,-,-,-
100,"d","Georgia",4,3,3982,-,-,-
100,"d","Idaho",1,"(D)","(D)",-,-,-
100,"d","Illinois",2,"(D)","(D)",-,-,-
100,"d","Louisiana",3,"(Z)","(D)",-,-,-
100,"d","",,,,,,
100,"d","Maine",2,"(D)","(D)",-,-,-
100,"d","Maryland",9,3,7245,-,-,-
100,"d","Massachusetts",2,"(D)","(D)",-,-,-
100,"d","Michigan",4,1,2820,-,-,-
100,"d","Minnesota",9,8,7668,-,-,-
100,"d","",,,,,,
100,"d","Missouri",2,"(D)","(D)",-,-,-
100,"d","Montana",2,"(D)","(D)",-,-,-
100,"d","New Hampshire",9,2,4553,-,-,-
100,"d","New Jersey",3,1,"(D)",1,"(D)","(D)"
100,"d","New Mexico",5,8,3905,-,-,-
100,"d","",,,,,,
100,"d","New York",4,1,2450,-,-,-
100,"d","North Carolina",2,"(D)","(D)",-,-,-
100,"d","Ohio",4,1,"(D)",-,-,-
100,"d","Oregon",33,1865,1661467,-,-,-
100,"d","Tennessee",2,"(D)","(D)",-,-,-
100,"d","",,,,,,
100,"d","Texas",2,"(D)","(D)",-,-,-
100,"d","Vermont",2,"(D)","(D)",-,-,-
100,"d","Washington",118,"(D)","(D)",11,"(D)","(D)"
100,"d","Wisconsin",12,271,196153,-,-,-
100,"d","",,,,,,
100,"d","PLUMS/PRUNES (TONS)",,,,,,
100,"d","",,,,,,
100,"d","United States",234,9006,18612817,12,439,779330
100,"d","",,,,,,
100,"d","California",126,"(D)",17935240,8,"(D)",727132
100,"d","Colorado",6,30,71000,-,-,-
100,"d","Florida",5,11,22337,-,-,-
100,"d","Idaho",4,1,2200,-,-,-
100,"d","Kentucky",2,"(D)","(D)",-,-,-
100,"d","",,,,,,
100,"d","Louisiana",3,"(Z)",1800,-,-,-
100,"d","Maine",3,"(Z)",120,-,-,-
100,"d","Minnesota",1,"(D)","(D)",-,-,-
100,"d","Montana",2,"(D)","(D)",2,"(D)","(D)"
100,"d","New Hampshire",7,6,11683,-,-,-
100,"d","",,,,,,
100,"d","New Mexico",2,"(D)","(D)",-,-,-
100,"d","New York",2,"(D)","(D)",-,-,-
100,"d","Oregon",29,"(D)","(D)",2,"(D)","(D)"
100,"d","Vermont",2,"(D)","(D)",-,-,-
100,"d","Washington",37,184,"(D)",-,-,-
100,"d","Wisconsin",3,1,1200,-,-,-
100,"c",""
100,"c","--continued"
