107,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
107,"t","Table 7.  Other Organic Fruits, Tree Nuts, and Berries Harvested – Certified and Exempt Organic Farms:  2014 (continued)"
107,"t","[For meaning of abbreviations and symbols, see introductory text.]"
107,"h","","","","","","",""
107,"h","","","","","Value of sales","Value of sales","Value of sales"
107,"h","","","","","","",""
107,"h","","Harvested","Harvested","Harvested","Total","Total","Total"
107,"h","","","","","","",""
107,"h","Crop and geographic area","Farms","Acres","Quantity","Farms","Quantity","Dollars"
107,"h","","","","","","",""
107,"d","BLUEBERRIES, FRESH (POUNDS) - Con.",,,,,,
107,"d","",,,,,,
107,"d","West Virginia",4,1,"(D)",4,"(D)",5400
107,"d","Wisconsin",21,27,93000,20,77089,225515
107,"d","",,,,,,
107,"d","BLUEBERRIES, PROCESSING (POUNDS)",,,,,,
107,"d","",,,,,,
107,"d","United States",51,990,5533262,48,5515779,8555236
107,"d","",,,,,,
107,"d","Alabama",3,"(D)","(D)",3,"(D)","(D)"
107,"d","California",5,"(D)","(D)",5,"(D)","(D)"
107,"d","Florida",3,1,300,3,300,900
107,"d","Georgia",10,187,804103,10,804103,1326225
107,"d","Indiana",1,"(D)","(D)",1,"(D)","(D)"
107,"d","",,,,,,
107,"d","Kentucky",2,"(D)","(D)",2,"(D)","(D)"
107,"d","Maine",2,"(D)","(D)",2,"(D)","(D)"
107,"d","Maryland",5,4,7771,2,"(D)","(D)"
107,"d","Michigan",1,"(D)","(D)",1,"(D)","(D)"
107,"d","New Jersey",1,"(D)","(D)",1,"(D)","(D)"
107,"d","",,,,,,
107,"d","New York",2,"(D)","(D)",2,"(D)","(D)"
107,"d","Oregon",7,306,"(D)",7,"(D)","(D)"
107,"d","Vermont",4,1,640,4,640,1840
107,"d","Washington",5,252,1321709,5,1321529,2195987
107,"d","",,,,,,
107,"d","BLUEBERRIES, WILD (POUNDS)",,,,,,
107,"d","",,,,,,
107,"d","United States",57,409,400106,57,376481,907775
107,"d","",,,,,,
107,"d","California",2,"(D)","(D)",2,"(D)","(D)"
107,"d","Connecticut",3,1,66,3,66,528
107,"d","Maine",46,397,398485,46,376139,906119
107,"d","New York",2,"(D)","(D)",2,"(D)","(D)"
107,"d","Pennsylvania",2,"(D)","(D)",2,"(D)","(D)"
107,"d","Vermont",2,"(D)","(D)",2,"(D)","(D)"
107,"d","",,,,,,
107,"d","CRANBERRIES (BARRELS)",,,,,,
107,"d","",,,,,,
107,"d","United States",30,283,19247,28,18686,3091272
107,"d","",,,,,,
107,"d","Maine",4,1,"(D)",2,"(D)","(D)"
107,"d","Massachusetts",11,87,6641,11,"(D)","(D)"
107,"d","Ohio",1,"(D)","(D)",1,"(D)","(D)"
107,"d","Oregon",5,"(D)",350,5,350,74123
107,"d","Wisconsin",9,177,11760,9,11610,2582000
107,"d","",,,,,,
107,"d","RASPBERRIES (POUNDS)",,,,,,
107,"d","",,,,,,
107,"d","United States",465,608,4797906,460,4742618,14115141
107,"d","",,,,,,
107,"d","Alaska",2,"(D)","(D)",2,"(D)","(D)"
107,"d","Arizona",1,"(D)","(D)",1,"(D)","(D)"
107,"d","Arkansas",4,1,414,4,396,"(D)"
107,"d","California",57,330,4262685,57,4231409,"(D)"
107,"d","Colorado",2,"(D)","(D)",2,"(D)","(D)"
107,"d","",,,,,,
107,"d","Connecticut",12,2,1195,12,1144,7417
107,"d","Georgia",2,"(D)","(D)",2,"(D)","(D)"
107,"d","Idaho",10,2,2759,10,2759,10032
107,"d","Illinois",8,1,1088,8,1088,6429
107,"d","Indiana",5,2,2597,5,2577,"(D)"
107,"d","",,,,,,
107,"d","Iowa",3,"(Z)",56,3,56,366
107,"d","Kentucky",6,1,348,6,337,2677
107,"d","Maine",35,10,6483,33,5144,30866
107,"d","Maryland",14,2,1319,14,1208,"(D)"
107,"d","Massachusetts",14,14,11283,14,11273,"(D)"
107,"d","",,,,,,
107,"d","Michigan",11,4,4291,11,3767,20979
107,"d","Minnesota",15,8,13848,15,11899,63427
107,"c",""
107,"c","--continued"
