113,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
113,"t","Table 8.  All Organic Apples Harvested and Value of Sales – Certified and Exempt Organic Farms:  2014"
113,"t","[For meaning of abbreviations and symbols, see introductory text.]"
113,"h","","","","","","",""
113,"h","","","","","Value of sales","Value of sales","Value of sales"
113,"h","","","","","","",""
113,"h","","Harvested","Harvested","Harvested","Total","Total","Total"
113,"h","","","","","","",""
113,"h","Crop and geographic area","Farms","Acres","Pounds","Farms","Pounds","Dollars"
113,"h","","","","","","",""
113,"d","APPLES, ALL",,,,,,
113,"d","",,,,,,
113,"d","United States",868,16245,492760954,856,486992532,251390135
113,"d","",,,,,,
113,"d","Alaska",3,"(Z)",490,3,"(D)","(D)"
113,"d","Arizona",5,"(D)","(D)",5,"(D)","(D)"
113,"d","Arkansas",6,3,84120,6,84012,29778
113,"d","California",245,3030,39077555,243,37438467,25546604
113,"d","Colorado",17,195,3529099,17,3236089,2257278
113,"d","",,,,,,
113,"d","Connecticut",1,"(D)","(D)",1,"(D)","(D)"
113,"d","Georgia",7,14,174259,7,"(D)","(D)"
113,"d","Idaho",9,6,10550,7,"(D)",5950
113,"d","Illinois",5,"(D)",19286,5,14014,"(D)"
113,"d","Indiana",2,"(D)","(D)",2,"(D)","(D)"
113,"d","",,,,,,
113,"d","Iowa",4,"(D)",112352,4,"(D)",118246
113,"d","Kansas",2,"(D)","(D)",2,"(D)","(D)"
113,"d","Kentucky",8,2,10600,6,3740,4712
113,"d","Maine",27,144,789593,27,591963,210281
113,"d","Maryland",7,10,36303,7,6663,9243
113,"d","",,,,,,
113,"d","Massachusetts",6,22,49527,6,47892,35756
113,"d","Michigan",17,220,"(D)",17,"(D)","(D)"
113,"d","Minnesota",28,114,440766,26,384967,366316
113,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)"
113,"d","Montana",10,"(D)",643064,10,"(D)","(D)"
113,"d","",,,,,,
113,"d","Nebraska",2,"(D)","(D)",2,"(D)","(D)"
113,"d","Nevada",3,"(Z)",150,3,150,450
113,"d","New Hampshire",11,10,10754,11,"(D)",12204
113,"d","New Jersey",4,1,"(D)",4,"(D)",1290
113,"d","New Mexico",5,4,32420,5,29664,25776
113,"d","",,,,,,
113,"d","New York",24,161,2890179,23,"(D)",703982
113,"d","North Carolina",11,13,48098,11,43204,36858
113,"d","Ohio",3,1,24032,3,"(D)",8806
113,"d","Oklahoma",4,1,1100,4,1100,3700
113,"d","Oregon",71,273,4130419,71,4054981,1659439
113,"d","",,,,,,
113,"d","Pennsylvania",12,"(D)",1494270,12,"(D)","(D)"
113,"d","Tennessee",3,1,"(D)",3,"(D)","(D)"
113,"d","Texas",2,"(D)","(D)",2,"(D)","(D)"
113,"d","Utah",5,12,234214,5,212714,34574
113,"d","Vermont",20,238,2968782,20,2900788,5023896
113,"d","",,,,,,
113,"d","Virginia",9,17,39669,9,39669,"(D)"
113,"d","Washington",221,11173,428742904,221,427236476,210223740
113,"d","Wisconsin",47,108,441018,44,282726,189018
113,"d","",,,,,,
113,"d","APPLES, FRESH, ALL",,,,,,
113,"d","",,,,,,
113,"d","United States",770,"(X)","(X)",761,440916788,239952841
113,"d","",,,,,,
113,"d","Alaska",1,"(X)","(X)",1,"(D)","(D)"
113,"d","Arizona",5,"(X)","(X)",5,"(D)","(D)"
113,"d","Arkansas",6,"(X)","(X)",6,84012,29778
113,"d","California",206,"(X)","(X)",204,19313711,22256479
113,"d","Colorado",17,"(X)","(X)",17,"(D)","(D)"
113,"d","",,,,,,
113,"d","Connecticut",1,"(X)","(X)",1,"(D)","(D)"
113,"d","Georgia",7,"(X)","(X)",7,"(D)","(D)"
113,"d","Idaho",7,"(X)","(X)",7,"(D)",5950
113,"d","Illinois",5,"(X)","(X)",5,"(D)",4176
113,"d","Indiana",2,"(X)","(X)",2,"(D)","(D)"
113,"d","",,,,,,
113,"d","Iowa",4,"(X)","(X)",4,"(D)",118246
113,"d","Kansas",2,"(X)","(X)",2,"(D)","(D)"
113,"d","Kentucky",8,"(X)","(X)",6,3740,4712
113,"d","Maine",20,"(X)","(X)",20,"(D)",138066
113,"d","Maryland",7,"(X)","(X)",7,6663,9243
113,"c",""
113,"c","--continued"
