119,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
119,"t","Table 8.  All Organic Apples Harvested and Value of Sales – Certified and Exempt Organic Farms:  2014 (continued)"
119,"t","[For meaning of abbreviations and symbols, see introductory text.]"
119,"h","","","","","","",""
119,"h","","","","","Value of sales","Value of sales","Value of sales"
119,"h","","","","","","",""
119,"h","","Harvested","Harvested","Harvested","Total","Total","Total"
119,"h","","","","","","",""
119,"h","Crop and geographic area","Farms","Acres","Pounds","Farms","Pounds","Dollars"
119,"h","","","","","","",""
119,"d","FUJI, ALL - Con.",,,,,,
119,"d","",,,,,,
119,"d","New York",1,"(D)","(D)",1,"(D)","(D)"
119,"d","Oregon",12,13,"(D)",12,"(D)",56413
119,"d","Tennessee",2,"(D)","(D)",2,"(D)","(D)"
119,"d","Utah",2,"(D)","(D)",2,"(D)","(D)"
119,"d","Washington",89,2799,101108995,89,"(D)",45371779
119,"d","Wisconsin",1,"(D)","(D)",1,"(D)","(D)"
119,"d","",,,,,,
119,"d","GALA, ALL",,,,,,
119,"d","",,,,,,
119,"d","United States",209,3308,117613624,209,116359002,65507504
119,"d","",,,,,,
119,"d","Arizona",1,"(D)","(D)",1,"(D)","(D)"
119,"d","California",59,335,4337120,59,"(D)",3893111
119,"d","Colorado",8,25,"(D)",8,"(D)","(D)"
119,"d","Georgia",2,"(D)","(D)",2,"(D)","(D)"
119,"d","Maine",1,"(D)","(D)",1,"(D)","(D)"
119,"d","",,,,,,
119,"d","Massachusetts",1,"(D)","(D)",1,"(D)","(D)"
119,"d","Michigan",3,"(D)","(D)",3,2385,"(D)"
119,"d","Minnesota",1,"(D)","(D)",1,"(D)","(D)"
119,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)"
119,"d","Montana",2,"(D)","(D)",2,"(D)","(D)"
119,"d","",,,,,,
119,"d","New Hampshire",2,"(D)","(D)",2,"(D)","(D)"
119,"d","New Mexico",1,"(D)","(D)",1,"(D)","(D)"
119,"d","New York",2,"(D)","(D)",2,"(D)","(D)"
119,"d","North Carolina",2,"(D)","(D)",2,"(D)","(D)"
119,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)"
119,"d","",,,,,,
119,"d","Oregon",12,22,565286,12,565286,160236
119,"d","Utah",2,"(D)","(D)",2,"(D)","(D)"
119,"d","Washington",105,2742,110229719,105,110229719,60341016
119,"d","Wisconsin",1,"(D)","(D)",1,"(D)","(D)"
119,"d","",,,,,,
119,"d","GOLDEN DELICIOUS, ALL",,,,,,
119,"d","",,,,,,
119,"d","United States",159,1381,50351128,158,50169702,16837171
119,"d","",,,,,,
119,"d","California",48,411,5955995,48,5790689,960510
119,"d","Colorado",8,22,519508,8,514819,187790
119,"d","Illinois",2,"(D)","(D)",2,"(D)","(D)"
119,"d","Maine",5,4,13700,5,"(D)",9800
119,"d","Maryland",4,"(Z)",1353,4,"(D)","(D)"
119,"d","",,,,,,
119,"d","Michigan",6,28,"(D)",6,"(D)","(D)"
119,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)"
119,"d","New Hampshire",2,"(D)","(D)",2,"(D)","(D)"
119,"d","New York",5,"(D)",2953,4,2800,"(D)"
119,"d","North Carolina",2,"(D)","(D)",2,"(D)","(D)"
119,"d","",,,,,,
119,"d","Oregon",5,12,"(D)",5,"(D)","(D)"
119,"d","Utah",3,3,15600,3,15600,3060
119,"d","Washington",62,889,43031910,62,43022448,15452280
119,"d","Wisconsin",5,8,16048,5,16048,5650
119,"d","",,,,,,
119,"d","GRANNY SMITH, ALL",,,,,,
119,"d","",,,,,,
119,"d","United States",112,1044,32149956,112,32127935,17131508
119,"d","",,,,,,
119,"d","Arizona",1,"(D)","(D)",1,"(D)","(D)"
119,"d","California",44,149,3453540,44,3445746,"(D)"
119,"d","Colorado",2,"(D)","(D)",2,"(D)","(D)"
119,"d","Michigan",2,"(D)","(D)",2,"(D)","(D)"
119,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)"
119,"d","",,,,,,
119,"d","New Hampshire",2,"(D)","(D)",2,"(D)","(D)"
119,"d","North Carolina",2,"(D)","(D)",2,"(D)","(D)"
119,"d","Oregon",4,"(D)","(D)",4,"(D)","(D)"
119,"c",""
119,"c","--continued"
