126,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
126,"t","Table 8.  All Organic Apples Harvested and Value of Sales – Certified and Exempt Organic Farms:  2014 (continued)"
126,"t","[For meaning of abbreviations and symbols, see introductory text.]"
126,"h","","","","","","",""
126,"h","","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con."
126,"h","","","","","","",""
126,"h","","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
126,"h","","","","","","",""
126,"h","Crop and geographic area","Farms","Pounds","Dollars","Farms","Pounds","Dollars"
126,"h","","","","","","",""
126,"d","RED DELICIOUS, ALL - Con.",,,,,,
126,"d","",,,,,,
126,"d","Washington",52,"(D)","(D)",2,"(D)","(D)"
126,"d","Wisconsin",4,16000,5600,-,-,-
126,"d","",,,,,,
126,"d","ROME, ALL",,,,,,
126,"d","",,,,,,
126,"d","United States",31,"(D)","(D)",4,"(D)","(D)"
126,"d","",,,,,,
126,"d","California",19,2482704,459733,-,-,-
126,"d","Colorado",1,"(D)","(D)",-,-,-
126,"d","Georgia",-,-,-,2,"(D)","(D)"
126,"d","Michigan",3,"(D)","(D)",-,-,-
126,"d","New Hampshire",2,"(D)","(D)",-,-,-
126,"d","",,,,,,
126,"d","New Mexico",-,-,-,2,"(D)","(D)"
126,"d","New York",1,"(D)","(D)",-,-,-
126,"d","North Carolina",2,"(D)","(D)",-,-,-
126,"d","Washington",3,7713,3239,-,-,-
126,"d","",,,,,,
126,"d","OTHER VARIETIES, ALL",,,,,,
126,"d","",,,,,,
126,"d","United States",547,73922818,"(D)",29,168898,"(D)"
126,"d","",,,,,,
126,"d","Alaska",3,"(D)","(D)",-,-,-
126,"d","Arizona",4,400,600,-,-,-
126,"d","Arkansas",6,32412,16104,-,-,-
126,"d","California",163,10041273,6751528,6,82777,23092
126,"d","Colorado",6,"(D)","(D)",2,"(D)","(D)"
126,"d","",,,,,,
126,"d","Connecticut",1,"(D)","(D)",-,-,-
126,"d","Georgia",5,"(D)","(D)",2,"(D)","(D)"
126,"d","Idaho",5,"(D)","(D)",-,-,-
126,"d","Illinois",2,"(D)","(D)",-,-,-
126,"d","Indiana",2,"(D)","(D)",-,-,-
126,"d","",,,,,,
126,"d","Kansas",-,-,-,2,"(D)","(D)"
126,"d","Kentucky",2,"(D)","(D)",-,-,-
126,"d","Maine",21,"(D)","(D)",2,"(D)","(D)"
126,"d","Maryland",3,"(D)","(D)",3,"(D)","(D)"
126,"d","Massachusetts",6,41452,23756,-,-,-
126,"d","",,,,,,
126,"d","Michigan",8,23230,8080,-,-,-
126,"d","Minnesota",22,"(D)","(D)",4,"(D)","(D)"
126,"d","Missouri",2,"(D)","(D)",-,-,-
126,"d","Montana",6,"(D)","(D)",-,-,-
126,"d","Nebraska",2,"(D)","(D)",-,-,-
126,"d","",,,,,,
126,"d","New Hampshire",9,1930,4236,-,-,-
126,"d","New Jersey",1,"(D)","(D)",-,-,-
126,"d","New Mexico",4,"(D)","(D)",2,"(D)","(D)"
126,"d","New York",15,"(D)",60450,-,-,-
126,"d","North Carolina",9,"(D)","(D)",2,"(D)","(D)"
126,"d","",,,,,,
126,"d","Ohio",1,"(D)","(D)",-,-,-
126,"d","Oklahoma",4,1100,3700,-,-,-
126,"d","Oregon",48,1213710,626881,-,-,-
126,"d","Pennsylvania",12,"(D)","(D)",3,"(D)","(D)"
126,"d","Tennessee",1,"(D)","(D)",-,-,-
126,"d","",,,,,,
126,"d","Texas",2,"(D)","(D)",-,-,-
126,"d","Utah",2,"(D)","(D)",-,-,-
126,"d","Vermont",17,"(D)","(D)",-,-,-
126,"d","Virginia",6,8604,"(D)",-,-,-
126,"d","Washington",116,"(D)","(D)",1,"(D)","(D)"
126,"d","Wisconsin",31,110683,73546,-,-,-
126,"c",""
