127,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
127,"t","Table 9.  Fresh and Processed Organic Apples Value of Sales – Certified and Exempt Organic Farms:  2014"
127,"t","[For meaning of abbreviations and symbols, see introductory text.]"
127,"h","","","","","","","","","",""
127,"h","","Total","Total","Total","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
127,"h","","","","","","","","","",""
127,"h","Crop and geographic area","Farms","Pounds","Dollars","Farms","Pounds","Dollars","Farms","Pounds","Dollars"
127,"h","","","","","","","","","",""
127,"d","APPLES, FRESH, ALL",,,,,,,,,
127,"d","",,,,,,,,,
127,"d","United States",761,440916788,239952841,750,"(D)","(D)",50,"(D)","(D)"
127,"d","",,,,,,,,,
127,"d","Alaska",1,"(D)","(D)",1,"(D)","(D)",-,-,-
127,"d","Arizona",5,"(D)","(D)",5,"(D)","(D)",-,-,-
127,"d","Arkansas",6,84012,29778,6,84012,29778,-,-,-
127,"d","California",204,19313711,22256479,204,19291455,22226634,6,22256,29845
127,"d","Colorado",17,"(D)","(D)",16,"(D)","(D)",3,220,"(D)"
127,"d","",,,,,,,,,
127,"d","Connecticut",1,"(D)","(D)",1,"(D)","(D)",-,-,-
127,"d","Georgia",7,"(D)","(D)",7,"(D)","(D)",2,"(D)","(D)"
127,"d","Idaho",7,"(D)",5950,7,"(D)",5950,-,-,-
127,"d","Illinois",5,"(D)",4176,5,"(D)",4176,-,-,-
127,"d","Indiana",2,"(D)","(D)",2,"(D)","(D)",-,-,-
127,"d","",,,,,,,,,
127,"d","Iowa",4,"(D)",118246,2,"(D)","(D)",2,"(D)","(D)"
127,"d","Kansas",2,"(D)","(D)",-,-,-,2,"(D)","(D)"
127,"d","Kentucky",6,3740,4712,6,3740,4712,-,-,-
127,"d","Maine",20,"(D)",138066,20,"(D)","(D)",2,"(D)","(D)"
127,"d","Maryland",7,6663,9243,4,1863,4443,3,4800,4800
127,"d","",,,,,,,,,
127,"d","Massachusetts",6,17044,28044,6,17044,28044,-,-,-
127,"d","Michigan",10,"(D)","(D)",9,"(D)","(D)",1,"(D)","(D)"
127,"d","Minnesota",26,"(D)","(D)",26,"(D)","(D)",4,"(D)","(D)"
127,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)",-,-,-
127,"d","Montana",10,"(D)","(D)",10,"(D)","(D)",-,-,-
127,"d","",,,,,,,,,
127,"d","Nebraska",2,"(D)","(D)",2,"(D)","(D)",-,-,-
127,"d","Nevada",3,150,450,3,150,450,-,-,-
127,"d","New Hampshire",11,"(D)",12204,11,"(D)",12204,-,-,-
127,"d","New Jersey",4,"(D)",1290,4,"(D)",1290,-,-,-
127,"d","New Mexico",5,29664,25776,5,"(D)","(D)",2,"(D)","(D)"
127,"d","",,,,,,,,,
127,"d","New York",19,110469,"(D)",19,110469,"(D)",-,-,-
127,"d","North Carolina",11,43204,36858,9,"(D)","(D)",2,"(D)","(D)"
127,"d","Ohio",1,"(D)","(D)",1,"(D)","(D)",-,-,-
127,"d","Oklahoma",4,1100,3700,4,1100,3700,-,-,-
127,"d","Oregon",63,2861835,1350560,63,2861835,1350560,-,-,-
127,"d","",,,,,,,,,
127,"d","Pennsylvania",12,"(D)","(D)",12,"(D)","(D)",3,"(D)",332
127,"d","Tennessee",3,"(D)","(D)",3,"(D)","(D)",-,-,-
127,"d","Texas",2,"(D)","(D)",2,"(D)","(D)",-,-,-
127,"d","Utah",5,"(D)","(D)",5,"(D)","(D)",-,-,-
127,"d","Vermont",15,"(D)",4949444,15,"(D)","(D)",-,-,-
127,"d","",,,,,,,,,
127,"d","Virginia",9,36669,"(D)",9,36669,"(D)",-,-,-
127,"d","Washington",208,408380516,204627220,208,"(D)","(D)",18,"(D)","(D)"
127,"d","Wisconsin",36,114575,123734,36,114575,123734,-,-,-
127,"d","",,,,,,,,,
127,"d","APPLES, PROCESSING, ALL",,,,,,,,,
127,"d","",,,,,,,,,
127,"d","United States",205,46075744,11437294,204,"(D)","(D)",8,"(D)","(D)"
127,"d","",,,,,,,,,
127,"d","Alaska",2,"(D)","(D)",2,"(D)","(D)",-,-,-
127,"d","Arizona",5,"(D)","(D)",5,"(D)","(D)",-,-,-
127,"d","California",56,18124756,3290125,56,"(D)","(D)",4,"(D)","(D)"
127,"d","Colorado",5,"(D)","(D)",5,"(D)","(D)",-,-,-
127,"d","Illinois",2,"(D)","(D)",2,"(D)","(D)",-,-,-
127,"d","",,,,,,,,,
127,"d","Maine",11,"(D)",72215,11,"(D)",72215,-,-,-
127,"d","Massachusetts",4,30848,7712,4,30848,7712,-,-,-
127,"d","Michigan",8,"(D)","(D)",7,"(D)","(D)",1,"(D)","(D)"
127,"d","Minnesota",2,"(D)","(D)",2,"(D)","(D)",-,-,-
127,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)",-,-,-
127,"d","",,,,,,,,,
127,"d","New York",4,"(D)","(D)",4,"(D)","(D)",-,-,-
127,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)",-,-,-
127,"d","Oregon",11,1193146,308879,11,1193146,308879,-,-,-
127,"d","Pennsylvania",5,637088,443076,5,637088,443076,-,-,-
127,"d","Utah",2,"(D)","(D)",2,"(D)","(D)",-,-,-
127,"c",""
127,"c","--continued"
