129,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
129,"t","Table 9.  Fresh and Processed Organic Apples Value of Sales – Certified and Exempt Organic Farms:  2014 (continued)"
129,"t","[For meaning of abbreviations and symbols, see introductory text.]"
129,"h","","","","","","","","","",""
129,"h","","Total","Total","Total","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
129,"h","","","","","","","","","",""
129,"h","Crop and geographic area","Farms","Pounds","Dollars","Farms","Pounds","Dollars","Farms","Pounds","Dollars"
129,"h","","","","","","","","","",""
129,"d","EMPIRE, PROCESSING - Con.",,,,,,,,,
129,"d","",,,,,,,,,
129,"d","Vermont",2,"(D)","(D)",2,"(D)","(D)",-,-,-
129,"d","Washington",3,117300,"(D)",3,117300,"(D)",-,-,-
129,"d","",,,,,,,,,
129,"d","ENTERPRISE, FRESH",,,,,,,,,
129,"d","",,,,,,,,,
129,"d","United States",16,"(D)","(D)",16,"(D)","(D)",1,"(D)","(D)"
129,"d","",,,,,,,,,
129,"d","Iowa",2,"(D)","(D)",2,"(D)","(D)",-,-,-
129,"d","New Jersey",1,"(D)","(D)",1,"(D)","(D)",-,-,-
129,"d","New York",4,"(D)","(D)",4,"(D)","(D)",-,-,-
129,"d","Oregon",4,"(D)","(D)",4,"(D)","(D)",-,-,-
129,"d","Pennsylvania",3,"(D)","(D)",3,"(D)","(D)",1,"(D)","(D)"
129,"d","",,,,,,,,,
129,"d","Tennessee",1,"(D)","(D)",1,"(D)","(D)",-,-,-
129,"d","Washington",1,"(D)","(D)",1,"(D)","(D)",-,-,-
129,"d","",,,,,,,,,
129,"d","ENTERPRISE, PROCESSING",,,,,,,,,
129,"d","",,,,,,,,,
129,"d","United States",6,"(D)","(D)",6,"(D)","(D)",-,-,-
129,"d","",,,,,,,,,
129,"d","New York",2,"(D)","(D)",2,"(D)","(D)",-,-,-
129,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)",-,-,-
129,"d","Pennsylvania",2,"(D)","(D)",2,"(D)","(D)",-,-,-
129,"d","",,,,,,,,,
129,"d","FUJI, FRESH",,,,,,,,,
129,"d","",,,,,,,,,
129,"d","United States",211,106851922,53944972,209,106810004,53933879,7,41918,11093
129,"d","",,,,,,,,,
129,"d","Arizona",5,"(D)","(D)",5,"(D)","(D)",-,-,-
129,"d","California",86,"(D)","(D)",86,"(D)","(D)",1,"(D)","(D)"
129,"d","Colorado",5,"(D)","(D)",5,"(D)","(D)",-,-,-
129,"d","Georgia",2,"(D)","(D)",2,"(D)","(D)",-,-,-
129,"d","Iowa",2,"(D)","(D)",-,-,-,2,"(D)","(D)"
129,"d","",,,,,,,,,
129,"d","Kentucky",2,"(D)","(D)",2,"(D)","(D)",-,-,-
129,"d","Massachusetts",1,"(D)","(D)",1,"(D)","(D)",-,-,-
129,"d","Minnesota",1,"(D)","(D)",1,"(D)","(D)",-,-,-
129,"d","Montana",2,"(D)","(D)",2,"(D)","(D)",-,-,-
129,"d","New Hampshire",2,"(D)","(D)",2,"(D)","(D)",-,-,-
129,"d","",,,,,,,,,
129,"d","New Mexico",1,"(D)","(D)",1,"(D)","(D)",-,-,-
129,"d","New York",1,"(D)","(D)",1,"(D)","(D)",-,-,-
129,"d","Oregon",12,"(D)","(D)",12,"(D)","(D)",-,-,-
129,"d","Tennessee",2,"(D)","(D)",2,"(D)","(D)",-,-,-
129,"d","Utah",2,"(D)","(D)",2,"(D)","(D)",-,-,-
129,"d","Washington",85,"(D)",44844518,85,"(D)","(D)",4,"(D)","(D)"
129,"d","",,,,,,,,,
129,"d","FUJI, PROCESSING",,,,,,,,,
129,"d","",,,,,,,,,
129,"d","United States",31,2309029,645076,31,2309029,645076,-,-,-
129,"d","",,,,,,,,,
129,"d","Arizona",5,"(D)","(D)",5,"(D)","(D)",-,-,-
129,"d","California",6,"(D)","(D)",6,"(D)","(D)",-,-,-
129,"d","Colorado",1,"(D)","(D)",1,"(D)","(D)",-,-,-
129,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)",-,-,-
129,"d","Oregon",1,"(D)","(D)",1,"(D)","(D)",-,-,-
129,"d","",,,,,,,,,
129,"d","Utah",2,"(D)","(D)",2,"(D)","(D)",-,-,-
129,"d","Washington",13,1887708,527261,13,1887708,527261,-,-,-
129,"d","Wisconsin",1,"(D)","(D)",1,"(D)","(D)",-,-,-
129,"d","",,,,,,,,,
129,"d","GALA, FRESH",,,,,,,,,
129,"d","",,,,,,,,,
129,"d","United States",196,"(D)","(D)",194,"(D)","(D)",9,"(D)","(D)"
129,"d","",,,,,,,,,
129,"d","Arizona",1,"(D)","(D)",1,"(D)","(D)",-,-,-
129,"d","California",55,3499280,3764259,54,"(D)","(D)",3,"(D)","(D)"
129,"d","Colorado",8,"(D)","(D)",8,"(D)","(D)",-,-,-
129,"d","Georgia",2,"(D)","(D)",2,"(D)","(D)",-,-,-
129,"c",""
129,"c","--continued"
