138,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
138,"t","Table 11.  Organic Grapes Value of Sales by Utilization – Certified and Exempt Organic Farms:  2014"
138,"t","[For meaning of abbreviations and symbols, see introductory text.]"
138,"h","","","","","","","","","",""
138,"h","","Total","Total","Total","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
138,"h","","","","","","","","","",""
138,"h","Crop and geographic area","Farms","Tons","Dollars","Farms","Tons","Dollars","Farms","Tons","Dollars"
138,"h","","","","","","","","","",""
138,"d","ALL GRAPES",,,,,,,,,
138,"d","",,,,,,,,,
138,"d","United States",824,103604,195365182,810,98805,188276351,60,4800,7088831
138,"d","",,,,,,,,,
138,"d","Arizona",2,"(D)","(D)",2,"(D)","(D)",-,-,-
138,"d","California",530,85899,177540821,523,"(D)","(D)",47,"(D)","(D)"
138,"d","Colorado",5,31,117305,5,31,117305,-,-,-
138,"d","Connecticut",4,1,1782,4,1,1782,-,-,-
138,"d","Florida",9,"(D)","(D)",9,"(D)","(D)",2,"(D)","(D)"
138,"d","",,,,,,,,,
138,"d","Georgia",14,3,18555,12,"(D)","(D)",2,"(D)","(D)"
138,"d","Idaho",4,2,8800,4,2,8800,-,-,-
138,"d","Illinois",5,1,5234,5,1,5234,-,-,-
138,"d","Iowa",1,"(D)","(D)",1,"(D)","(D)",-,-,-
138,"d","Kentucky",6,3,6180,5,"(D)","(D)",1,"(D)","(D)"
138,"d","",,,,,,,,,
138,"d","Maine",6,"(Z)","(D)",6,"(Z)","(D)",-,-,-
138,"d","Maryland",5,"(Z)",214,5,"(Z)",184,3,"(Z)",30
138,"d","Massachusetts",9,38,80592,9,38,80592,-,-,-
138,"d","Michigan",9,2,8865,9,2,8865,-,-,-
138,"d","Minnesota",8,1,3086,7,"(D)","(D)",1,"(D)","(D)"
138,"d","",,,,,,,,,
138,"d","Missouri",3,"(D)","(D)",3,"(D)","(D)",-,-,-
138,"d","Montana",4,7,"(D)",4,7,"(D)",-,-,-
138,"d","Nevada",3,"(Z)",450,3,"(Z)",450,-,-,-
138,"d","New Hampshire",2,"(D)","(D)",2,"(D)","(D)",-,-,-
138,"d","New Jersey",6,"(Z)",1116,5,"(D)","(D)",1,"(D)","(D)"
138,"d","",,,,,,,,,
138,"d","New Mexico",7,5,5088,7,5,5088,-,-,-
138,"d","New York",19,705,"(D)",19,705,"(D)",-,-,-
138,"d","North Carolina",4,18,"(D)",4,18,"(D)",-,-,-
138,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)",-,-,-
138,"d","Oklahoma",2,"(D)","(D)",2,"(D)","(D)",-,-,-
138,"d","",,,,,,,,,
138,"d","Oregon",55,"(D)","(D)",55,"(D)","(D)",-,-,-
138,"d","Pennsylvania",1,"(D)","(D)",1,"(D)","(D)",-,-,-
138,"d","South Carolina",4,2,3024,4,2,3024,-,-,-
138,"d","Texas",4,"(Z)",1480,4,"(Z)",1480,-,-,-
138,"d","Vermont",7,"(Z)",2442,7,"(Z)",2442,-,-,-
138,"d","",,,,,,,,,
138,"d","Virginia",4,17,68524,4,17,68524,-,-,-
138,"d","Washington",71,13561,"(D)",71,"(D)","(D)",1,"(D)","(D)"
138,"d","Wisconsin",9,2,7140,7,"(D)","(D)",2,"(D)","(D)"
138,"d","",,,,,,,,,
138,"d","FRESH, TABLE USE",,,,,,,,,
138,"d","",,,,,,,,,
138,"d","United States",261,23511,59498758,259,"(D)","(D)",9,"(D)","(D)"
138,"d","",,,,,,,,,
138,"d","Arizona",2,"(D)","(D)",2,"(D)","(D)",-,-,-
138,"d","California",102,"(D)",58570708,102,"(D)","(D)",2,"(D)","(D)"
138,"d","Colorado",2,"(D)","(D)",2,"(D)","(D)",-,-,-
138,"d","Florida",9,"(D)","(D)",9,"(D)","(D)",2,"(D)","(D)"
138,"d","Georgia",12,"(D)","(D)",10,3,"(D)",2,"(D)","(D)"
138,"d","",,,,,,,,,
138,"d","Idaho",4,2,8800,4,2,8800,-,-,-
138,"d","Illinois",5,1,5234,5,1,5234,-,-,-
138,"d","Kentucky",4,"(D)","(D)",4,"(D)","(D)",-,-,-
138,"d","Maine",6,"(Z)","(D)",6,"(Z)","(D)",-,-,-
138,"d","Maryland",3,"(D)","(D)",3,"(D)","(D)",3,"(Z)",30
138,"d","",,,,,,,,,
138,"d","Massachusetts",5,"(Z)","(D)",5,"(Z)","(D)",-,-,-
138,"d","Michigan",9,"(D)","(D)",9,"(D)","(D)",-,-,-
138,"d","Minnesota",5,"(Z)",664,5,"(Z)",664,-,-,-
138,"d","Missouri",3,"(D)","(D)",3,"(D)","(D)",-,-,-
138,"d","Montana",2,"(D)","(D)",2,"(D)","(D)",-,-,-
138,"d","",,,,,,,,,
138,"d","Nevada",3,"(Z)",450,3,"(Z)",450,-,-,-
138,"d","New Jersey",3,"(D)",813,3,"(D)",813,-,-,-
138,"d","New Mexico",4,"(Z)",340,4,"(Z)",340,-,-,-
138,"d","New York",11,73,301675,11,73,301675,-,-,-
138,"d","North Carolina",2,"(D)","(D)",2,"(D)","(D)",-,-,-
138,"c",""
138,"c","--continued"
