139,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
139,"t","Table 11.  Organic Grapes Value of Sales by Utilization – Certified and Exempt Organic Farms:  2014 (continued)"
139,"t","[For meaning of abbreviations and symbols, see introductory text.]"
139,"h","","","","","","","","","",""
139,"h","","Total","Total","Total","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
139,"h","","","","","","","","","",""
139,"h","Crop and geographic area","Farms","Tons","Dollars","Farms","Tons","Dollars","Farms","Tons","Dollars"
139,"h","","","","","","","","","",""
139,"d","FRESH, TABLE USE - Con.",,,,,,,,,
139,"d","",,,,,,,,,
139,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)",-,-,-
139,"d","Oklahoma",2,"(D)","(D)",2,"(D)","(D)",-,-,-
139,"d","Oregon",22,"(D)","(D)",22,"(D)","(D)",-,-,-
139,"d","Pennsylvania",1,"(D)","(D)",1,"(D)","(D)",-,-,-
139,"d","South Carolina",4,2,3024,4,2,3024,-,-,-
139,"d","",,,,,,,,,
139,"d","Vermont",2,"(D)","(D)",2,"(D)","(D)",-,-,-
139,"d","Washington",25,"(D)","(D)",25,"(D)","(D)",-,-,-
139,"d","Wisconsin",7,1,4740,7,1,4740,-,-,-
139,"d","",,,,,,,,,
139,"d","WINE PRODUCTION",,,,,,,,,
139,"d","",,,,,,,,,
139,"d","United States",461,52937,106250305,452,49254,100484964,40,3683,5765341
139,"d","",,,,,,,,,
139,"d","Arizona",2,"(D)","(D)",2,"(D)","(D)",-,-,-
139,"d","California",352,45158,91467650,345,"(D)","(D)",37,"(D)","(D)"
139,"d","Colorado",5,"(D)","(D)",5,"(D)","(D)",-,-,-
139,"d","Connecticut",2,"(D)","(D)",2,"(D)","(D)",-,-,-
139,"d","Florida",2,"(D)","(D)",2,"(D)","(D)",-,-,-
139,"d","",,,,,,,,,
139,"d","Georgia",2,"(D)","(D)",2,"(D)","(D)",-,-,-
139,"d","Iowa",1,"(D)","(D)",1,"(D)","(D)",-,-,-
139,"d","Kentucky",6,3,5028,5,"(D)","(D)",1,"(D)","(D)"
139,"d","Massachusetts",2,"(D)","(D)",2,"(D)","(D)",-,-,-
139,"d","Michigan",2,"(D)","(D)",2,"(D)","(D)",-,-,-
139,"d","",,,,,,,,,
139,"d","Minnesota",1,"(D)","(D)",-,-,-,1,"(D)","(D)"
139,"d","Montana",2,"(D)","(D)",2,"(D)","(D)",-,-,-
139,"d","New Jersey",2,"(D)","(D)",2,"(D)","(D)",-,-,-
139,"d","New Mexico",3,5,4748,3,5,4748,-,-,-
139,"d","New York",7,77,"(D)",7,77,"(D)",-,-,-
139,"d","",,,,,,,,,
139,"d","North Carolina",2,"(D)","(D)",2,"(D)","(D)",-,-,-
139,"d","Oregon",34,3223,8969650,34,3223,8969650,-,-,-
139,"d","Texas",2,"(D)","(D)",2,"(D)","(D)",-,-,-
139,"d","Virginia",4,17,68524,4,17,68524,-,-,-
139,"d","Washington",28,4357,5273620,28,"(D)","(D)",1,"(D)","(D)"
139,"d","",,,,,,,,,
139,"d","JUICE PRODUCTION",,,,,,,,,
139,"d","",,,,,,,,,
139,"d","United States",58,14496,3832913,55,"(D)","(D)",3,"(D)","(D)"
139,"d","",,,,,,,,,
139,"d","California",14,"(D)","(D)",13,"(D)","(D)",1,"(D)","(D)"
139,"d","New Hampshire",2,"(D)","(D)",2,"(D)","(D)",-,-,-
139,"d","New York",12,555,194579,12,555,194579,-,-,-
139,"d","Pennsylvania",1,"(D)","(D)",1,"(D)","(D)",-,-,-
139,"d","Vermont",3,"(Z)",54,3,"(Z)",54,-,-,-
139,"d","",,,,,,,,,
139,"d","Washington",24,"(D)",1890698,24,"(D)",1890698,-,-,-
139,"d","Wisconsin",2,"(D)","(D)",-,-,-,2,"(D)","(D)"
139,"d","",,,,,,,,,
139,"d","RAISINS",,,,,,,,,
139,"d","",,,,,,,,,
139,"d","United States",94,12656,25755700,94,"(D)","(D)",8,"(D)","(D)"
139,"d","",,,,,,,,,
139,"d","California",91,"(D)",25755503,91,"(D)","(D)",8,"(D)","(D)"
139,"d","Colorado",2,"(D)","(D)",2,"(D)","(D)",-,-,-
139,"d","Washington",1,"(D)","(D)",1,"(D)","(D)",-,-,-
139,"d","",,,,,,,,,
139,"d","OTHER PROCESSING",,,,,,,,,
139,"d"," USES",,,,,,,,,
139,"d","",,,,,,,,,
139,"d","United States",28,4,27506,27,"(D)","(D)",1,"(D)","(D)"
139,"d","",,,,,,,,,
139,"d","California",3,"(Z)","(D)",3,"(Z)","(D)",-,-,-
139,"d","Connecticut",2,"(D)","(D)",2,"(D)","(D)",-,-,-
139,"d","Kentucky",2,"(D)","(D)",2,"(D)","(D)",-,-,-
139,"d","Maryland",2,"(D)","(D)",2,"(D)","(D)",-,-,-
139,"d","Massachusetts",2,"(D)","(D)",2,"(D)","(D)",-,-,-
139,"c",""
139,"c","--continued"
