161,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
161,"t","Table 12.  Organic Field Crops Harvested and Value of Sales – Certified and Exempt Organic Farms:  2014 (continued)"
161,"t","[For meaning of abbreviations and symbols, see introductory text.]"
161,"h","","","","","","",""
161,"h","","","","","Value of sales","Value of sales","Value of sales"
161,"h","","","","","","",""
161,"h","","Harvested","Harvested","Harvested","Total","Total","Total"
161,"h","","","","","","",""
161,"h","Crop and geographic area","Farms","Acres","Quantity","Farms","Quantity","Dollars"
161,"h","","","","","","",""
161,"d","PEAS, ALL DRY EDIBLE (CWT) - Con.",,,,,,
161,"d","",,,,,,
161,"d","Georgia",2,"(D)","(D)",2,"(D)","(D)"
161,"d","Idaho",1,"(D)","(D)",1,"(D)","(D)"
161,"d","Illinois",1,"(D)","(D)",-,-,-
161,"d","Iowa",2,"(D)","(D)",-,-,-
161,"d","Minnesota",11,349,6590,11,4481,109218
161,"d","",,,,,,
161,"d","Montana",11,3182,32622,11,32622,826835
161,"d","Nebraska",2,"(D)","(D)",1,"(D)","(D)"
161,"d","New York",4,176,3957,4,3941,97386
161,"d","North Dakota",4,595,8643,4,8548,205687
161,"d","Washington",3,"(D)","(D)",3,"(D)","(D)"
161,"d","Wisconsin",1,"(D)","(D)",-,-,-
161,"d","",,,,,,
161,"d","PEAS, AUSTRIAN WINTER (CWT)",,,,,,
161,"d","",,,,,,
161,"d","United States",8,1352,21238,8,21238,811750
161,"d","",,,,,,
161,"d","California",3,300,"(D)",3,"(D)","(D)"
161,"d","Kansas",2,"(D)","(D)",2,"(D)","(D)"
161,"d","Montana",2,"(D)","(D)",2,"(D)","(D)"
161,"d","Oregon",1,"(D)","(D)",1,"(D)","(D)"
161,"d","",,,,,,
161,"d","POPCORN (POUNDS SHELLED)",,,,,,
161,"d","",,,,,,
161,"d","United States",67,4253,16938648,67,16391580,7183848
161,"d","",,,,,,
161,"d","California",2,"(D)","(D)",2,"(D)","(D)"
161,"d","Colorado",2,"(D)","(D)",2,"(D)","(D)"
161,"d","Illinois",5,376,1048833,5,1048833,494474
161,"d","Indiana",2,"(D)","(D)",2,"(D)","(D)"
161,"d","Iowa",3,"(D)","(D)",3,"(D)","(D)"
161,"d","",,,,,,
161,"d","Kentucky",1,"(D)","(D)",1,"(D)","(D)"
161,"d","Massachusetts",1,"(D)","(D)",1,"(D)","(D)"
161,"d","Michigan",2,"(D)","(D)",2,"(D)","(D)"
161,"d","Minnesota",3,150,690447,3,690447,303798
161,"d","Missouri",7,1234,4080400,7,4080400,1787676
161,"d","",,,,,,
161,"d","Nebraska",20,1767,8502273,20,8090199,3575961
161,"d","New Jersey",1,"(D)","(D)",1,"(D)","(D)"
161,"d","New York",4,39,154212,4,22068,10718
161,"d","Ohio",1,"(D)","(D)",1,"(D)","(D)"
161,"d","South Dakota",4,245,804597,4,804597,351466
161,"d","",,,,,,
161,"d","Vermont",2,"(D)","(D)",2,"(D)","(D)"
161,"d","Virginia",2,"(D)","(D)",2,"(D)","(D)"
161,"d","Washington",2,"(D)","(D)",2,"(D)","(D)"
161,"d","Wisconsin",3,"(D)",7403,3,7403,3257
161,"d","",,,,,,
161,"d","PROSO MILLET (BUSHELS)",,,,,,
161,"d","",,,,,,
161,"d","United States",39,11305,270886,36,218825,2115606
161,"d","",,,,,,
161,"d","California",2,"(D)","(D)",2,"(D)","(D)"
161,"d","Colorado",8,4772,133554,8,110012,963312
161,"d","Nebraska",21,5433,108545,19,"(D)","(D)"
161,"d","North Dakota",4,"(D)",11200,4,11200,131780
161,"d","South Dakota",1,"(D)","(D)",-,-,-
161,"d","Wyoming",3,"(D)",10790,3,7129,"(D)"
161,"d","",,,,,,
161,"d","RICE, ALL (CWT)",,,,,,
161,"d","",,,,,,
161,"d","United States",85,25013,1164276,85,1150555,34813208
161,"d","",,,,,,
161,"d","California",46,11203,615213,46,607958,22850003
161,"d","Florida",2,"(D)","(D)",2,"(D)","(D)"
161,"d","Missouri",1,"(D)","(D)",1,"(D)","(D)"
161,"c",""
161,"c","--continued"
