162,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
162,"t","Table 12.  Organic Field Crops Harvested and Value of Sales – Certified and Exempt Organic Farms:  2014 (continued)"
162,"t","[For meaning of abbreviations and symbols, see introductory text.]"
162,"h","","","","","","",""
162,"h","","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con."
162,"h","","","","","","",""
162,"h","","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
162,"h","","","","","","",""
162,"h","Crop and geographic area","Farms","Quantity","Dollars","Farms","Quantity","Dollars"
162,"h","","","","","","",""
162,"d","PEAS, ALL DRY EDIBLE (CWT) - Con.",,,,,,
162,"d","",,,,,,
162,"d","Georgia",2,"(D)","(D)",-,-,-
162,"d","Idaho",1,"(D)","(D)",-,-,-
162,"d","Illinois",-,-,-,-,-,-
162,"d","Iowa",-,-,-,-,-,-
162,"d","Minnesota",11,4481,109218,-,-,-
162,"d","",,,,,,
162,"d","Montana",11,32622,826835,-,-,-
162,"d","Nebraska",1,"(D)","(D)",-,-,-
162,"d","New York",4,3941,97386,-,-,-
162,"d","North Dakota",4,8548,205687,-,-,-
162,"d","Washington",3,"(D)","(D)",-,-,-
162,"d","Wisconsin",-,-,-,-,-,-
162,"d","",,,,,,
162,"d","PEAS, AUSTRIAN WINTER (CWT)",,,,,,
162,"d","",,,,,,
162,"d","United States",6,"(D)","(D)",2,"(D)","(D)"
162,"d","",,,,,,
162,"d","California",1,"(D)","(D)",2,"(D)","(D)"
162,"d","Kansas",2,"(D)","(D)",-,-,-
162,"d","Montana",2,"(D)","(D)",-,-,-
162,"d","Oregon",1,"(D)","(D)",-,-,-
162,"d","",,,,,,
162,"d","POPCORN (POUNDS SHELLED)",,,,,,
162,"d","",,,,,,
162,"d","United States",67,"(D)","(D)",1,"(D)","(D)"
162,"d","",,,,,,
162,"d","California",2,"(D)","(D)",-,-,-
162,"d","Colorado",2,"(D)","(D)",-,-,-
162,"d","Illinois",5,"(D)","(D)",1,"(D)","(D)"
162,"d","Indiana",2,"(D)","(D)",-,-,-
162,"d","Iowa",3,"(D)","(D)",-,-,-
162,"d","",,,,,,
162,"d","Kentucky",1,"(D)","(D)",-,-,-
162,"d","Massachusetts",1,"(D)","(D)",-,-,-
162,"d","Michigan",2,"(D)","(D)",-,-,-
162,"d","Minnesota",3,690447,303798,-,-,-
162,"d","Missouri",7,4080400,1787676,-,-,-
162,"d","",,,,,,
162,"d","Nebraska",20,8090199,3575961,-,-,-
162,"d","New Jersey",1,"(D)","(D)",-,-,-
162,"d","New York",4,22068,10718,-,-,-
162,"d","Ohio",1,"(D)","(D)",-,-,-
162,"d","South Dakota",4,804597,351466,-,-,-
162,"d","",,,,,,
162,"d","Vermont",2,"(D)","(D)",-,-,-
162,"d","Virginia",2,"(D)","(D)",-,-,-
162,"d","Washington",2,"(D)","(D)",-,-,-
162,"d","Wisconsin",3,7403,3257,-,-,-
162,"d","",,,,,,
162,"d","PROSO MILLET (BUSHELS)",,,,,,
162,"d","",,,,,,
162,"d","United States",36,218125,2112848,3,700,2758
162,"d","",,,,,,
162,"d","California",2,"(D)","(D)",-,-,-
162,"d","Colorado",8,"(D)","(D)",1,"(D)","(D)"
162,"d","Nebraska",19,"(D)","(D)",2,"(D)","(D)"
162,"d","North Dakota",4,11200,131780,-,-,-
162,"d","South Dakota",-,-,-,-,-,-
162,"d","Wyoming",3,7129,"(D)",-,-,-
162,"d","",,,,,,
162,"d","RICE, ALL (CWT)",,,,,,
162,"d","",,,,,,
162,"d","United States",85,"(D)","(D)",1,"(D)","(D)"
162,"d","",,,,,,
162,"d","California",46,607958,22850003,-,-,-
162,"d","Florida",2,"(D)","(D)",-,-,-
162,"d","Missouri",1,"(D)","(D)",-,-,-
162,"c",""
162,"c","--continued"
