175,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
175,"t","Table 13.  Organic Floriculture Crops, Nursery Crops, Propagative Materials, and Mushrooms Produced and Value of Sales – Certified and Exempt Organic Farms:  2014"
175,"t","[For meaning of abbreviations and symbols, see introductory text.]"
175,"h","","","","","","",""
175,"h","","Under glass or other protection","Under glass or other protection","In the open","In the open","Value of sales","Value of sales"
175,"h","","","","","","",""
175,"h","Crop and geographic area","Farms","Square feet","Farms","Acres","Farms","Dollars"
175,"h","","","","","","",""
175,"d","FLORICULTURE AND BEDDING",,,,,,
175,"d"," CROPS",,,,,,
175,"d","",,,,,,
175,"d","United States",242,2107052,252,483,427,27330041
175,"d","",,,,,,
175,"d","Alabama",1,"(D)",3,3,4,"(D)"
175,"d","Alaska",1,"(D)",1,"(D)",1,"(D)"
175,"d","Arkansas",-,-,2,"(D)",2,"(D)"
175,"d","California",42,768200,48,148,83,"(D)"
175,"d","Colorado",5,34384,3,7,6,383169
175,"d","",,,,,,
175,"d","Connecticut",3,"(D)",9,4,10,45693
175,"d","Delaware",2,"(D)",-,-,2,"(D)"
175,"d","Florida",6,31000,8,12,10,34802
175,"d","Georgia",2,"(D)",2,"(D)",2,"(D)"
175,"d","Hawaii",2,"(D)",5,13,7,"(D)"
175,"d","",,,,,,
175,"d","Idaho",-,-,2,"(D)",2,"(D)"
175,"d","Illinois",13,53460,3,2,13,397100
175,"d","Indiana",-,-,2,"(D)",2,"(D)"
175,"d","Iowa",1,"(D)",6,1,7,13996
175,"d","Kansas",2,"(D)",-,-,2,"(D)"
175,"d","",,,,,,
175,"d","Kentucky",2,"(D)",4,"(D)",4,"(D)"
175,"d","Maine",4,7000,8,6,12,46200
175,"d","Maryland",7,6296,2,"(D)",9,52333
175,"d","Massachusetts",3,18744,23,13,24,"(D)"
175,"d","Michigan",1,"(D)",5,1,5,"(D)"
175,"d","",,,,,,
175,"d","Minnesota",5,4540,-,-,5,13343
175,"d","Missouri",2,"(D)",1,"(D)",3,3139
175,"d","Montana",-,-,1,"(D)",1,"(D)"
175,"d","Nebraska",2,"(D)",-,-,2,"(D)"
175,"d","Nevada",2,"(D)",-,-,2,"(D)"
175,"d","",,,,,,
175,"d","New Hampshire",13,11760,10,64,19,"(D)"
175,"d","New Jersey",-,-,4,4,4,"(D)"
175,"d","New Mexico",3,8016,2,"(D)",5,22482
175,"d","New York",15,89406,16,15,28,1465342
175,"d","North Carolina",1,"(D)",7,3,7,"(D)"
175,"d","",,,,,,
175,"d","North Dakota",-,-,3,"(Z)",3,2526
175,"d","Ohio",7,67880,6,9,9,1099012
175,"d","Oregon",15,168312,11,23,21,1598415
175,"d","Pennsylvania",5,"(D)",6,8,8,"(D)"
175,"d","Rhode Island",3,2592,3,2,3,24000
175,"d","",,,,,,
175,"d","South Carolina",2,"(D)",4,"(D)",4,27000
175,"d","Tennessee",2,"(D)",2,"(D)",2,"(D)"
175,"d","Texas",5,82740,-,-,5,1626282
175,"d","Utah",2,"(D)",-,-,2,"(D)"
175,"d","Vermont",33,89084,6,3,34,"(D)"
175,"d","",,,,,,
175,"d","Virginia",8,"(D)",5,5,10,"(D)"
175,"d","Washington",10,133978,23,98,30,"(D)"
175,"d","West Virginia",-,-,2,"(D)",2,"(D)"
175,"d","Wisconsin",10,7740,4,"(D)",11,"(D)"
175,"d","",,,,,,
175,"d","NURSERY CROPS, INCLUDING AQUATIC",,,,,,
175,"d"," PLANTS",,,,,,
175,"d","",,,,,,
175,"d","United States",124,2241441,104,405,197,35740010
175,"d","",,,,,,
175,"d","Arizona",-,-,1,"(D)",1,"(D)"
175,"d","California",41,1656589,29,198,57,26259356
175,"d","Colorado",5,18200,-,-,5,"(D)"
175,"d","Connecticut",2,"(D)",-,-,2,"(D)"
175,"d","Florida",2,"(D)",1,"(D)",2,"(D)"
175,"d","",,,,,,
175,"d","Georgia",3,2400,-,-,3,30000
175,"d","Hawaii",3,8200,3,4,5,214213
175,"c",""
175,"c","--continued"
