192,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
192,"t","Table 16.  Organic Livestock and Poultry Inventory and Sales – Certified and Exempt Organic Farms:  2014 (continued)"
192,"t","[For meaning of abbreviations and symbols, see introductory text.]"
192,"h","","","","","","",""
192,"h","","","","","Value of sales","Value of sales","Value of sales"
192,"h","","","","","","",""
192,"h","","Inventory","Inventory","Inventory","Total","Total","Total"
192,"h","","","","","","",""
192,"h","","","","December 31,","","",""
192,"h","Commodity and geographic area","Farms","Peak","2014","Farms","Quantity","Dollars"
192,"h","","","","","","",""
192,"d","TURKEYS - Con.",,,,,,
192,"d","",,,,,,
192,"d","Indiana",2,"(D)","(D)",1,"(D)","(D)"
192,"d","Iowa",3,"(D)","(D)",3,"(D)","(D)"
192,"d","Kentucky",3,750,750,3,750,57000
192,"d","Maine",16,1621,21,16,1530,102491
192,"d","Maryland",2,"(D)",-,2,"(D)","(D)"
192,"d","",,,,,,
192,"d","Massachusetts",5,324,"(D)",4,240,18800
192,"d","Michigan",5,"(D)","(D)",5,"(D)","(D)"
192,"d","Minnesota",9,70900,"(D)",9,70888,2036005
192,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)"
192,"d","Montana",4,1500,"(D)",4,360,18000
192,"d","",,,,,,
192,"d","Nebraska",2,"(D)","(D)",2,"(D)","(D)"
192,"d","New Hampshire",6,120,-,6,78,4800
192,"d","New Mexico",3,"(D)","(D)",1,"(D)","(D)"
192,"d","New York",12,903,46,10,1093,71433
192,"d","North Carolina",1,"(D)",-,1,"(D)","(D)"
192,"d","",,,,,,
192,"d","Ohio",6,168,-,6,165,3732
192,"d","Pennsylvania",9,"(D)",24215,7,"(D)","(D)"
192,"d","South Carolina",3,90,15,3,120,6720
192,"d","Texas",4,50,-,4,34,1900
192,"d","Vermont",11,740,170,10,1090,80148
192,"d","",,,,,,
192,"d","Virginia",1,"(D)",-,1,"(D)","(D)"
192,"d","Washington",14,868,68,6,728,53548
192,"d","Wisconsin",13,3960,-,13,3591,"(D)"
192,"d","",,,,,,
192,"d","OTHER ORGANIC POULTRY",,,,,,
192,"d"," (SEE TEXT)",,,,,,
192,"d","",,,,,,
192,"d","United States",116,"(X)","(X)",83,"(X)",12610518
192,"d","",,,,,,
192,"d","California",12,"(X)","(X)",6,"(X)",581050
192,"d","Georgia",4,"(X)","(X)",2,"(X)","(D)"
192,"d","Idaho",1,"(X)","(X)",1,"(X)","(D)"
192,"d","Illinois",4,"(X)","(X)",4,"(X)",1680010
192,"d","Indiana",2,"(X)","(X)",-,"(X)",-
192,"d","",,,,,,
192,"d","Iowa",10,"(X)","(X)",9,"(X)",2338216
192,"d","Maine",6,"(X)","(X)",3,"(X)",38490
192,"d","Maryland",3,"(X)","(X)",3,"(X)",2520
192,"d","Michigan",1,"(X)","(X)",-,"(X)",-
192,"d","Minnesota",2,"(X)","(X)",2,"(X)","(D)"
192,"d","",,,,,,
192,"d","Missouri",1,"(X)","(X)",-,"(X)",-
192,"d","Montana",2,"(X)","(X)",-,"(X)",-
192,"d","New Hampshire",1,"(X)","(X)",1,"(X)","(D)"
192,"d","New Jersey",4,"(X)","(X)",1,"(X)","(D)"
192,"d","New York",7,"(X)","(X)",5,"(X)","(D)"
192,"d","",,,,,,
192,"d","North Carolina",4,"(X)","(X)",4,"(X)",556547
192,"d","Ohio",5,"(X)","(X)",5,"(X)",2890000
192,"d","Pennsylvania",6,"(X)","(X)",4,"(X)","(D)"
192,"d","South Dakota",2,"(X)","(X)",-,"(X)",-
192,"d","Texas",2,"(X)","(X)",-,"(X)",-
192,"d","",,,,,,
192,"d","Vermont",5,"(X)","(X)",5,"(X)",1100
192,"d","Virginia",1,"(X)","(X)",1,"(X)","(D)"
192,"d","Washington",13,"(X)","(X)",12,"(X)",17840
192,"d","Wisconsin",18,"(X)","(X)",15,"(X)","(D)"
192,"c",""
192,"c","--continued"
