202,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
202,"t","Table 20.  Organic Production Expenses – Certified and Exempt Organic Farms:  2014 (continued)"
202,"t","[For meaning of abbreviations and symbols, see introductory text.]"
202,"h","","","","","","","",""
202,"h","Item","","Colorado","Connecticut","Delaware","Florida","Georgia","Hawaii"
202,"h","","","","","","","",""
202,"d","Total organic production expenses","farms",157,122,10,166,117,166
202,"d","","$1,000",111632,3605,202,44303,8880,8503
202,"d","    Average per farm","dollars",711035,29549,20179,266884,75897,51223
202,"d","","",,,,,,
202,"d","  Organic certification expense","farms",134,78,6,146,86,121
202,"d","","$1,000",258,44,4,215,136,133
202,"d","  Fertilizer, lime, and soil conditioners","farms",100,86,9,128,82,132
202,"d","","$1,000",2898,134,9,3379,872,691
202,"d","  Agricultural chemicals, beneficial insects,","",,,,,,
202,"d","   and other organic materials for pest","",,,,,,
202,"d","   control","farms",70,55,7,101,68,88
202,"d","","$1,000",576,12,2,2085,463,92
202,"d","  Gasoline, diesel, fuels, and oils","",,,,,,
202,"d","   purchased for the farm business","farms",144,115,10,135,111,137
202,"d","","$1,000",3367,202,20,2161,336,410
202,"d","  Seed, plants, vines, trees, etc.","",,,,,,
202,"d","   purchased","farms",121,106,9,111,83,77
202,"d","","$1,000",2039,155,22,1094,349,305
202,"d","","",,,,,,
202,"d","  Hired agricultural labor including","",,,,,,
202,"d","   contract labor (include wages","",,,,,,
202,"d","   and benefit expenses)","farms",115,34,6,123,75,82
202,"d","","$1,000",12689,1431,66,20622,3197,4129
202,"d","  Livestock purchased or leased","",,,,,,
202,"d","   (see text)","farms",10,12,1,5,6,2
202,"d","","$1,000","(D)",13,"(D)",6,1,"(D)"
202,"d","  Feed purchased for livestock and","",,,,,,
202,"d","   poultry","farms",23,24,1,14,18,5
202,"d","","$1,000","(D)",249,"(D)",98,44,"(D)"
202,"d","  Interest paid on all debt related to the","",,,,,,
202,"d","   farm business","farms",90,27,1,57,43,36
202,"d","","$1,000",7315,102,"(D)",1131,284,137
202,"d","  Property taxes paid in 2014","farms",133,94,10,132,86,95
202,"d","","$1,000",653,212,8,1236,430,123
202,"d","","",,,,,,
202,"d","  Rent and lease expenses for land,","",,,,,,
202,"d","   buildings, machinery, etc. - including","",,,,,,
202,"d","   grazing fees","farms",63,28,1,50,24,56
202,"d","","$1,000",1954,168,"(D)",1740,264,373
202,"d","  Customwork such as custom","",,,,,,
202,"d","   hauling, custom planting, custom","",,,,,,
202,"d","   harvesting, etc.","farms",54,16,5,54,35,37
202,"d","","$1,000",2457,47,4,1200,212,54
202,"d","  Repairs, supplies, and maintenance","",,,,,,
202,"d","   costs","farms",145,107,9,146,93,127
202,"d","","$1,000",4931,393,25,2900,445,532
202,"d","  Utilities expense (including water","",,,,,,
202,"d","   purchased)","farms",132,81,8,122,76,124
202,"d","","$1,000",4748,173,"(D)",1713,181,472
202,"d","  All other production expenses - Include","",,,,,,
202,"d","   animal health cost, storage, marketing","",,,,,,
202,"d","   expenses, etc. (see text)","farms",112,77,4,107,69,77
202,"d","","$1,000",6879,270,8,4724,1666,1045
202,"c",""
202,"c","--continued"
