203,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
203,"t","Table 20.  Organic Production Expenses – Certified and Exempt Organic Farms:  2014 (continued)"
203,"t","[For meaning of abbreviations and symbols, see introductory text.]"
203,"h","","","","","","","",""
203,"h","Item","","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky"
203,"h","","","","","","","",""
203,"d","Total organic production expenses","farms",161,249,282,612,83,107
203,"d","","$1,000",50367,31853,41734,64679,10328,4823
203,"d","    Average per farm","dollars",312837,127924,147993,105685,124437,45078
203,"d","","",,,,,,
203,"d","  Organic certification expense","farms",151,215,251,593,77,86
203,"d","","$1,000",244,271,300,685,96,33
203,"d","  Fertilizer, lime, and soil conditioners","farms",92,168,191,353,48,73
203,"d","","$1,000","(D)",2486,1393,3790,"(D)",493
203,"d","  Agricultural chemicals, beneficial insects,","",,,,,,
203,"d","   and other organic materials for pest","",,,,,,
203,"d","   control","farms",56,95,55,115,14,56
203,"d","","$1,000",668,191,52,179,14,59
203,"d","  Gasoline, diesel, fuels, and oils","",,,,,,
203,"d","   purchased for the farm business","farms",150,234,252,586,69,87
203,"d","","$1,000",2696,1754,1527,3629,744,276
203,"d","  Seed, plants, vines, trees, etc.","",,,,,,
203,"d","   purchased","farms",114,197,183,475,67,84
203,"d","","$1,000",1188,1763,929,4075,1081,250
203,"d","","",,,,,,
203,"d","  Hired agricultural labor including","",,,,,,
203,"d","   contract labor (include wages","",,,,,,
203,"d","   and benefit expenses)","farms",112,162,89,309,44,45
203,"d","","$1,000",5295,4567,6315,"(D)","(D)",587
203,"d","  Livestock purchased or leased","",,,,,,
203,"d","   (see text)","farms",19,36,58,105,1,11
203,"d","","$1,000",2464,1781,1851,3125,"(D)",221
203,"d","  Feed purchased for livestock and","",,,,,,
203,"d","   poultry","farms",27,50,142,181,6,37
203,"d","","$1,000","(D)",7309,21936,"(D)","(D)",1490
203,"d","  Interest paid on all debt related to the","",,,,,,
203,"d","   farm business","farms",80,127,148,315,33,38
203,"d","","$1,000","(D)",1353,1401,3076,301,208
203,"d","  Property taxes paid in 2014","farms",144,199,198,514,64,80
203,"d","","$1,000",1233,597,658,1747,262,84
203,"d","","",,,,,,
203,"d","  Rent and lease expenses for land,","",,,,,,
203,"d","   buildings, machinery, etc. - including","",,,,,,
203,"d","   grazing fees","farms",72,110,117,245,33,24
203,"d","","$1,000",2712,4564,682,6008,685,91
203,"d","  Customwork such as custom","",,,,,,
203,"d","   hauling, custom planting, custom","",,,,,,
203,"d","   harvesting, etc.","farms",69,126,135,349,39,31
203,"d","","$1,000",1084,864,356,1975,269,56
203,"d","  Repairs, supplies, and maintenance","",,,,,,
203,"d","   costs","farms",146,220,245,540,71,88
203,"d","","$1,000",3824,2109,2128,4993,871,535
203,"d","  Utilities expense (including water","",,,,,,
203,"d","   purchased)","farms",124,178,108,365,59,77
203,"d","","$1,000","(D)",684,475,1344,313,156
203,"d","  All other production expenses - Include","",,,,,,
203,"d","   animal health cost, storage, marketing","",,,,,,
203,"d","   expenses, etc. (see text)","farms",107,141,162,309,51,67
203,"d","","$1,000",3576,1561,1732,2066,293,284
203,"c",""
203,"c","--continued"
