204,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
204,"t","Table 20.  Organic Production Expenses – Certified and Exempt Organic Farms:  2014 (continued)"
204,"t","[For meaning of abbreviations and symbols, see introductory text.]"
204,"h","","","","","","","",""
204,"h","Item","","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota"
204,"h","","","","","","","",""
204,"d","Total organic production expenses","farms",23,517,120,179,332,512
204,"d","","$1,000",2212,35661,12333,23233,88344,61817
204,"d","    Average per farm","dollars",96167,68976,102776,129793,266095,120736
204,"d","","",,,,,,
204,"d","  Organic certification expense","farms",14,444,110,131,288,475
204,"d","","$1,000",20,372,61,130,429,718
204,"d","  Fertilizer, lime, and soil conditioners","farms",7,306,77,133,213,307
204,"d","","$1,000",52,1025,726,698,3364,4980
204,"d","  Agricultural chemicals, beneficial insects,","",,,,,,
204,"d","   and other organic materials for pest","",,,,,,
204,"d","   control","farms",4,217,76,80,95,159
204,"d","","$1,000","(Z)",181,58,269,105,297
204,"d","  Gasoline, diesel, fuels, and oils","",,,,,,
204,"d","   purchased for the farm business","farms",21,466,116,164,311,495
204,"d","","$1,000",392,2729,638,654,3563,4442
204,"d","  Seed, plants, vines, trees, etc.","",,,,,,
204,"d","   purchased","farms",9,300,86,132,233,395
204,"d","","$1,000",40,638,668,1050,2540,4054
204,"d","","",,,,,,
204,"d","  Hired agricultural labor including","",,,,,,
204,"d","   contract labor (include wages","",,,,,,
204,"d","   and benefit expenses)","farms",6,295,75,106,147,324
204,"d","","$1,000",837,8012,3506,7965,6701,7809
204,"d","  Livestock purchased or leased","",,,,,,
204,"d","   (see text)","farms",4,59,17,17,46,76
204,"d","","$1,000",8,328,8,146,6099,1468
204,"d","  Feed purchased for livestock and","",,,,,,
204,"d","   poultry","farms",4,139,33,43,76,161
204,"d","","$1,000",90,10682,"(D)",4020,41261,9536
204,"d","  Interest paid on all debt related to the","",,,,,,
204,"d","   farm business","farms",5,159,33,54,149,275
204,"d","","$1,000",18,919,325,353,4381,3913
204,"d","  Property taxes paid in 2014","farms",17,331,98,126,236,455
204,"d","","$1,000",34,1025,415,616,1164,2103
204,"d","","",,,,,,
204,"d","  Rent and lease expenses for land,","",,,,,,
204,"d","   buildings, machinery, etc. - including","",,,,,,
204,"d","   grazing fees","farms",4,169,40,60,147,249
204,"d","","$1,000",33,1419,910,794,5318,6366
204,"d","  Customwork such as custom","",,,,,,
204,"d","   hauling, custom planting, custom","",,,,,,
204,"d","   harvesting, etc.","farms",4,123,43,49,140,282
204,"d","","$1,000",277,282,"(D)",336,1779,1709
204,"d","  Repairs, supplies, and maintenance","",,,,,,
204,"d","   costs","farms",12,427,102,130,301,464
204,"d","","$1,000",248,4323,1254,2067,5553,7421
204,"d","  Utilities expense (including water","",,,,,,
204,"d","   purchased)","farms",14,283,73,117,187,358
204,"d","","$1,000",40,977,"(D)",1038,1533,1983
204,"d","  All other production expenses - Include","",,,,,,
204,"d","   animal health cost, storage, marketing","",,,,,,
204,"d","   expenses, etc. (see text)","farms",7,281,63,105,171,299
204,"d","","$1,000",122,2750,905,3096,4553,5019
204,"c",""
204,"c","--continued"
