205,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
205,"t","Table 20.  Organic Production Expenses – Certified and Exempt Organic Farms:  2014 (continued)"
205,"t","[For meaning of abbreviations and symbols, see introductory text.]"
205,"h","","","","","","","",""
205,"h","Item","","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire"
205,"h","","","","","","","",""
205,"d","Total organic production expenses","farms",8,216,147,170,49,150
205,"d","","$1,000",2818,31600,26099,52841,17875,14998
205,"d","    Average per farm","dollars",352192,146296,177545,310831,364803,99986
205,"d","","",,,,,,
205,"d","  Organic certification expense","farms",8,184,138,166,45,112
205,"d","","$1,000",17,255,312,280,100,73
205,"d","  Fertilizer, lime, and soil conditioners","farms",3,143,58,107,24,105
205,"d","","$1,000","(D)",1917,2395,2925,215,174
205,"d","  Agricultural chemicals, beneficial insects,","",,,,,,
205,"d","   and other organic materials for pest","",,,,,,
205,"d","   control","farms",2,55,46,53,16,66
205,"d","","$1,000","(D)",33,34,254,"(D)",29
205,"d","  Gasoline, diesel, fuels, and oils","",,,,,,
205,"d","   purchased for the farm business","farms",8,203,137,168,43,143
205,"d","","$1,000",612,1342,3651,2208,627,544
205,"d","  Seed, plants, vines, trees, etc.","",,,,,,
205,"d","   purchased","farms",6,161,113,126,36,104
205,"d","","$1,000",59,1227,2614,2580,260,208
205,"d","","",,,,,,
205,"d","  Hired agricultural labor including","",,,,,,
205,"d","   contract labor (include wages","",,,,,,
205,"d","   and benefit expenses)","farms",4,106,78,84,28,67
205,"d","","$1,000",81,1912,"(D)",6057,1954,3202
205,"d","  Livestock purchased or leased","",,,,,,
205,"d","   (see text)","farms",-,36,22,13,-,22
205,"d","","$1,000",-,1654,677,"(D)",-,967
205,"d","  Feed purchased for livestock and","",,,,,,
205,"d","   poultry","farms",2,55,28,21,-,44
205,"d","","$1,000","(D)",15391,1026,"(D)",-,6260
205,"d","  Interest paid on all debt related to the","",,,,,,
205,"d","   farm business","farms",4,131,83,99,27,32
205,"d","","$1,000",103,2089,1879,1278,202,268
205,"d","  Property taxes paid in 2014","farms",8,199,125,147,44,89
205,"d","","$1,000",8,489,741,1699,159,315
205,"d","","",,,,,,
205,"d","  Rent and lease expenses for land,","",,,,,,
205,"d","   buildings, machinery, etc. - including","",,,,,,
205,"d","   grazing fees","farms",2,61,81,70,17,29
205,"d","","$1,000","(D)",1055,4068,3562,919,325
205,"d","  Customwork such as custom","",,,,,,
205,"d","   hauling, custom planting, custom","",,,,,,
205,"d","   harvesting, etc.","farms",2,74,63,80,9,22
205,"d","","$1,000","(D)",408,1490,1340,132,133
205,"d","  Repairs, supplies, and maintenance","",,,,,,
205,"d","   costs","farms",8,192,119,152,36,110
205,"d","","$1,000",87,1948,2053,2915,978,894
205,"d","  Utilities expense (including water","",,,,,,
205,"d","   purchased)","farms",7,150,96,130,45,84
205,"d","","$1,000",97,557,767,1173,"(D)",340
205,"d","  All other production expenses - Include","",,,,,,
205,"d","   animal health cost, storage, marketing","",,,,,,
205,"d","   expenses, etc. (see text)","farms",4,95,95,100,35,89
205,"d","","$1,000",7,1324,"(D)","(D)",11067,1266
205,"c",""
205,"c","--continued"
