207,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
207,"t","Table 20.  Organic Production Expenses – Certified and Exempt Organic Farms:  2014 (continued)"
207,"t","[For meaning of abbreviations and symbols, see introductory text.]"
207,"h","","","","","","",""
207,"h","Item","","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina"
207,"h","","","","","","",""
207,"d","Total organic production expenses","farms",45,525,679,24,47
207,"d","","$1,000",2279,185737,231264,382,7204
207,"d","    Average per farm","dollars",50654,353785,340595,15912,153269
207,"d","","",,,,,
207,"d","  Organic certification expense","farms",35,455,653,23,35
207,"d","","$1,000",12,747,1073,8,48
207,"d","  Fertilizer, lime, and soil conditioners","farms",27,344,527,18,37
207,"d","","$1,000",21,6151,11624,50,760
207,"d","  Agricultural chemicals, beneficial insects,","",,,,,
207,"d","   and other organic materials for pest","",,,,,
207,"d","   control","farms",21,264,237,15,36
207,"d","","$1,000",18,1697,1785,3,717
207,"d","  Gasoline, diesel, fuels, and oils","",,,,,
207,"d","   purchased for the farm business","farms",33,491,627,23,39
207,"d","","$1,000",171,7839,8915,12,130
207,"d","  Seed, plants, vines, trees, etc.","",,,,,
207,"d","   purchased","farms",25,338,506,24,31
207,"d","","$1,000",62,8204,6817,46,831
207,"d","","",,,,,
207,"d","  Hired agricultural labor including","",,,,,
207,"d","   contract labor (include wages","",,,,,
207,"d","   and benefit expenses)","farms",21,357,352,13,25
207,"d","","$1,000",748,44619,40630,20,"(D)"
207,"d","  Livestock purchased or leased","",,,,,
207,"d","   (see text)","farms",5,34,195,4,10
207,"d","","$1,000","(Z)",1533,12079,"(Z)",3
207,"d","  Feed purchased for livestock and","",,,,,
207,"d","   poultry","farms",8,81,358,4,10
207,"d","","$1,000","(D)",51856,86046,2,11
207,"d","  Interest paid on all debt related to the","",,,,,
207,"d","   farm business","farms",8,204,425,4,5
207,"d","","$1,000","(D)",4136,4999,"(Z)",51
207,"d","  Property taxes paid in 2014","farms",35,430,504,7,31
207,"d","","$1,000",56,1695,4641,13,89
207,"d","","",,,,,
207,"d","  Rent and lease expenses for land,","",,,,,
207,"d","   buildings, machinery, etc. - including","",,,,,
207,"d","   grazing fees","farms",5,186,373,4,5
207,"d","","$1,000",17,16326,5265,2,3
207,"d","  Customwork such as custom","",,,,,
207,"d","   hauling, custom planting, custom","",,,,,
207,"d","   harvesting, etc.","farms",14,155,338,1,7
207,"d","","$1,000",37,4930,5775,"(D)",9
207,"d","  Repairs, supplies, and maintenance","",,,,,
207,"d","   costs","farms",34,465,606,20,37
207,"d","","$1,000","(D)",11846,11861,"(D)","(D)"
207,"d","  Utilities expense (including water","",,,,,
207,"d","   purchased)","farms",24,419,421,19,32
207,"d","","$1,000",87,7419,7900,19,"(D)"
207,"d","  All other production expenses - Include","",,,,,
207,"d","   animal health cost, storage, marketing","",,,,,
207,"d","   expenses, etc. (see text)","farms",22,327,462,17,24
207,"d","","$1,000",88,16739,21853,181,102
207,"c",""
207,"c","--continued"
