208,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
208,"t","Table 20.  Organic Production Expenses – Certified and Exempt Organic Farms:  2014 (continued)"
208,"t","[For meaning of abbreviations and symbols, see introductory text.]"
208,"h","","","","","","",""
208,"h","Item","","South Dakota","Tennessee","Texas","Utah","Vermont"
208,"h","","","","","","",""
208,"d","Total organic production expenses","farms",80,54,234,60,542
208,"d","","$1,000","(D)",2417,148004,12983,62215
208,"d","    Average per farm","dollars","(D)",44757,632497,216380,114788
208,"d","","",,,,,
208,"d","  Organic certification expense","farms",78,30,178,60,506
208,"d","","$1,000",112,33,405,105,406
208,"d","  Fertilizer, lime, and soil conditioners","farms",35,38,168,17,289
208,"d","","$1,000",1078,202,5218,102,1808
208,"d","  Agricultural chemicals, beneficial insects,","",,,,,
208,"d","   and other organic materials for pest","",,,,,
208,"d","   control","farms",10,26,113,32,163
208,"d","","$1,000",46,22,871,"(D)",358
208,"d","  Gasoline, diesel, fuels, and oils","",,,,,
208,"d","   purchased for the farm business","farms",77,48,224,53,488
208,"d","","$1,000","(D)",166,5476,1170,4562
208,"d","  Seed, plants, vines, trees, etc.","",,,,,
208,"d","   purchased","farms",60,34,176,39,272
208,"d","","$1,000",907,113,4337,315,1411
208,"d","","",,,,,
208,"d","  Hired agricultural labor including","",,,,,
208,"d","   contract labor (include wages","",,,,,
208,"d","   and benefit expenses)","farms",43,32,160,38,353
208,"d","","$1,000","(D)",594,20725,1619,12712
208,"d","  Livestock purchased or leased","",,,,,
208,"d","   (see text)","farms",7,6,19,5,64
208,"d","","$1,000",251,84,9068,642,412
208,"d","  Feed purchased for livestock and","",,,,,
208,"d","   poultry","farms",8,10,34,11,204
208,"d","","$1,000",188,486,65421,"(D)",14029
208,"d","  Interest paid on all debt related to the","",,,,,
208,"d","   farm business","farms",56,7,129,22,262
208,"d","","$1,000",565,24,5571,215,2645
208,"d","  Property taxes paid in 2014","farms",68,41,170,52,457
208,"d","","$1,000","(D)",40,829,132,2296
208,"d","","",,,,,
208,"d","  Rent and lease expenses for land,","",,,,,
208,"d","   buildings, machinery, etc. - including","",,,,,
208,"d","   grazing fees","farms",40,16,88,24,220
208,"d","","$1,000","(D)",102,4496,746,1736
208,"d","  Customwork such as custom","",,,,,
208,"d","   hauling, custom planting, custom","",,,,,
208,"d","   harvesting, etc.","farms",31,11,110,10,193
208,"d","","$1,000",262,90,4093,402,1851
208,"d","  Repairs, supplies, and maintenance","",,,,,
208,"d","   costs","farms",76,42,211,47,468
208,"d","","$1,000","(D)",338,7567,890,7089
208,"d","  Utilities expense (including water","",,,,,
208,"d","   purchased)","farms",66,28,189,44,439
208,"d","","$1,000",281,44,7092,344,2798
208,"d","  All other production expenses - Include","",,,,,
208,"d","   animal health cost, storage, marketing","",,,,,
208,"d","   expenses, etc. (see text)","farms",40,25,113,40,370
208,"d","","$1,000",504,78,6837,862,8104
208,"c",""
208,"c","--continued"
