210,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
210,"t","Table 21.  Production Practices – Certified and Exempt Organic Farms:  2014"
210,"t","[For meaning of abbreviations and symbols, see introductory text.]"
210,"h","","","","","","",""
210,"h","","Practiced","Released","Maintained","Selected planting","Chose pest","Planned plantings"
210,"h","","biological","beneficial","beneficial insect/","locations to","resistant","to avoid cross-"
210,"h","","pest management","organisms","vertebrate habitat","avoid pests","varieties","contamination"
210,"h","Geographic area","(farms)","(farms)","(farms)","(farms)","(farms)","(farms)"
210,"h","","","","","","",""
210,"d","United States",4779,2510,4840,5405,5035,4032
210,"d","",,,,,,
210,"d","Alabama",17,4,19,24,19,12
210,"d","Alaska",8,8,7,12,9,2
210,"d","Arizona",29,11,25,20,14,9
210,"d","Arkansas",18,8,9,20,21,6
210,"d","California",1111,714,1194,777,755,363
210,"d","",,,,,,
210,"d","Colorado",65,45,65,79,60,35
210,"d","Connecticut",42,24,60,86,75,39
210,"d","Delaware",8,5,3,8,8,8
210,"d","Florida",70,40,82,77,84,42
210,"d","Georgia",69,42,59,91,77,52
210,"d","",,,,,,
210,"d","Hawaii",69,43,69,69,57,26
210,"d","Idaho",56,26,36,57,56,47
210,"d","Illinois",98,44,90,120,120,129
210,"d","Indiana",52,18,47,70,66,102
210,"d","Iowa",120,28,86,165,173,262
210,"d","",,,,,,
210,"d","Kansas",18,11,32,41,37,36
210,"d","Kentucky",52,27,44,49,47,29
210,"d","Louisiana",6,4,9,9,9,6
210,"d","Maine",206,71,179,268,221,129
210,"d","Maryland",51,29,62,65,61,56
210,"d","",,,,,,
210,"d","Massachusetts",66,58,80,119,90,50
210,"d","Michigan",100,41,121,129,105,100
210,"d","Minnesota",91,29,144,172,210,232
210,"d","Mississippi",-,-,2,2,2,2
210,"d","Missouri",50,29,61,74,62,85
210,"d","",,,,,,
210,"d","Montana",54,34,63,58,77,53
210,"d","Nebraska",44,14,56,67,76,79
210,"d","Nevada",18,5,25,28,15,7
210,"d","New Hampshire",68,37,49,97,88,49
210,"d","New Jersey",30,19,52,60,50,28
210,"d","",,,,,,
210,"d","New Mexico",48,32,51,54,55,34
210,"d","New York",227,120,207,323,297,290
210,"d","North Carolina",125,56,147,146,148,96
210,"d","North Dakota",16,10,17,43,29,48
210,"d","Ohio",136,60,112,192,200,195
210,"d","",,,,,,
210,"d","Oklahoma",24,14,16,21,22,13
210,"d","Oregon",219,116,222,201,198,116
210,"d","Pennsylvania",239,114,180,288,270,305
210,"d","Rhode Island",8,7,11,22,24,18
210,"d","South Carolina",25,8,25,28,28,21
210,"d","",,,,,,
210,"d","South Dakota",19,7,19,35,27,47
210,"d","Tennessee",16,9,31,25,22,12
210,"d","Texas",74,61,72,87,90,76
210,"d","Utah",13,10,19,16,15,12
210,"d","Vermont",142,93,153,150,143,90
210,"d","",,,,,,
210,"d","Virginia",75,38,98,75,97,52
210,"d","Washington",358,174,347,272,214,99
210,"d","West Virginia",10,4,15,8,12,9
210,"d","Wisconsin",314,107,262,497,391,420
210,"d","Wyoming",5,2,6,9,9,4
210,"c",""
210,"c","--continued"
