225,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
225,"t","Table 23.  Production Contracts for Organic Products – Certified and Exempt Organic Farms:  2014"
225,"t","[For meaning of abbreviations and symbols, see introductory text.]"
225,"h","","","Farms by percent of total organic production under production contracts","Farms by percent of total organic production under production contracts","Farms by percent of total organic production under production contracts","Farms by percent of total organic production under production contracts","Farms by percent of total organic production under production contracts"
225,"h","","","","","","",""
225,"h","Geographic","","Less than","25 to 49","50 to 74","75 to 99","100"
225,"h","area","Farms","25 percent","percent","percent","percent","percent"
225,"h","","","","","","",""
225,"d","United States",1414,150,131,189,189,755
225,"d","",,,,,,
225,"d","Alabama",3,-,-,3,-,-
225,"d","Arizona",16,4,-,-,1,11
225,"d","Arkansas",1,-,-,1,-,-
225,"d","California",281,15,15,11,30,210
225,"d","Colorado",18,4,2,-,3,9
225,"d","",,,,,,
225,"d","Delaware",1,-,-,1,-,-
225,"d","Florida",4,-,-,-,3,1
225,"d","Georgia",3,-,-,-,3,-
225,"d","Idaho",16,2,1,6,4,3
225,"d","Illinois",49,3,9,9,9,19
225,"d","",,,,,,
225,"d","Indiana",6,-,2,-,2,2
225,"d","Iowa",112,14,13,22,9,54
225,"d","Kansas",9,3,-,1,-,5
225,"d","Kentucky",9,-,-,3,-,6
225,"d","Maine",29,6,2,2,2,17
225,"d","",,,,,,
225,"d","Maryland",8,-,2,2,2,2
225,"d","Massachusetts",3,-,-,2,-,1
225,"d","Michigan",70,5,6,13,11,35
225,"d","Minnesota",107,17,21,30,9,30
225,"d","Missouri",47,-,6,8,7,26
225,"d","",,,,,,
225,"d","Montana",44,3,4,7,9,21
225,"d","Nebraska",29,4,2,9,4,10
225,"d","New Hampshire",9,2,2,-,2,3
225,"d","New Mexico",2,-,-,-,-,2
225,"d","New York",54,10,5,6,5,28
225,"d","",,,,,,
225,"d","North Carolina",50,-,-,4,3,43
225,"d","North Dakota",33,1,3,3,7,19
225,"d","Ohio",32,7,7,4,5,9
225,"d","Oklahoma",1,1,-,-,-,-
225,"d","Oregon",42,11,5,5,6,15
225,"d","",,,,,,
225,"d","Pennsylvania",55,1,2,2,10,40
225,"d","South Carolina",2,-,-,-,2,-
225,"d","South Dakota",19,7,2,2,6,2
225,"d","Tennessee",3,-,-,-,2,1
225,"d","Texas",41,1,1,5,3,31
225,"d","",,,,,,
225,"d","Utah",2,-,-,-,1,1
225,"d","Vermont",12,4,1,2,2,3
225,"d","Virginia",33,5,-,1,7,20
225,"d","Washington",47,7,1,6,9,24
225,"d","Wisconsin",98,13,16,19,8,42
225,"d","Wyoming",14,-,1,-,3,10
225,"c",""
