226,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
226,"t","Table 24.  Primary Production Challenge – Certified and Exempt Organic Farms:  2014"
226,"t","[For meaning of abbreviations and symbols, see introductory text.]"
226,"h","","","","","","",""
226,"h","","Regulatory problems","Regulatory problems","Price issues","Price issues","Production problems","Production problems"
226,"h","","","","","","",""
226,"h","Geographic","","Percent of","","Percent of","","Percent of"
226,"h","area","Farms","farms","Farms","farms","Farms","farms"
226,"h","","","","","","",""
226,"d","United States",4281,34,927,7,2607,21
226,"d","",,,,,,
226,"d","Alabama",4,15,-,-,12,46
226,"d","Alaska",5,38,-,-,-,-
226,"d","Arizona",16,29,7,13,20,37
226,"d","Arkansas",5,18,4,14,9,32
226,"d","California",900,36,219,9,573,23
226,"d","",,,,,,
226,"d","Colorado",44,30,7,5,39,26
226,"d","Connecticut",32,29,12,11,22,20
226,"d","Delaware",6,60,-,-,2,20
226,"d","Florida",43,32,18,13,26,19
226,"d","Georgia",20,19,6,6,37,36
226,"d","",,,,,,
226,"d","Hawaii",45,30,7,5,38,25
226,"d","Idaho",55,38,7,5,35,24
226,"d","Illinois",66,27,8,3,65,26
226,"d","Indiana",122,50,8,3,44,18
226,"d","Iowa",212,39,26,5,115,21
226,"d","",,,,,,
226,"d","Kansas",27,36,3,4,12,16
226,"d","Kentucky",24,24,6,6,12,12
226,"d","Louisiana",9,43,2,10,3,14
226,"d","Maine",107,24,25,5,74,16
226,"d","Maryland",30,27,2,2,15,13
226,"d","",,,,,,
226,"d","Massachusetts",45,27,13,8,32,19
226,"d","Michigan",71,24,12,4,60,20
226,"d","Minnesota",129,27,40,8,115,24
226,"d","Mississippi",1,13,2,25,1,12
226,"d","Missouri",64,30,9,4,54,25
226,"d","",,,,,,
226,"d","Montana",29,22,8,6,26,20
226,"d","Nebraska",35,23,15,10,34,22
226,"d","Nevada",8,20,-,-,10,24
226,"d","New Hampshire",49,35,24,17,13,9
226,"d","New Jersey",17,22,2,3,20,26
226,"d","",,,,,,
226,"d","New Mexico",38,34,8,7,14,13
226,"d","New York",298,36,69,8,154,19
226,"d","North Carolina",76,32,20,8,60,25
226,"d","North Dakota",20,25,7,9,25,31
226,"d","Ohio",210,45,19,4,78,16
226,"d","",,,,,,
226,"d","Oklahoma",19,43,2,5,7,16
226,"d","Oregon",128,29,38,8,115,25
226,"d","Pennsylvania",270,44,33,5,96,16
226,"d","Rhode Island",4,16,-,-,7,29
226,"d","South Carolina",13,31,2,5,3,7
226,"d","",,,,,,
226,"d","South Dakota",20,28,3,4,19,26
226,"d","Tennessee",13,27,7,15,7,15
226,"d","Texas",63,33,13,7,29,15
226,"d","Utah",34,64,-,-,7,13
226,"d","Vermont",156,31,72,14,69,14
226,"d","",,,,,,
226,"d","Virginia",66,42,4,3,28,18
226,"d","Washington",223,36,39,6,101,16
226,"d","West Virginia",2,10,-,-,8,40
226,"d","Wisconsin",390,35,94,8,247,22
226,"d","Wyoming",18,37,5,10,15,31
226,"c",""
226,"c","--continued"
