227,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
227,"t","Table 24.  Primary Production Challenge – Certified and Exempt Organic Farms:  2014 (continued)"
227,"t","[For meaning of abbreviations and symbols, see introductory text.]"
227,"h","","","","","","",""
227,"h","","Market access","Market access","Management issues","Management issues","Other","Other"
227,"h","","","","","","",""
227,"h","Geographic","","Percent of","","Percent of","","Percent of"
227,"h","area","Farms","farms","Farms","farms","Farms","farms"
227,"h","","","","","","",""
227,"d","United States",850,7,1581,12,2375,19
227,"d","",,,,,,
227,"d","Alabama",2,9,4,15,4,15
227,"d","Alaska",4,31,-,-,4,31
227,"d","Arizona",1,2,1,2,9,17
227,"d","Arkansas",-,-,5,18,5,18
227,"d","California",141,7,203,8,431,17
227,"d","",,,,,,
227,"d","Colorado",12,8,18,12,28,19
227,"d","Connecticut",10,9,7,6,26,25
227,"d","Delaware",1,10,-,-,1,10
227,"d","Florida",8,6,11,8,28,22
227,"d","Georgia",18,17,11,11,11,11
227,"d","",,,,,,
227,"d","Hawaii",10,7,21,14,29,19
227,"d","Idaho",7,5,9,6,31,22
227,"d","Illinois",13,5,18,7,79,32
227,"d","Indiana",11,5,23,9,36,15
227,"d","Iowa",28,5,64,12,97,18
227,"d","",,,,,,
227,"d","Kansas",5,7,15,20,13,17
227,"d","Kentucky",18,18,18,18,22,22
227,"d","Louisiana",1,5,2,9,4,19
227,"d","Maine",63,14,90,20,95,21
227,"d","Maryland",5,4,25,23,34,31
227,"d","",,,,,,
227,"d","Massachusetts",13,8,23,14,40,24
227,"d","Michigan",22,7,55,20,74,25
227,"d","Minnesota",23,5,75,16,96,20
227,"d","Mississippi",-,-,-,-,4,50
227,"d","Missouri",10,5,21,10,55,26
227,"d","",,,,,,
227,"d","Montana",14,10,22,16,34,26
227,"d","Nebraska",15,10,21,14,31,21
227,"d","Nevada",-,-,2,5,21,51
227,"d","New Hampshire",16,11,29,22,9,6
227,"d","New Jersey",10,13,21,27,7,9
227,"d","",,,,,,
227,"d","New Mexico",6,5,18,16,28,25
227,"d","New York",45,5,103,14,151,18
227,"d","North Carolina",16,7,25,11,39,17
227,"d","North Dakota",7,8,4,5,18,22
227,"d","Ohio",15,3,74,15,83,17
227,"d","",,,,,,
227,"d","Oklahoma",1,2,5,11,10,23
227,"d","Oregon",37,8,52,11,88,19
227,"d","Pennsylvania",17,3,99,16,98,16
227,"d","Rhode Island",5,21,4,17,4,17
227,"d","South Carolina",4,9,10,24,10,24
227,"d","",,,,,,
227,"d","South Dakota",4,6,7,10,19,26
227,"d","Tennessee",5,10,6,12,10,21
227,"d","Texas",27,14,22,12,35,19
227,"d","Utah",2,4,1,2,9,17
227,"d","Vermont",55,11,66,13,86,17
227,"d","",,,,,,
227,"d","Virginia",12,8,13,8,32,21
227,"d","Washington",50,8,97,16,114,18
227,"d","West Virginia",3,15,-,-,7,35
227,"d","Wisconsin",54,6,161,14,169,15
227,"d","Wyoming",4,8,-,-,7,14
227,"c",""
