228,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
228,"t","Table 25.  Years Involved in Agricultural Production – Certified and Exempt Organic Farms:  2014"
228,"t","[For meaning of abbreviations and symbols, see introductory text.]"
228,"h","","","","","","","",""
228,"h","","","Percent of farms by years involved in agricultural production","Percent of farms by years involved in agricultural production","Percent of farms by years involved in agricultural production","Percent of farms by years involved in agricultural production","Percent of farms by years involved in agricultural production","Percent of farms by years involved in agricultural production"
228,"h","","","","","","","",""
228,"h","Geographic","","Less than 10","10 to 19","20 to 29","30 to 39","40 to 49","50 or more"
228,"h","area","Farms","years","years","years","years","years","years"
228,"h","","","","","","","",""
228,"d","United States",14093,29,26,18,13,7,7
228,"d","",,,,,,,
228,"d","Alabama",28,57,18,18,7,-,-
228,"d","Alaska",17,41,41,12,6,-,-
228,"d","Arizona",61,34,26,15,16,5,3
228,"d","Arkansas",34,47,9,26,12,6,-
228,"d","California",2805,24,29,17,15,7,8
228,"d","",,,,,,,
228,"d","Colorado",157,31,27,15,12,8,7
228,"d","Connecticut",122,50,28,12,4,6,-
228,"d","Delaware",10,60,30,-,-,-,10
228,"d","Florida",166,28,26,31,7,7,2
228,"d","Georgia",117,54,22,15,3,4,2
228,"d","",,,,,,,
228,"d","Hawaii",166,23,43,16,16,2,-
228,"d","Idaho",161,18,23,22,17,5,14
228,"d","Illinois",249,29,26,18,17,7,4
228,"d","Indiana",282,37,26,20,7,4,6
228,"d","Iowa",612,27,30,19,11,8,6
228,"d","",,,,,,,
228,"d","Kansas",83,17,23,22,23,7,8
228,"d","Kentucky",107,43,33,6,7,8,3
228,"d","Louisiana",23,35,22,26,-,-,17
228,"d","Maine",517,35,26,17,11,5,5
228,"d","Maryland",120,21,47,13,12,2,6
228,"d","",,,,,,,
228,"d","Massachusetts",179,38,22,18,12,6,4
228,"d","Michigan",332,30,22,20,13,9,6
228,"d","Minnesota",512,23,24,14,18,13,8
228,"d","Mississippi",8,13,25,-,50,-,13
228,"d","Missouri",216,38,22,13,14,9,3
228,"d","",,,,,,,
228,"d","Montana",147,24,31,14,12,9,10
228,"d","Nebraska",170,20,20,19,18,12,10
228,"d","Nevada",49,29,18,27,2,4,20
228,"d","New Hampshire",150,48,27,11,10,3,1
228,"d","New Jersey",87,33,30,17,9,5,6
228,"d","",,,,,,,
228,"d","New Mexico",116,41,26,13,16,-,5
228,"d","New York",917,38,23,14,10,7,8
228,"d","North Carolina",264,33,22,14,14,14,2
228,"d","North Dakota",94,18,24,12,26,15,5
228,"d","Ohio",541,31,22,19,15,7,6
228,"d","",,,,,,,
228,"d","Oklahoma",45,44,29,13,-,11,2
228,"d","Oregon",525,21,25,24,13,9,8
228,"d","Pennsylvania",679,31,27,22,10,4,6
228,"d","Rhode Island",24,42,38,8,8,4,-
228,"d","South Carolina",47,43,30,13,9,-,6
228,"d","",,,,,,,
228,"d","South Dakota",80,14,10,18,18,23,19
228,"d","Tennessee",54,43,15,15,15,11,2
228,"d","Texas",234,35,22,24,9,5,4
228,"d","Utah",60,23,30,10,7,12,18
228,"d","Vermont",542,27,22,18,17,6,10
228,"d","",,,,,,,
228,"d","Virginia",167,43,23,13,8,9,4
228,"d","Washington",716,28,22,18,14,8,8
228,"d","West Virginia",24,38,33,8,-,17,4
228,"d","Wisconsin",1228,24,25,18,17,9,7
228,"d","Wyoming",49,14,31,16,16,14,8
228,"c",""
