231,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
231,"t","Table 27.  Net Household Income from Organic Sales – Certified and Exempt Organic Farms:  2014"
231,"t","[For meaning of abbreviations and symbols, see introductory text.]"
231,"h","","","","","","",""
231,"h","","","Percent of farms by percent of net household income from organic sales","Percent of farms by percent of net household income from organic sales","Percent of farms by percent of net household income from organic sales","Percent of farms by percent of net household income from organic sales","Percent of farms by percent of net household income from organic sales"
231,"h","","","","","","",""
231,"h","Geographic","","Less than","25 to 49","50 to 74","75 to 99","100"
231,"h","area","Farms","25 percent","percent","percent","percent","percent"
231,"h","","","","","","",""
231,"d","United States",14093,36,17,16,14,17
231,"d","",,,,,,
231,"d","Alabama",28,86,-,7,4,3
231,"d","Alaska",17,76,6,6,12,-
231,"d","Arizona",61,31,23,18,3,25
231,"d","Arkansas",34,38,-,15,23,24
231,"d","California",2805,41,21,17,8,13
231,"d","",,,,,,
231,"d","Colorado",157,41,14,16,16,13
231,"d","Connecticut",122,71,7,7,2,13
231,"d","Delaware",10,40,30,20,10,-
231,"d","Florida",166,51,12,13,4,20
231,"d","Georgia",117,53,15,15,4,13
231,"d","",,,,,,
231,"d","Hawaii",166,52,21,5,5,17
231,"d","Idaho",161,32,10,25,12,21
231,"d","Illinois",249,33,24,19,13,11
231,"d","Indiana",282,23,19,16,21,21
231,"d","Iowa",612,24,19,27,16,14
231,"d","",,,,,,
231,"d","Kansas",83,31,37,11,8,13
231,"d","Kentucky",107,55,8,18,12,7
231,"d","Louisiana",23,74,13,-,4,9
231,"d","Maine",517,42,12,10,15,21
231,"d","Maryland",120,53,12,16,10,9
231,"d","",,,,,,
231,"d","Massachusetts",179,57,11,13,7,12
231,"d","Michigan",332,34,15,17,17,17
231,"d","Minnesota",512,26,25,19,18,12
231,"d","Mississippi",8,62,-,13,-,25
231,"d","Missouri",216,39,15,21,14,11
231,"d","",,,,,,
231,"d","Montana",147,33,11,10,24,22
231,"d","Nebraska",170,25,17,24,14,20
231,"d","Nevada",49,36,20,16,4,24
231,"d","New Hampshire",150,62,9,6,12,11
231,"d","New Jersey",87,64,7,5,11,13
231,"d","",,,,,,
231,"d","New Mexico",116,46,14,15,14,11
231,"d","New York",917,26,12,14,23,25
231,"d","North Carolina",264,42,16,16,11,15
231,"d","North Dakota",94,21,35,13,19,12
231,"d","Ohio",541,21,19,14,21,25
231,"d","",,,,,,
231,"d","Oklahoma",45,51,20,9,4,16
231,"d","Oregon",525,43,16,13,8,20
231,"d","Pennsylvania",679,18,8,23,23,28
231,"d","Rhode Island",24,38,37,-,-,25
231,"d","South Carolina",47,53,23,9,11,4
231,"d","",,,,,,
231,"d","South Dakota",80,23,31,16,19,11
231,"d","Tennessee",54,63,4,13,7,13
231,"d","Texas",234,39,12,21,9,19
231,"d","Utah",60,33,21,13,20,13
231,"d","Vermont",542,29,13,18,16,24
231,"d","",,,,,,
231,"d","Virginia",167,36,16,16,15,17
231,"d","Washington",716,44,16,13,8,19
231,"d","West Virginia",24,75,21,-,4,-
231,"d","Wisconsin",1228,26,17,18,22,17
231,"d","Wyoming",49,14,16,28,22,20
231,"c",""
