232,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
232,"t","Table 28.  Organic Sales as Percent of Market Value of All Agricultural Products Sold – Certified Organic Farms:  2014"
232,"t","[For meaning of abbreviations and symbols, see introductory text.]"
232,"h","","","","","","",""
232,"h","","","Farms by percent of total value of sales from organic production","Farms by percent of total value of sales from organic production","Farms by percent of total value of sales from organic production","Farms by percent of total value of sales from organic production","Farms by percent of total value of sales from organic production"
232,"h","","","","","","",""
232,"h","Geographic","","Less than","25 to","50 to","75 to","100"
232,"h","area","Farms","25 percent","49 percent","74 percent","99 percent","percent"
232,"h","","","","","","",""
232,"d","United States",12634,1067,693,1044,2563,7267
232,"d","",,,,,,
232,"d","Alabama",15,-,2,-,1,12
232,"d","Alaska",7,-,-,-,-,7
232,"d","Arizona",61,15,9,1,3,33
232,"d","Arkansas",26,-,-,-,5,21
232,"d","California",2632,312,155,165,277,1723
232,"d","",,,,,,
232,"d","Colorado",134,18,3,9,32,72
232,"d","Connecticut",78,3,2,5,9,59
232,"d","Delaware",6,5,-,-,1,-
232,"d","Florida",146,22,4,8,11,101
232,"d","Georgia",86,12,11,2,7,54
232,"d","",,,,,,
232,"d","Hawaii",121,10,2,2,9,98
232,"d","Idaho",151,8,8,13,39,83
232,"d","Illinois",215,13,12,21,60,109
232,"d","Indiana",251,5,15,33,73,125
232,"d","Iowa",593,25,50,95,158,265
232,"d","",,,,,,
232,"d","Kansas",77,7,10,16,9,35
232,"d","Kentucky",86,8,2,10,7,59
232,"d","Louisiana",14,-,1,-,2,11
232,"d","Maine",444,38,11,25,72,298
232,"d","Maryland",110,25,11,5,32,37
232,"d","",,,,,,
232,"d","Massachusetts",131,14,5,14,20,78
232,"d","Michigan",288,9,11,7,89,172
232,"d","Minnesota",475,32,39,81,109,214
232,"d","Mississippi",8,-,-,-,1,7
232,"d","Missouri",184,26,15,12,41,90
232,"d","",,,,,,
232,"d","Montana",138,17,4,14,41,62
232,"d","Nebraska",166,21,9,30,32,74
232,"d","Nevada",45,9,4,-,8,24
232,"d","New Hampshire",112,3,3,9,37,60
232,"d","New Jersey",60,3,1,2,20,34
232,"d","",,,,,,
232,"d","New Mexico",105,12,6,9,15,63
232,"d","New York",855,23,17,54,240,521
232,"d","North Carolina",200,36,20,19,31,94
232,"d","North Dakota",94,7,15,19,16,37
232,"d","Ohio",499,3,11,39,172,274
232,"d","",,,,,,
232,"d","Oklahoma",35,5,5,4,10,11
232,"d","Oregon",455,45,17,37,45,311
232,"d","Pennsylvania",653,24,28,45,160,396
232,"d","Rhode Island",23,-,-,2,4,17
232,"d","South Carolina",35,1,2,-,14,18
232,"d","",,,,,,
232,"d","South Dakota",78,5,10,16,17,30
232,"d","Tennessee",30,4,4,2,2,18
232,"d","Texas",178,14,14,38,15,97
232,"d","Utah",60,9,7,2,13,29
232,"d","Vermont",506,38,19,25,91,333
232,"d","",,,,,,
232,"d","Virginia",139,7,9,13,31,79
232,"d","Washington",643,99,48,39,109,348
232,"d","West Virginia",9,-,-,-,4,5
232,"d","Wisconsin",1128,75,59,94,348,552
232,"d","Wyoming",49,-,3,8,21,17
232,"c",""
