234,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
234,"t","Table 30.  Organic Commodities Sold Under Marketing Contract Arrangements – Certified Organic Farms:  2014"
234,"t","[For meaning of abbreviations and symbols, see introductory text.]"
234,"h","","","","",""
234,"h","","Value of sales","Value of sales","Value of sales","Sold under"
234,"h","","","","","marketing contract"
234,"h","Commodity and geographic area","Farms","Quantity","Dollars","(percent)"
234,"h","","","","",""
234,"d","ALL GRAPES (TONS)",,,,
234,"d","",,,,
234,"d","United States",312,"(D)","(D)","(D)"
234,"d","",,,,
234,"d","California",244,"(D)","(D)","(D)"
234,"d","Colorado",2,"(D)","(D)","(D)"
234,"d","Idaho",2,"(D)","(D)","(D)"
234,"d","Illinois",1,"(D)","(D)","(D)"
234,"d","New York",2,"(D)","(D)","(D)"
234,"d","",,,,
234,"d","North Carolina",1,"(D)","(D)","(D)"
234,"d","Ohio",2,"(D)","(D)","(D)"
234,"d","Oregon",23,1010,2776129,31
234,"d","Washington",33,10225,5733153,77
234,"d","Wisconsin",2,"(D)","(D)","(D)"
234,"d","",,,,
234,"d","ALL APPLES (POUNDS)",,,,
234,"d","",,,,
234,"d","United States",36,"(D)","(D)","(D)"
234,"d","",,,,
234,"d","Arizona",4,1600,1500,"(Z)"
234,"d","California",18,3210310,1641069,6
234,"d","Colorado",4,127878,125614,6
234,"d","Michigan",1,"(D)","(D)","(D)"
234,"d","Minnesota",3,8840,11775,3
234,"d","",,,,
234,"d","New York",3,"(D)","(D)","(D)"
234,"d","Pennsylvania",2,"(D)","(D)","(D)"
234,"d","Vermont",1,"(D)","(D)","(D)"
234,"d","",,,,
234,"d","OTHER FRUITS, TREE NUTS,",,,,
234,"d"," AND BERRIES",,,,
234,"d","",,,,
234,"d","United States",498,"(X)",123341438,21
234,"d","",,,,
234,"d","Arizona",2,"(X)","(D)","(D)"
234,"d","Arkansas",2,"(X)","(D)","(D)"
234,"d","California",342,"(X)",113993414,26
234,"d","Colorado",2,"(X)","(D)","(D)"
234,"d","Connecticut",1,"(X)","(D)","(D)"
234,"d","",,,,
234,"d","Florida",25,"(X)",4865172,36
234,"d","Georgia",5,"(X)",516642,14
234,"d","Hawaii",2,"(X)","(D)","(D)"
234,"d","Iowa",17,"(X)",74683,17
234,"d","Kansas",2,"(X)","(D)","(D)"
234,"d","",,,,
234,"d","Kentucky",4,"(X)",8656,10
234,"d","Maine",15,"(X)",308657,17
234,"d","Maryland",4,"(X)",11737,8
234,"d","Massachusetts",4,"(X)","(D)","(D)"
234,"d","Michigan",3,"(X)","(D)","(D)"
234,"d","",,,,
234,"d","Minnesota",1,"(X)","(D)","(D)"
234,"d","Mississippi",1,"(X)","(D)","(D)"
234,"d","Missouri",3,"(X)",42812,4
234,"d","Montana",2,"(X)","(D)","(D)"
234,"d","Nebraska",6,"(X)",114000,97
234,"d","",,,,
234,"d","New Hampshire",1,"(X)","(D)","(D)"
234,"d","New Mexico",2,"(X)","(D)","(D)"
234,"d","New York",2,"(X)","(D)","(D)"
234,"d","North Carolina",1,"(X)","(D)","(D)"
234,"d","Ohio",4,"(X)",2000,1
234,"d","",,,,
234,"d","Oregon",12,"(X)",1196151,11
234,"d","Pennsylvania",6,"(X)",40097,5
234,"d","Texas",3,"(X)",293310,7
234,"d","Utah",1,"(X)","(D)","(D)"
234,"d","Vermont",5,"(X)",6500,1
234,"c",""
234,"c","--continued"
