238,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
238,"t","Table 31.  Organic Vegetables, Potatoes, and Melons Grown in the Open Harvested – Certified Organic Farms:  2014"
238,"t","[For meaning of abbreviations and symbols, see introductory text.]"
238,"h","","","","","","",""
238,"h","","","","","Value of sales","Value of sales","Value of sales"
238,"h","","","","","","",""
238,"h","","Harvested","Harvested","Harvested","Total","Total","Total"
238,"h","","","","","","",""
238,"h","Crop and geographic area","Farms","Acres","Quantity","Farms","Quantity","Dollars"
238,"h","","","","","","",""
238,"d","ALL VEGETABLES, POTATOES,",,,,,,
238,"d"," AND MELONS",,,,,,
238,"d","",,,,,,
238,"d","United States",3315,163746,"(X)",3304,"(X)",1247666655
238,"d","",,,,,,
238,"d","Alabama",10,48,"(X)",10,"(X)",165004
238,"d","Alaska",7,35,"(X)",7,"(X)",894000
238,"d","Arizona",31,6123,"(X)",31,"(X)",59018366
238,"d","Arkansas",20,"(D)","(X)",20,"(X)","(D)"
238,"d","California",590,95877,"(X)",589,"(X)",847308396
238,"d","",,,,,,
238,"d","Colorado",38,4231,"(X)",38,"(X)",18754686
238,"d","Connecticut",69,186,"(X)",69,"(X)",1980652
238,"d","Florida",48,2376,"(X)",48,"(X)",27595743
238,"d","Georgia",51,696,"(X)",51,"(X)",6976677
238,"d","Hawaii",56,271,"(X)",56,"(X)",8381350
238,"d","",,,,,,
238,"d","Idaho",31,"(D)","(X)",31,"(X)","(D)"
238,"d","Illinois",39,656,"(X)",39,"(X)",4755053
238,"d","Indiana",19,73,"(X)",19,"(X)",624586
238,"d","Iowa",76,1227,"(X)",74,"(X)",2348356
238,"d","Kansas",17,"(D)","(X)",17,"(X)","(D)"
238,"d","",,,,,,
238,"d","Kentucky",27,72,"(X)",27,"(X)",496181
238,"d","Louisiana",5,82,"(X)",5,"(X)","(D)"
238,"d","Maine",206,771,"(X)",202,"(X)",8060284
238,"d","Maryland",49,243,"(X)",49,"(X)",2227600
238,"d","Massachusetts",70,713,"(X)",70,"(X)",7831299
238,"d","",,,,,,
238,"d","Michigan",65,1074,"(X)",65,"(X)",3438753
238,"d","Minnesota",71,1896,"(X)",71,"(X)",5530010
238,"d","Mississippi",3,"(D)","(X)",3,"(X)","(D)"
238,"d","Missouri",20,267,"(X)",20,"(X)",1246506
238,"d","Montana",35,103,"(X)",35,"(X)",903585
238,"d","",,,,,,
238,"d","Nebraska",1,"(D)","(X)",1,"(X)","(D)"
238,"d","Nevada",24,"(D)","(X)",24,"(X)","(D)"
238,"d","New Hampshire",55,145,"(X)",55,"(X)",1341418
238,"d","New Jersey",42,426,"(X)",42,"(X)",6195536
238,"d","New Mexico",49,141,"(X)",49,"(X)",1739077
238,"d","",,,,,,
238,"d","New York",156,1504,"(X)",155,"(X)",13464504
238,"d","North Carolina",96,2636,"(X)",95,"(X)",11650828
238,"d","North Dakota",9,53,"(X)",9,"(X)","(D)"
238,"d","Ohio",104,955,"(X)",104,"(X)",4025771
238,"d","Oklahoma",18,124,"(X)",18,"(X)","(D)"
238,"d","",,,,,,
238,"d","Oregon",155,18508,"(X)",155,"(X)",67769340
238,"d","Pennsylvania",176,1252,"(X)",176,"(X)",17244285
238,"d","Rhode Island",18,"(D)","(X)",18,"(X)",568106
238,"d","South Carolina",22,724,"(X)",22,"(X)","(D)"
238,"d","South Dakota",2,"(D)","(X)",2,"(X)","(D)"
238,"d","",,,,,,
238,"d","Tennessee",12,72,"(X)",12,"(X)",366594
238,"d","Texas",40,994,"(X)",40,"(X)",12905327
238,"d","Utah",13,30,"(X)",13,"(X)",290252
238,"d","Vermont",127,"(D)","(X)",127,"(X)","(D)"
238,"d","Virginia",46,297,"(X)",46,"(X)",3288122
238,"d","",,,,,,
238,"d","Washington",200,13690,"(X)",200,"(X)",59696629
238,"d","West Virginia",1,"(D)","(X)",1,"(X)","(D)"
238,"d","Wisconsin",294,3814,"(X)",292,"(X)",17294634
238,"d","Wyoming",2,"(D)","(X)",2,"(X)","(D)"
238,"d","",,,,,,
238,"d","ARTICHOKES (CWT)",,,,,,
238,"d","",,,,,,
238,"d","United States",58,"(D)",15236,58,15114,1035327
238,"d","",,,,,,
238,"d","Arizona",1,"(D)","(D)",1,"(D)","(D)"
238,"d","California",28,102,14218,28,14206,980050
238,"d","Colorado",2,"(D)","(D)",2,"(D)","(D)"
238,"c",""
238,"c","--continued"
