239,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
239,"t","Table 31.  Organic Vegetables, Potatoes, and Melons Grown in the Open Harvested – Certified Organic Farms:  2014 (continued)"
239,"t","[For meaning of abbreviations and symbols, see introductory text.]"
239,"h","","","","","","",""
239,"h","","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con."
239,"h","","","","","","",""
239,"h","","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
239,"h","","","","","","",""
239,"h","Crop and geographic area","Farms","Quantity","Dollars","Farms","Quantity","Dollars"
239,"h","","","","","","",""
239,"d","ALL VEGETABLES, POTATOES,",,,,,,
239,"d"," AND MELONS",,,,,,
239,"d","",,,,,,
239,"d","United States",3278,"(X)",1239439338,317,"(X)",8227317
239,"d","",,,,,,
239,"d","Alabama",10,"(X)",165004,-,"(X)",-
239,"d","Alaska",7,"(X)",894000,-,"(X)",-
239,"d","Arizona",31,"(X)",58670620,5,"(X)",347746
239,"d","Arkansas",20,"(X)","(D)",-,"(X)",-
239,"d","California",587,"(X)",843399537,38,"(X)",3908859
239,"d","",,,,,,
239,"d","Colorado",38,"(X)",18730328,4,"(X)",24358
239,"d","Connecticut",69,"(X)","(D)",10,"(X)","(D)"
239,"d","Florida",48,"(X)","(D)",5,"(X)","(D)"
239,"d","Georgia",48,"(X)",6854252,11,"(X)",122425
239,"d","Hawaii",56,"(X)","(D)",3,"(X)","(D)"
239,"d","",,,,,,
239,"d","Idaho",29,"(X)","(D)",4,"(X)","(D)"
239,"d","Illinois",39,"(X)","(D)",2,"(X)","(D)"
239,"d","Indiana",19,"(X)",619987,5,"(X)",4599
239,"d","Iowa",74,"(X)",2336414,6,"(X)",11942
239,"d","Kansas",17,"(X)","(D)",-,"(X)",-
239,"d","",,,,,,
239,"d","Kentucky",27,"(X)",471225,4,"(X)",24956
239,"d","Louisiana",5,"(X)","(D)",-,"(X)",-
239,"d","Maine",202,"(X)",8032914,14,"(X)",27370
239,"d","Maryland",49,"(X)","(D)",2,"(X)","(D)"
239,"d","Massachusetts",68,"(X)",7660570,20,"(X)",170729
239,"d","",,,,,,
239,"d","Michigan",65,"(X)","(D)",3,"(X)","(D)"
239,"d","Minnesota",71,"(X)",5529990,4,"(X)",20
239,"d","Mississippi",3,"(X)","(D)",-,"(X)",-
239,"d","Missouri",18,"(X)","(D)",2,"(X)","(D)"
239,"d","Montana",35,"(X)","(D)",11,"(X)","(D)"
239,"d","",,,,,,
239,"d","Nebraska",1,"(X)","(D)",-,"(X)",-
239,"d","Nevada",24,"(X)","(D)",4,"(X)","(D)"
239,"d","New Hampshire",55,"(X)","(D)",2,"(X)","(D)"
239,"d","New Jersey",42,"(X)",6182320,5,"(X)",13216
239,"d","New Mexico",42,"(X)",1129885,17,"(X)",609192
239,"d","",,,,,,
239,"d","New York",153,"(X)",13074825,26,"(X)",389679
239,"d","North Carolina",94,"(X)","(D)",3,"(X)","(D)"
239,"d","North Dakota",9,"(X)","(D)",1,"(X)","(D)"
239,"d","Ohio",104,"(X)",3863127,23,"(X)",162644
239,"d","Oklahoma",18,"(X)","(D)",1,"(X)","(D)"
239,"d","",,,,,,
239,"d","Oregon",155,"(X)","(D)",15,"(X)","(D)"
239,"d","Pennsylvania",176,"(X)","(D)",19,"(X)","(D)"
239,"d","Rhode Island",18,"(X)","(D)",2,"(X)","(D)"
239,"d","South Carolina",22,"(X)","(D)",5,"(X)",194014
239,"d","South Dakota",1,"(X)","(D)",1,"(X)","(D)"
239,"d","",,,,,,
239,"d","Tennessee",12,"(X)",366594,-,"(X)",-
239,"d","Texas",40,"(X)",12905327,-,"(X)",-
239,"d","Utah",13,"(X)",290252,-,"(X)",-
239,"d","Vermont",125,"(X)","(D)",6,"(X)",125018
239,"d","Virginia",46,"(X)","(D)",2,"(X)","(D)"
239,"d","",,,,,,
239,"d","Washington",198,"(X)","(D)",20,"(X)","(D)"
239,"d","West Virginia",1,"(X)","(D)",-,"(X)",-
239,"d","Wisconsin",292,"(X)",17202416,12,"(X)",92218
239,"d","Wyoming",2,"(X)","(D)",-,"(X)",-
239,"d","",,,,,,
239,"d","ARTICHOKES (CWT)",,,,,,
239,"d","",,,,,,
239,"d","United States",58,"(D)","(D)",2,"(D)","(D)"
239,"d","",,,,,,
239,"d","Arizona",1,"(D)","(D)",-,-,-
239,"d","California",28,14206,980050,-,-,-
239,"d","Colorado",2,"(D)","(D)",-,-,-
239,"c",""
