256,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
256,"t","Table 31.  Organic Vegetables, Potatoes, and Melons Grown in the Open Harvested – Certified Organic Farms:  2014 (continued)"
256,"t","[For meaning of abbreviations and symbols, see introductory text.]"
256,"h","","","","","","",""
256,"h","","","","","Value of sales","Value of sales","Value of sales"
256,"h","","","","","","",""
256,"h","","Harvested","Harvested","Harvested","Total","Total","Total"
256,"h","","","","","","",""
256,"h","Crop and geographic area","Farms","Acres","Quantity","Farms","Quantity","Dollars"
256,"h","","","","","","",""
256,"d","HERBS, FRESH CUT (POUNDS) - Con.",,,,,,
256,"d","",,,,,,
256,"d","New Jersey",5,"(D)","(D)",5,"(D)","(D)"
256,"d","New Mexico",6,1,66,6,66,3300
256,"d","New York",29,10,"(D)",29,25195,157848
256,"d","North Carolina",15,"(D)","(D)",15,"(D)","(D)"
256,"d","North Dakota",3,"(Z)",1124,3,1091,6009
256,"d","",,,,,,
256,"d","Ohio",13,3,674,13,654,10748
256,"d","Oklahoma",4,1,2400,4,1951,8921
256,"d","Oregon",16,211,155597,16,152015,1500031
256,"d","Pennsylvania",20,"(D)","(D)",20,"(D)","(D)"
256,"d","Rhode Island",8,1,1300,8,1300,6536
256,"d","",,,,,,
256,"d","South Carolina",5,"(D)","(D)",5,"(D)","(D)"
256,"d","Tennessee",3,"(Z)",411,3,311,1550
256,"d","Texas",9,54,414326,9,392599,"(D)"
256,"d","Vermont",18,"(D)","(D)",18,"(D)","(D)"
256,"d","Virginia",11,"(D)","(D)",11,"(D)","(D)"
256,"d","",,,,,,
256,"d","Washington",35,244,"(D)",35,"(D)","(D)"
256,"d","Wisconsin",30,"(D)","(D)",30,"(D)","(D)"
256,"d","",,,,,,
256,"d","HONEYDEW MELONS (CWT)",,,,,,
256,"d","",,,,,,
256,"d","United States",74,"(D)",19849,72,19749,803555
256,"d","",,,,,,
256,"d","California",41,"(D)","(D)",41,"(D)","(D)"
256,"d","Colorado",3,4,452,3,452,90000
256,"d","Georgia",1,"(D)","(D)",1,"(D)","(D)"
256,"d","Maine",4,1,82,2,"(D)","(D)"
256,"d","Maryland",2,"(D)","(D)",2,"(D)","(D)"
256,"d","",,,,,,
256,"d","Massachusetts",2,"(D)","(D)",2,"(D)","(D)"
256,"d","New York",3,4,201,3,201,60750
256,"d","Oregon",2,"(D)","(D)",2,"(D)","(D)"
256,"d","Tennessee",2,"(D)","(D)",2,"(D)","(D)"
256,"d","Utah",4,"(Z)",80,4,80,9600
256,"d","",,,,,,
256,"d","Washington",4,1,143,4,143,3180
256,"d","Wisconsin",6,1,116,6,"(D)","(D)"
256,"d","",,,,,,
256,"d","LETTUCE, ALL (CWT)",,,,,,
256,"d","",,,,,,
256,"d","United States",934,32099,3096065,934,3069068,263836835
256,"d","",,,,,,
256,"d","Arizona",10,3236,569407,10,566063,30344991
256,"d","Arkansas",9,1,64,9,64,35010
256,"d","California",164,27993,2436601,164,2418322,219825490
256,"d","Colorado",6,6,"(D)",6,"(D)","(D)"
256,"d","Connecticut",31,20,696,31,696,240538
256,"d","",,,,,,
256,"d","Florida",19,83,12583,19,9271,914594
256,"d","Georgia",3,7,394,3,385,19670
256,"d","Hawaii",18,"(D)","(D)",18,"(D)","(D)"
256,"d","Idaho",9,"(D)","(D)",9,"(D)","(D)"
256,"d","Illinois",17,12,489,17,489,"(D)"
256,"d","",,,,,,
256,"d","Indiana",3,"(D)","(D)",3,"(D)","(D)"
256,"d","Iowa",14,2,103,14,98,31970
256,"d","Kansas",2,"(D)","(D)",2,"(D)","(D)"
256,"d","Kentucky",8,"(D)","(D)",8,"(D)","(D)"
256,"d","Louisiana",1,"(D)","(D)",1,"(D)","(D)"
256,"d","",,,,,,
256,"d","Maine",62,27,1391,62,1371,429211
256,"d","Maryland",24,21,810,24,809,156642
256,"d","Massachusetts",29,"(D)","(D)",29,"(D)","(D)"
256,"d","Michigan",17,3,353,17,353,74044
256,"d","Minnesota",11,"(D)","(D)",11,"(D)","(D)"
256,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)"
256,"c",""
256,"c","--continued"
