282,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
282,"t","Table 32.  Organic Vegetables, Potatoes, and Melons Grown Under Protection Harvested – Certified Organic Farms:  2014"
282,"t","[For meaning of abbreviations and symbols, see introductory text.]"
282,"h","","","","","","",""
282,"h","","","","","Value of sales","Value of sales","Value of sales"
282,"h","","","","","","",""
282,"h","","Harvested","Harvested","Harvested","Total","Total","Total"
282,"h","","","","","","",""
282,"h","","","Square feet","","","",""
282,"h","","","under glass","","","",""
282,"h","","","or other","","","",""
282,"h","Crop and geographic area","Farms","protection","Quantity","Farms","Quantity","Dollars"
282,"h","","","","","","",""
282,"d","ALL VEGETABLES, POTATOES,",,,,,,
282,"d"," AND MELONS",,,,,,
282,"d","",,,,,,
282,"d","United States",1330,19587945,"(X)",1311,"(X)",75857306
282,"d","",,,,,,
282,"d","Alabama",5,15960,"(X)",5,"(X)",13976
282,"d","Alaska",2,"(D)","(X)",2,"(X)","(D)"
282,"d","Arizona",10,656000,"(X)",10,"(X)","(D)"
282,"d","Arkansas",15,222152,"(X)",15,"(X)",354540
282,"d","California",106,5572032,"(X)",106,"(X)",31280055
282,"d","",,,,,,
282,"d","Colorado",15,99840,"(X)",15,"(X)",665860
282,"d","Connecticut",38,171132,"(X)",38,"(X)",343494
282,"d","Delaware",3,"(D)","(X)",3,"(X)","(D)"
282,"d","Florida",20,1330120,"(X)",20,"(X)",2569838
282,"d","Georgia",31,700110,"(X)",31,"(X)",1217418
282,"d","",,,,,,
282,"d","Hawaii",11,382680,"(X)",9,"(X)",421000
282,"d","Idaho",21,135144,"(X)",21,"(X)",477384
282,"d","Illinois",16,198092,"(X)",16,"(X)",211191
282,"d","Indiana",7,"(D)","(X)",7,"(X)","(D)"
282,"d","Iowa",25,"(D)","(X)",25,"(X)","(D)"
282,"d","",,,,,,
282,"d","Kansas",8,"(D)","(X)",8,"(X)","(D)"
282,"d","Kentucky",14,"(D)","(X)",14,"(X)","(D)"
282,"d","Louisiana",2,"(D)","(X)",2,"(X)","(D)"
282,"d","Maine",123,710028,"(X)",119,"(X)",1416886
282,"d","Maryland",36,185928,"(X)",36,"(X)",335948
282,"d","",,,,,,
282,"d","Massachusetts",35,296501,"(X)",35,"(X)",6180468
282,"d","Michigan",27,134216,"(X)",27,"(X)",218251
282,"d","Minnesota",17,92779,"(X)",17,"(X)",346735
282,"d","Missouri",8,66930,"(X)",8,"(X)",91837
282,"d","Montana",26,"(D)","(X)",26,"(X)","(D)"
282,"d","",,,,,,
282,"d","Nebraska",1,"(D)","(X)",1,"(X)","(D)"
282,"d","Nevada",12,25332,"(X)",12,"(X)",290655
282,"d","New Hampshire",38,126500,"(X)",38,"(X)",290360
282,"d","New Jersey",20,"(D)","(X)",18,"(X)","(D)"
282,"d","New Mexico",18,204980,"(X)",18,"(X)","(D)"
282,"d","",,,,,,
282,"d","New York",72,401102,"(X)",70,"(X)",2724894
282,"d","North Carolina",41,225922,"(X)",41,"(X)",363740
282,"d","North Dakota",2,"(D)","(X)",2,"(X)","(D)"
282,"d","Ohio",39,171628,"(X)",39,"(X)",290230
282,"d","Oklahoma",5,"(D)","(X)",5,"(X)","(D)"
282,"d","",,,,,,
282,"d","Oregon",63,3060492,"(X)",62,"(X)",2600199
282,"d","Pennsylvania",88,1197066,"(X)",88,"(X)",12163858
282,"d","Rhode Island",17,130632,"(X)",17,"(X)",287427
282,"d","Tennessee",6,64900,"(X)",6,"(X)",174122
282,"d","Texas",12,454574,"(X)",12,"(X)",1134301
282,"d","",,,,,,
282,"d","Utah",3,"(D)","(X)",3,"(X)","(D)"
282,"d","Vermont",98,798649,"(X)",95,"(X)",2259576
282,"d","Virginia",24,219934,"(X)",24,"(X)",1101654
282,"d","Washington",98,299133,"(X)",93,"(X)",1218027
282,"d","West Virginia",1,"(D)","(X)",1,"(X)","(D)"
282,"d","",,,,,,
282,"d","Wisconsin",49,338600,"(X)",49,"(X)",602947
282,"d","Wyoming",2,"(D)","(X)",2,"(X)","(D)"
282,"d","",,,,,,
282,"d","BEANS, SNAP, FRESH (CWT)",,,,,,
282,"d","",,,,,,
282,"d","United States",46,101019,235,46,234,88703
282,"d","",,,,,,
282,"d","Arizona",1,"(D)","(D)",1,"(D)","(D)"
282,"d","California",2,"(D)","(D)",2,"(D)","(D)"
282,"d","Florida",1,"(D)","(D)",1,"(D)","(D)"
282,"c",""
282,"c","--continued"
