283,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
283,"t","Table 32.  Organic Vegetables, Potatoes, and Melons Grown Under Protection Harvested – Certified Organic Farms:  2014 (continued)"
283,"t","[For meaning of abbreviations and symbols, see introductory text.]"
283,"h","","","","","","",""
283,"h","","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con."
283,"h","","","","","","",""
283,"h","","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
283,"h","","","","","","",""
283,"h","","","","","","",""
283,"h","","","","","","",""
283,"h","","","","","","",""
283,"h","Crop and geographic area","Farms","Quantity","Dollars","Farms","Quantity","Dollars"
283,"h","","","","","","",""
283,"d","ALL VEGETABLES, POTATOES,",,,,,,
283,"d"," AND MELONS",,,,,,
283,"d","",,,,,,
283,"d","United States",1307,"(X)",71417542,79,"(X)",4439764
283,"d","",,,,,,
283,"d","Alabama",5,"(X)",13976,-,"(X)",-
283,"d","Alaska",2,"(X)","(D)",-,"(X)",-
283,"d","Arizona",10,"(X)","(D)",-,"(X)",-
283,"d","Arkansas",15,"(X)",354540,-,"(X)",-
283,"d","California",106,"(X)","(D)",9,"(X)","(D)"
283,"d","",,,,,,
283,"d","Colorado",15,"(X)",665860,-,"(X)",-
283,"d","Connecticut",38,"(X)",343494,-,"(X)",-
283,"d","Delaware",3,"(X)","(D)",-,"(X)",-
283,"d","Florida",20,"(X)","(D)",3,"(X)","(D)"
283,"d","Georgia",31,"(X)","(D)",2,"(X)","(D)"
283,"d","",,,,,,
283,"d","Hawaii",9,"(X)",421000,-,"(X)",-
283,"d","Idaho",21,"(X)","(D)",2,"(X)","(D)"
283,"d","Illinois",16,"(X)",211191,-,"(X)",-
283,"d","Indiana",7,"(X)","(D)",1,"(X)","(D)"
283,"d","Iowa",25,"(X)",348164,2,"(X)","(D)"
283,"d","",,,,,,
283,"d","Kansas",8,"(X)","(D)",1,"(X)","(D)"
283,"d","Kentucky",14,"(X)","(D)",-,"(X)",-
283,"d","Louisiana",2,"(X)","(D)",-,"(X)",-
283,"d","Maine",119,"(X)",1407732,9,"(X)",9154
283,"d","Maryland",36,"(X)",335948,-,"(X)",-
283,"d","",,,,,,
283,"d","Massachusetts",35,"(X)","(D)",4,"(X)","(D)"
283,"d","Michigan",27,"(X)","(D)",2,"(X)","(D)"
283,"d","Minnesota",17,"(X)",346735,-,"(X)",-
283,"d","Missouri",8,"(X)","(D)",1,"(X)","(D)"
283,"d","Montana",26,"(X)","(D)",2,"(X)","(D)"
283,"d","",,,,,,
283,"d","Nebraska",1,"(X)","(D)",-,"(X)",-
283,"d","Nevada",12,"(X)",290655,-,"(X)",-
283,"d","New Hampshire",38,"(X)",290360,-,"(X)",-
283,"d","New Jersey",18,"(X)","(D)",-,"(X)",-
283,"d","New Mexico",18,"(X)","(D)",5,"(X)",329283
283,"d","",,,,,,
283,"d","New York",68,"(X)",2718306,7,"(X)",6588
283,"d","North Carolina",41,"(X)",363740,-,"(X)",-
283,"d","North Dakota",2,"(X)","(D)",-,"(X)",-
283,"d","Ohio",38,"(X)",289955,3,"(X)",275
283,"d","Oklahoma",5,"(X)","(D)",-,"(X)",-
283,"d","",,,,,,
283,"d","Oregon",62,"(X)","(D)",2,"(X)","(D)"
283,"d","Pennsylvania",88,"(X)",8861463,15,"(X)",3302395
283,"d","Rhode Island",17,"(X)",287427,-,"(X)",-
283,"d","Tennessee",6,"(X)",174122,-,"(X)",-
283,"d","Texas",12,"(X)",1134301,-,"(X)",-
283,"d","",,,,,,
283,"d","Utah",3,"(X)","(D)",-,"(X)",-
283,"d","Vermont",95,"(X)",2228412,4,"(X)",31164
283,"d","Virginia",24,"(X)",1101654,-,"(X)",-
283,"d","Washington",93,"(X)",1121669,4,"(X)",96358
283,"d","West Virginia",1,"(X)","(D)",-,"(X)",-
283,"d","",,,,,,
283,"d","Wisconsin",48,"(X)","(D)",1,"(X)","(D)"
283,"d","Wyoming",2,"(X)","(D)",-,"(X)",-
283,"d","",,,,,,
283,"d","BEANS, SNAP, FRESH (CWT)",,,,,,
283,"d","",,,,,,
283,"d","United States",46,234,88703,-,-,-
283,"d","",,,,,,
283,"d","Arizona",1,"(D)","(D)",-,-,-
283,"d","California",2,"(D)","(D)",-,-,-
283,"d","Florida",1,"(D)","(D)",-,-,-
283,"c",""
283,"c","--continued"
