284,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
284,"t","Table 32.  Organic Vegetables, Potatoes, and Melons Grown Under Protection Harvested – Certified Organic Farms:  2014 (continued)"
284,"t","[For meaning of abbreviations and symbols, see introductory text.]"
284,"h","","","","","","",""
284,"h","","","","","Value of sales","Value of sales","Value of sales"
284,"h","","","","","","",""
284,"h","","Harvested","Harvested","Harvested","Total","Total","Total"
284,"h","","","","","","",""
284,"h","","","Square feet","","","",""
284,"h","","","under glass","","","",""
284,"h","","","or other","","","",""
284,"h","Crop and geographic area","Farms","protection","Quantity","Farms","Quantity","Dollars"
284,"h","","","","","","",""
284,"d","BEANS, SNAP, FRESH (CWT) - Con.",,,,,,
284,"d","",,,,,,
284,"d","Georgia",6,43890,38,6,38,15578
284,"d","Iowa",6,1379,7,6,7,2197
284,"d","Massachusetts",5,1080,5,5,4,1170
284,"d","Minnesota",1,"(D)","(D)",1,"(D)","(D)"
284,"d","New Jersey",2,"(D)","(D)",2,"(D)","(D)"
284,"d","",,,,,,
284,"d","North Carolina",1,"(D)","(D)",1,"(D)","(D)"
284,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)"
284,"d","Oregon",5,9920,22,5,22,7972
284,"d","Pennsylvania",3,2850,3,3,3,600
284,"d","Vermont",4,2200,4,4,4,1440
284,"d","Washington",7,4150,17,7,17,7394
284,"d","",,,,,,
284,"d","BROCCOLI (CWT)",,,,,,
284,"d","",,,,,,
284,"d","United States",34,118336,2156,34,2050,217774
284,"d","",,,,,,
284,"d","Arkansas",3,9000,135,3,135,"(D)"
284,"d","California",9,65432,1291,9,1185,123733
284,"d","Colorado",1,"(D)","(D)",1,"(D)","(D)"
284,"d","Georgia",3,30000,450,3,450,49833
284,"d","Massachusetts",1,"(D)","(D)",1,"(D)","(D)"
284,"d","",,,,,,
284,"d","Michigan",4,950,2,4,2,486
284,"d","Montana",2,"(D)","(D)",2,"(D)","(D)"
284,"d","New Mexico",2,"(D)","(D)",2,"(D)","(D)"
284,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)"
284,"d","Oregon",2,"(D)","(D)",2,"(D)","(D)"
284,"d","",,,,,,
284,"d","Vermont",2,"(D)","(D)",2,"(D)","(D)"
284,"d","Washington",3,1604,21,3,21,2371
284,"d","",,,,,,
284,"d","CABBAGE, GREEN (CWT)",,,,,,
284,"d","",,,,,,
284,"d","United States",19,14872,583,19,583,40569
284,"d","",,,,,,
284,"d","California",2,"(D)","(D)",2,"(D)","(D)"
284,"d","Idaho",2,"(D)","(D)",2,"(D)","(D)"
284,"d","Kentucky",2,"(D)","(D)",2,"(D)","(D)"
284,"d","Massachusetts",4,900,18,4,18,3227
284,"d","Montana",1,"(D)","(D)",1,"(D)","(D)"
284,"d","",,,,,,
284,"d","North Carolina",4,2000,20,4,20,3380
284,"d","Oregon",2,"(D)","(D)",2,"(D)","(D)"
284,"d","Wisconsin",2,"(D)","(D)",2,"(D)","(D)"
284,"d","",,,,,,
284,"d","CABBAGE, RED (CWT)",,,,,,
284,"d","",,,,,,
284,"d","United States",13,"(D)","(D)",13,"(D)","(D)"
284,"d","",,,,,,
284,"d","California",2,"(D)","(D)",2,"(D)","(D)"
284,"d","Idaho",2,"(D)","(D)",2,"(D)","(D)"
284,"d","Massachusetts",1,"(D)","(D)",1,"(D)","(D)"
284,"d","North Carolina",4,800,8,4,8,504
284,"d","North Dakota",2,"(D)","(D)",2,"(D)","(D)"
284,"d","Texas",2,"(D)","(D)",2,"(D)","(D)"
284,"d","",,,,,,
284,"d","CABBAGE, OTHER (CWT)",,,,,,
284,"d","",,,,,,
284,"d","United States",16,46871,"(D)",16,"(D)","(D)"
284,"d","",,,,,,
284,"d","California",2,"(D)","(D)",2,"(D)","(D)"
284,"d","Georgia",3,30000,96,3,96,38034
284,"d","Iowa",1,"(D)","(D)",1,"(D)","(D)"
284,"d","North Carolina",2,"(D)","(D)",2,"(D)","(D)"
284,"d","Oregon",2,"(D)","(D)",2,"(D)","(D)"
284,"d","Pennsylvania",1,"(D)","(D)",1,"(D)","(D)"
284,"c",""
284,"c","--continued"
