307,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
307,"t","Table 33.  Other Organic Fruits, Tree Nuts, and Berries Harvested – Certified Organic Farms:  2014 (continued)"
307,"t","[For meaning of abbreviations and symbols, see introductory text.]"
307,"h","","","","","","",""
307,"h","","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con."
307,"h","","","","","","",""
307,"h","","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
307,"h","","","","","","",""
307,"h","Crop and geographic area","Farms","Quantity","Dollars","Farms","Quantity","Dollars"
307,"h","","","","","","",""
307,"d","LEMONS (TONS)",,,,,,
307,"d","",,,,,,
307,"d","United States",197,"(D)",26835340,14,"(D)",71034
307,"d","",,,,,,
307,"d","Arizona",1,"(D)","(D)",-,-,-
307,"d","California",187,"(D)","(D)",12,"(D)","(D)"
307,"d","Hawaii",9,"(D)","(D)",2,"(D)","(D)"
307,"d","",,,,,,
307,"d","ORANGES, NAVEL (TONS)",,,,,,
307,"d","",,,,,,
307,"d","United States",154,19887,28642092,13,69,92973
307,"d","",,,,,,
307,"d","Arizona",3,139,184000,-,-,-
307,"d","California",134,"(D)","(D)",13,69,92973
307,"d","Florida",6,35,41686,-,-,-
307,"d","Hawaii",7,"(D)","(D)",-,-,-
307,"d","Louisiana",2,"(D)","(D)",-,-,-
307,"d","Texas",2,"(D)","(D)",-,-,-
307,"d","",,,,,,
307,"d","ORANGES, VALENCIA (TONS)",,,,,,
307,"d","",,,,,,
307,"d","United States",153,"(D)","(D)",8,"(D)","(D)"
307,"d","",,,,,,
307,"d","Arizona",1,"(D)","(D)",-,-,-
307,"d","California",136,"(D)","(D)",8,"(D)","(D)"
307,"d","Florida",11,2780,1847355,-,-,-
307,"d","Hawaii",2,"(D)","(D)",-,-,-
307,"d","Texas",3,"(D)","(D)",-,-,-
307,"d","",,,,,,
307,"d","ORANGES, ALL OTHER (TONS)",,,,,,
307,"d","",,,,,,
307,"d","United States",83,6768,8681707,-,-,-
307,"d","",,,,,,
307,"d","California",70,3652,5876234,-,-,-
307,"d","Florida",5,"(D)",2497119,-,-,-
307,"d","Hawaii",3,"(D)","(D)",-,-,-
307,"d","Louisiana",2,"(D)","(D)",-,-,-
307,"d","New York",1,"(D)","(D)",-,-,-
307,"d","Texas",2,"(D)","(D)",-,-,-
307,"d","",,,,,,
307,"d","PEACHES, ALL (TONS)",,,,,,
307,"d","",,,,,,
307,"d","United States",244,15254,26968323,25,765,882120
307,"d","",,,,,,
307,"d","Arkansas",3,12,8904,-,-,-
307,"d","California",121,11744,21295547,7,235,397473
307,"d","Colorado",18,"(D)","(D)",1,"(D)","(D)"
307,"d","Florida",3,"(D)","(D)",-,-,-
307,"d","Georgia",4,4,4956,-,-,-
307,"d","",,,,,,
307,"d","Idaho",2,"(D)","(D)",-,-,-
307,"d","Maryland",3,"(Z)",519,-,-,-
307,"d","Michigan",2,"(D)","(D)",-,-,-
307,"d","Montana",1,"(D)","(D)",-,-,-
307,"d","Nevada",3,"(Z)",834,-,-,-
307,"d","",,,,,,
307,"d","New Hampshire",2,"(Z)","(D)",-,-,-
307,"d","New Jersey",3,"(D)","(D)",-,-,-
307,"d","New Mexico",4,"(D)","(D)",2,"(D)","(D)"
307,"d","New York",2,"(D)","(D)",-,-,-
307,"d","Oklahoma",3,"(D)","(D)",1,"(D)","(D)"
307,"d","",,,,,,
307,"d","Oregon",17,"(D)","(D)",1,"(D)","(D)"
307,"d","Pennsylvania",5,5,"(D)",4,"(Z)","(D)"
307,"d","South Carolina",1,"(D)","(D)",1,"(D)","(D)"
307,"d","Texas",3,2,1790,-,-,-
307,"d","Utah",4,1,2560,-,-,-
307,"d","Vermont",2,"(D)","(D)",2,"(D)","(D)"
307,"c",""
307,"c","--continued"
