316,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
316,"t","Table 33.  Other Organic Fruits, Tree Nuts, and Berries Harvested – Certified Organic Farms:  2014 (continued)"
316,"t","[For meaning of abbreviations and symbols, see introductory text.]"
316,"h","","","","","","",""
316,"h","","","","","Value of sales","Value of sales","Value of sales"
316,"h","","","","","","",""
316,"h","","Harvested","Harvested","Harvested","Total","Total","Total"
316,"h","","","","","","",""
316,"h","Crop and geographic area","Farms","Acres","Quantity","Farms","Quantity","Dollars"
316,"h","","","","","","",""
316,"d","BLUEBERRIES, WILD (POUNDS)",,,,,,
316,"d","",,,,,,
316,"d","United States",57,409,400106,57,376481,907775
316,"d","",,,,,,
316,"d","California",2,"(D)","(D)",2,"(D)","(D)"
316,"d","Connecticut",3,1,66,3,66,528
316,"d","Maine",46,397,398485,46,376139,906119
316,"d","New York",2,"(D)","(D)",2,"(D)","(D)"
316,"d","Pennsylvania",2,"(D)","(D)",2,"(D)","(D)"
316,"d","Vermont",2,"(D)","(D)",2,"(D)","(D)"
316,"d","",,,,,,
316,"d","CRANBERRIES (BARRELS)",,,,,,
316,"d","",,,,,,
316,"d","United States",30,283,19247,28,18686,3091272
316,"d","",,,,,,
316,"d","Maine",4,1,"(D)",2,"(D)","(D)"
316,"d","Massachusetts",11,87,6641,11,"(D)","(D)"
316,"d","Ohio",1,"(D)","(D)",1,"(D)","(D)"
316,"d","Oregon",5,"(D)",350,5,350,74123
316,"d","Wisconsin",9,177,11760,9,11610,2582000
316,"d","",,,,,,
316,"d","RASPBERRIES (POUNDS)",,,,,,
316,"d","",,,,,,
316,"d","United States",360,586,4781741,355,4730419,14060809
316,"d","",,,,,,
316,"d","Alaska",2,"(D)","(D)",2,"(D)","(D)"
316,"d","Arizona",1,"(D)","(D)",1,"(D)","(D)"
316,"d","Arkansas",3,"(D)","(D)",3,"(D)","(D)"
316,"d","California",57,330,4262685,57,4231409,"(D)"
316,"d","Connecticut",6,2,1105,6,1056,"(D)"
316,"d","",,,,,,
316,"d","Idaho",8,"(D)","(D)",8,"(D)","(D)"
316,"d","Illinois",3,1,689,3,689,4095
316,"d","Indiana",3,"(D)","(D)",3,"(D)","(D)"
316,"d","Iowa",3,"(Z)",56,3,56,366
316,"d","Kentucky",4,"(D)","(D)",4,"(D)","(D)"
316,"d","",,,,,,
316,"d","Maine",25,5,5173,23,4844,29063
316,"d","Maryland",12,"(D)","(D)",12,"(D)","(D)"
316,"d","Massachusetts",12,"(D)","(D)",12,"(D)","(D)"
316,"d","Michigan",5,2,2470,5,2350,14139
316,"d","Minnesota",12,7,11511,12,11031,"(D)"
316,"d","",,,,,,
316,"d","Missouri",1,"(D)","(D)",1,"(D)","(D)"
316,"d","Montana",4,1,475,4,475,1852
316,"d","New Hampshire",6,3,3232,6,2488,"(D)"
316,"d","New Jersey",3,"(D)",885,3,835,"(D)"
316,"d","New Mexico",5,30,20834,5,18800,37400
316,"d","",,,,,,
316,"d","New York",18,14,21005,18,19013,99700
316,"d","North Carolina",2,"(D)","(D)",2,"(D)","(D)"
316,"d","Ohio",15,"(D)","(D)",15,"(D)","(D)"
316,"d","Oregon",19,63,183224,19,176547,548360
316,"d","Pennsylvania",17,6,13698,17,12555,57396
316,"d","",,,,,,
316,"d","South Dakota",1,"(D)","(D)",1,"(D)","(D)"
316,"d","Tennessee",2,"(D)","(D)",2,"(D)","(D)"
316,"d","Texas",2,"(D)","(D)",2,"(D)","(D)"
316,"d","Utah",2,"(D)","(D)",2,"(D)","(D)"
316,"d","Vermont",26,14,17387,26,12000,65797
316,"d","",,,,,,
316,"d","Virginia",8,2,1049,8,821,"(D)"
316,"d","Washington",47,62,197160,44,196876,"(D)"
316,"d","Wisconsin",26,"(D)",17306,26,17104,54308
316,"c",""
316,"c","--continued"
