322,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
322,"t","Table 34.  All Organic Apples Harvested and Value of Sales – Certified Organic Farms:  2014"
322,"t","[For meaning of abbreviations and symbols, see introductory text.]"
322,"h","","","","","","",""
322,"h","","","","","Value of sales","Value of sales","Value of sales"
322,"h","","","","","","",""
322,"h","","Harvested","Harvested","Harvested","Total","Total","Total"
322,"h","","","","","","",""
322,"h","Crop and geographic area","Farms","Acres","Pounds","Farms","Pounds","Dollars"
322,"h","","","","","","",""
322,"d","APPLES, ALL",,,,,,
322,"d","",,,,,,
322,"d","United States",700,16086,491971924,693,486595278,251083921
322,"d","",,,,,,
322,"d","Alaska",2,"(D)","(D)",2,"(D)","(D)"
322,"d","Arizona",5,"(D)","(D)",5,"(D)","(D)"
322,"d","Arkansas",6,3,84120,6,84012,29778
322,"d","California",215,2996,38993537,215,37355989,25484878
322,"d","Colorado",11,194,3527363,11,3234837,2255606
322,"d","",,,,,,
322,"d","Georgia",4,"(D)",147160,4,"(D)","(D)"
322,"d","Idaho",5,1,"(D)",5,"(D)","(D)"
322,"d","Illinois",3,"(D)","(D)",3,"(D)","(D)"
322,"d","Iowa",4,"(D)",112352,4,"(D)",118246
322,"d","Kentucky",4,1,8200,2,"(D)","(D)"
322,"d","",,,,,,
322,"d","Maine",20,142,784708,20,587570,208143
322,"d","Maryland",7,10,36303,7,6663,9243
322,"d","Massachusetts",6,22,49527,6,47892,35756
322,"d","Michigan",13,214,"(D)",13,"(D)","(D)"
322,"d","Minnesota",19,105,395555,17,342051,344395
322,"d","",,,,,,
322,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)"
322,"d","Montana",9,"(D)","(D)",9,"(D)","(D)"
322,"d","Nevada",3,"(Z)",150,3,150,450
322,"d","New Hampshire",2,"(D)","(D)",2,"(D)","(D)"
322,"d","New Jersey",1,"(D)","(D)",1,"(D)","(D)"
322,"d","",,,,,,
322,"d","New Mexico",5,4,32420,5,29664,25776
322,"d","New York",16,144,2687459,15,"(D)",684222
322,"d","North Carolina",6,8,40696,6,40674,"(D)"
322,"d","Ohio",1,"(D)","(D)",1,"(D)","(D)"
322,"d","Oklahoma",4,1,1100,4,1100,3700
322,"d","",,,,,,
322,"d","Oregon",54,262,4048737,54,3992359,1604945
322,"d","Pennsylvania",10,93,"(D)",10,"(D)","(D)"
322,"d","Tennessee",1,"(D)","(D)",1,"(D)","(D)"
322,"d","Texas",2,"(D)","(D)",2,"(D)","(D)"
322,"d","Utah",5,12,234214,5,212714,34574
322,"d","",,,,,,
322,"d","Vermont",15,234,2965606,15,2898068,5021312
322,"d","Virginia",3,3,31065,3,31065,"(D)"
322,"d","Washington",207,11168,428682454,207,427182550,210179836
322,"d","Wisconsin",30,86,277106,28,241385,144063
322,"d","",,,,,,
322,"d","APPLES, FRESH, ALL",,,,,,
322,"d","",,,,,,
322,"d","United States",624,"(X)","(X)",617,440627618,"(D)"
322,"d","",,,,,,
322,"d","Arizona",5,"(X)","(X)",5,"(D)","(D)"
322,"d","Arkansas",6,"(X)","(X)",6,84012,29778
322,"d","California",181,"(X)","(X)",181,19237869,22196484
322,"d","Colorado",11,"(X)","(X)",11,"(D)","(D)"
322,"d","Georgia",4,"(X)","(X)",4,"(D)","(D)"
322,"d","",,,,,,
322,"d","Idaho",5,"(X)","(X)",5,"(D)","(D)"
322,"d","Illinois",3,"(X)","(X)",3,"(D)","(D)"
322,"d","Iowa",4,"(X)","(X)",4,"(D)",118246
322,"d","Kentucky",4,"(X)","(X)",2,"(D)","(D)"
322,"d","Maine",15,"(X)","(X)",15,"(D)","(D)"
322,"d","",,,,,,
322,"d","Maryland",7,"(X)","(X)",7,6663,9243
322,"d","Massachusetts",6,"(X)","(X)",6,17044,28044
322,"d","Michigan",8,"(X)","(X)",8,"(D)","(D)"
322,"d","Minnesota",19,"(X)","(X)",17,"(D)","(D)"
322,"d","Missouri",2,"(X)","(X)",2,"(D)","(D)"
322,"d","",,,,,,
322,"d","Montana",9,"(X)","(X)",9,"(D)","(D)"
322,"d","Nevada",3,"(X)","(X)",3,150,450
322,"d","New Hampshire",2,"(X)","(X)",2,"(D)","(D)"
322,"d","New Jersey",1,"(X)","(X)",1,"(D)","(D)"
322,"c",""
322,"c","--continued"
