328,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
328,"t","Table 34.  All Organic Apples Harvested and Value of Sales – Certified Organic Farms:  2014 (continued)"
328,"t","[For meaning of abbreviations and symbols, see introductory text.]"
328,"h","","","","","","",""
328,"h","","","","","Value of sales","Value of sales","Value of sales"
328,"h","","","","","","",""
328,"h","","Harvested","Harvested","Harvested","Total","Total","Total"
328,"h","","","","","","",""
328,"h","Crop and geographic area","Farms","Acres","Pounds","Farms","Pounds","Dollars"
328,"h","","","","","","",""
328,"d","GALA, ALL - Con.",,,,,,
328,"d","",,,,,,
328,"d","Oregon",12,22,565286,12,565286,160236
328,"d","Utah",2,"(D)","(D)",2,"(D)","(D)"
328,"d","Washington",105,2742,110229719,105,110229719,60341016
328,"d","",,,,,,
328,"d","GOLDEN DELICIOUS, ALL",,,,,,
328,"d","",,,,,,
328,"d","United States",143,1375,50338718,142,50159148,"(D)"
328,"d","",,,,,,
328,"d","California",43,409,5949175,43,5783869,953826
328,"d","Colorado",5,21,519158,5,514509,187260
328,"d","Maine",5,4,13700,5,"(D)",9800
328,"d","Maryland",4,"(Z)",1353,4,"(D)","(D)"
328,"d","Michigan",6,28,"(D)",6,"(D)","(D)"
328,"d","",,,,,,
328,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)"
328,"d","New York",3,"(D)","(D)",2,"(D)","(D)"
328,"d","North Carolina",2,"(D)","(D)",2,"(D)","(D)"
328,"d","Oregon",3,"(D)","(D)",3,"(D)","(D)"
328,"d","Utah",3,3,15600,3,15600,3060
328,"d","",,,,,,
328,"d","Washington",62,889,43031910,62,43022448,15452280
328,"d","Wisconsin",5,8,16048,5,16048,5650
328,"d","",,,,,,
328,"d","GRANNY SMITH, ALL",,,,,,
328,"d","",,,,,,
328,"d","United States",99,1043,32134502,99,32126595,17129914
328,"d","",,,,,,
328,"d","Arizona",1,"(D)","(D)",1,"(D)","(D)"
328,"d","California",37,148,3453012,37,3445218,"(D)"
328,"d","Colorado",2,"(D)","(D)",2,"(D)","(D)"
328,"d","Michigan",2,"(D)","(D)",2,"(D)","(D)"
328,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)"
328,"d","",,,,,,
328,"d","Oregon",2,"(D)","(D)",2,"(D)","(D)"
328,"d","Pennsylvania",2,"(D)","(D)",2,"(D)","(D)"
328,"d","Washington",51,795,27815729,51,27815616,13687318
328,"d","",,,,,,
328,"d","HONEYCRISP, ALL",,,,,,
328,"d","",,,,,,
328,"d","United States",119,1143,33706155,119,33344227,26237237
328,"d","",,,,,,
328,"d","Arizona",4,"(Z)",400,4,400,300
328,"d","California",13,51,550057,13,550057,705403
328,"d","Colorado",5,10,132920,5,132920,129508
328,"d","Iowa",2,"(D)","(D)",2,"(D)","(D)"
328,"d","Massachusetts",1,"(D)","(D)",1,"(D)","(D)"
328,"d","",,,,,,
328,"d","Michigan",3,"(D)","(D)",3,"(D)","(D)"
328,"d","Minnesota",8,"(D)","(D)",8,"(D)","(D)"
328,"d","Montana",2,"(D)","(D)",2,"(D)","(D)"
328,"d","New York",4,2,24060,4,24060,14164
328,"d","Oregon",7,20,"(D)",7,"(D)","(D)"
328,"d","",,,,,,
328,"d","Vermont",2,"(D)","(D)",2,"(D)","(D)"
328,"d","Washington",65,"(D)","(D)",65,"(D)","(D)"
328,"d","Wisconsin",3,5,"(D)",3,11000,18940
328,"d","",,,,,,
328,"d","IDARED, ALL",,,,,,
328,"d","",,,,,,
328,"d","United States",32,74,1429858,32,"(D)",342155
328,"d","",,,,,,
328,"d","California",4,"(D)","(D)",4,"(D)","(D)"
328,"d","Maine",2,"(D)","(D)",2,"(D)","(D)"
328,"d","Michigan",3,"(D)","(D)",3,"(D)","(D)"
328,"d","New York",3,"(D)","(D)",3,"(D)","(D)"
328,"d","Oregon",2,"(D)","(D)",2,"(D)","(D)"
328,"d","",,,,,,
328,"d","Vermont",2,"(D)","(D)",2,"(D)","(D)"
328,"c",""
328,"c","--continued"
