335,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
335,"t","Table 34.  All Organic Apples Harvested and Value of Sales – Certified Organic Farms:  2014 (continued)"
335,"t","[For meaning of abbreviations and symbols, see introductory text.]"
335,"h","","","","","","",""
335,"h","","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con."
335,"h","","","","","","",""
335,"h","","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
335,"h","","","","","","",""
335,"h","Crop and geographic area","Farms","Pounds","Dollars","Farms","Pounds","Dollars"
335,"h","","","","","","",""
335,"d","OTHER VARIETIES, ALL - Con.",,,,,,
335,"d","",,,,,,
335,"d","Tennessee",1,"(D)","(D)",-,-,-
335,"d","Texas",2,"(D)","(D)",-,-,-
335,"d","Utah",2,"(D)","(D)",-,-,-
335,"d","Vermont",12,"(D)","(D)",-,-,-
335,"d","Washington",106,"(D)","(D)",1,"(D)","(D)"
335,"d","Wisconsin",23,102132,69924,-,-,-
335,"c",""
