336,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
336,"t","Table 35.  Fresh and Processed Organic Apples Value of Sales – Certified Organic Farms:  2014"
336,"t","[For meaning of abbreviations and symbols, see introductory text.]"
336,"h","","","","","","","","","",""
336,"h","","Total","Total","Total","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
336,"h","","","","","","","","","",""
336,"h","Crop and geographic area","Farms","Pounds","Dollars","Farms","Pounds","Dollars","Farms","Pounds","Dollars"
336,"h","","","","","","","","","",""
336,"d","APPLES, FRESH, ALL",,,,,,,,,
336,"d","",,,,,,,,,
336,"d","United States",617,440627618,"(D)",611,"(D)","(D)",38,"(D)","(D)"
336,"d","",,,,,,,,,
336,"d","Arizona",5,"(D)","(D)",5,"(D)","(D)",-,-,-
336,"d","Arkansas",6,84012,29778,6,84012,29778,-,-,-
336,"d","California",181,19237869,22196484,181,19215613,22166639,6,22256,29845
336,"d","Colorado",11,"(D)","(D)",11,"(D)","(D)",-,-,-
336,"d","Georgia",4,"(D)","(D)",4,"(D)","(D)",2,"(D)","(D)"
336,"d","",,,,,,,,,
336,"d","Idaho",5,"(D)","(D)",5,"(D)","(D)",-,-,-
336,"d","Illinois",3,"(D)","(D)",3,"(D)","(D)",-,-,-
336,"d","Iowa",4,"(D)",118246,2,"(D)","(D)",2,"(D)","(D)"
336,"d","Kentucky",2,"(D)","(D)",2,"(D)","(D)",-,-,-
336,"d","Maine",15,"(D)","(D)",15,"(D)","(D)",2,"(D)","(D)"
336,"d","",,,,,,,,,
336,"d","Maryland",7,6663,9243,4,1863,4443,3,4800,4800
336,"d","Massachusetts",6,17044,28044,6,17044,28044,-,-,-
336,"d","Michigan",8,"(D)","(D)",7,"(D)","(D)",1,"(D)","(D)"
336,"d","Minnesota",17,"(D)","(D)",17,"(D)","(D)",1,"(D)","(D)"
336,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)",-,-,-
336,"d","",,,,,,,,,
336,"d","Montana",9,"(D)","(D)",9,"(D)","(D)",-,-,-
336,"d","Nevada",3,150,450,3,150,450,-,-,-
336,"d","New Hampshire",2,"(D)","(D)",2,"(D)","(D)",-,-,-
336,"d","New Jersey",1,"(D)","(D)",1,"(D)","(D)",-,-,-
336,"d","New Mexico",5,29664,25776,5,"(D)","(D)",2,"(D)","(D)"
336,"d","",,,,,,,,,
336,"d","New York",11,90829,"(D)",11,90829,"(D)",-,-,-
336,"d","North Carolina",6,40674,"(D)",6,40674,"(D)",-,-,-
336,"d","Ohio",1,"(D)","(D)",1,"(D)","(D)",-,-,-
336,"d","Oklahoma",4,1100,3700,4,1100,3700,-,-,-
336,"d","Oregon",52,"(D)",1334882,52,"(D)",1334882,-,-,-
336,"d","",,,,,,,,,
336,"d","Pennsylvania",10,"(D)","(D)",10,"(D)","(D)",3,"(D)",332
336,"d","Tennessee",1,"(D)","(D)",1,"(D)","(D)",-,-,-
336,"d","Texas",2,"(D)","(D)",2,"(D)","(D)",-,-,-
336,"d","Utah",5,"(D)","(D)",5,"(D)","(D)",-,-,-
336,"d","Vermont",12,"(D)","(D)",12,"(D)","(D)",-,-,-
336,"d","",,,,,,,,,
336,"d","Virginia",3,31065,"(D)",3,31065,"(D)",-,-,-
336,"d","Washington",194,408326590,204583316,194,"(D)","(D)",16,"(D)","(D)"
336,"d","Wisconsin",20,84274,85781,20,84274,85781,-,-,-
336,"d","",,,,,,,,,
336,"d","APPLES, PROCESSING, ALL",,,,,,,,,
336,"d","",,,,,,,,,
336,"d","United States",176,45967660,"(D)",175,"(D)","(D)",8,"(D)","(D)"
336,"d","",,,,,,,,,
336,"d","Alaska",2,"(D)","(D)",2,"(D)","(D)",-,-,-
336,"d","Arizona",5,"(D)","(D)",5,"(D)","(D)",-,-,-
336,"d","California",51,18118120,3288394,51,"(D)","(D)",4,"(D)","(D)"
336,"d","Colorado",4,"(D)","(D)",4,"(D)","(D)",-,-,-
336,"d","Illinois",2,"(D)","(D)",2,"(D)","(D)",-,-,-
336,"d","",,,,,,,,,
336,"d","Maine",9,"(D)","(D)",9,"(D)","(D)",-,-,-
336,"d","Massachusetts",4,30848,7712,4,30848,7712,-,-,-
336,"d","Michigan",6,"(D)","(D)",5,"(D)","(D)",1,"(D)","(D)"
336,"d","Minnesota",2,"(D)","(D)",2,"(D)","(D)",-,-,-
336,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)",-,-,-
336,"d","",,,,,,,,,
336,"d","New York",4,"(D)","(D)",4,"(D)","(D)",-,-,-
336,"d","Oregon",5,"(D)",270063,5,"(D)",270063,-,-,-
336,"d","Pennsylvania",5,637088,443076,5,637088,443076,-,-,-
336,"d","Utah",2,"(D)","(D)",2,"(D)","(D)",-,-,-
336,"d","Vermont",9,"(D)","(D)",9,"(D)","(D)",-,-,-
336,"d","",,,,,,,,,
336,"d","Washington",56,18855960,5596520,56,18784968,"(D)",3,70992,"(D)"
336,"d","Wisconsin",8,157111,58282,8,157111,58282,-,-,-
336,"c",""
336,"c","--continued"
