339,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
339,"t","Table 35.  Fresh and Processed Organic Apples Value of Sales – Certified Organic Farms:  2014 (continued)"
339,"t","[For meaning of abbreviations and symbols, see introductory text.]"
339,"h","","","","","","","","","",""
339,"h","","Total","Total","Total","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
339,"h","","","","","","","","","",""
339,"h","Crop and geographic area","Farms","Pounds","Dollars","Farms","Pounds","Dollars","Farms","Pounds","Dollars"
339,"h","","","","","","","","","",""
339,"d","GALA, PROCESSING",,,,,,,,,
339,"d","",,,,,,,,,
339,"d","United States",41,"(D)","(D)",40,"(D)","(D)",3,"(D)","(D)"
339,"d","",,,,,,,,,
339,"d","Arizona",1,"(D)","(D)",1,"(D)","(D)",-,-,-
339,"d","California",11,"(D)",128852,11,"(D)","(D)",2,"(D)","(D)"
339,"d","Colorado",2,"(D)","(D)",2,"(D)","(D)",-,-,-
339,"d","Michigan",1,"(D)","(D)",-,-,-,1,"(D)","(D)"
339,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)",-,-,-
339,"d","",,,,,,,,,
339,"d","Oregon",2,"(D)","(D)",2,"(D)","(D)",-,-,-
339,"d","Utah",2,"(D)","(D)",2,"(D)","(D)",-,-,-
339,"d","Washington",20,6430291,2505526,20,6430291,2505526,-,-,-
339,"d","",,,,,,,,,
339,"d","GOLDEN DELICIOUS, FRESH",,,,,,,,,
339,"d","",,,,,,,,,
339,"d","United States",109,"(D)","(D)",105,"(D)","(D)",4,"(D)","(D)"
339,"d","",,,,,,,,,
339,"d","California",29,120578,106174,28,"(D)","(D)",1,"(D)","(D)"
339,"d","Colorado",3,"(D)","(D)",3,"(D)","(D)",-,-,-
339,"d","Maine",2,"(D)","(D)",2,"(D)","(D)",-,-,-
339,"d","Maryland",4,"(D)","(D)",1,"(D)","(D)",3,"(D)","(D)"
339,"d","Michigan",3,3105,2175,3,3105,2175,-,-,-
339,"d","",,,,,,,,,
339,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)",-,-,-
339,"d","New York",2,"(D)","(D)",2,"(D)","(D)",-,-,-
339,"d","North Carolina",2,"(D)","(D)",2,"(D)","(D)",-,-,-
339,"d","Oregon",3,"(D)","(D)",3,"(D)","(D)",-,-,-
339,"d","Utah",3,15600,3060,3,15600,3060,-,-,-
339,"d","",,,,,,,,,
339,"d","Washington",55,37331166,14266010,55,37331166,14266010,-,-,-
339,"d","Wisconsin",1,"(D)","(D)",1,"(D)","(D)",-,-,-
339,"d","",,,,,,,,,
339,"d","GOLDEN DELICIOUS,",,,,,,,,,
339,"d"," PROCESSING",,,,,,,,,
339,"d","",,,,,,,,,
339,"d","United States",43,"(D)","(D)",43,"(D)","(D)",1,"(D)","(D)"
339,"d","",,,,,,,,,
339,"d","California",17,5663291,847652,17,5663291,847652,-,-,-
339,"d","Colorado",3,"(D)","(D)",3,"(D)","(D)",-,-,-
339,"d","Maine",3,"(D)","(D)",3,"(D)","(D)",-,-,-
339,"d","Michigan",3,"(D)","(D)",3,"(D)","(D)",-,-,-
339,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)",-,-,-
339,"d","",,,,,,,,,
339,"d","Oregon",2,"(D)","(D)",2,"(D)","(D)",-,-,-
339,"d","Washington",9,5691282,1186270,9,"(D)","(D)",1,"(D)","(D)"
339,"d","Wisconsin",4,"(D)","(D)",4,"(D)","(D)",-,-,-
339,"d","",,,,,,,,,
339,"d","GRANNY SMITH, FRESH",,,,,,,,,
339,"d","",,,,,,,,,
339,"d","United States",90,30602351,16588004,90,30602351,16588004,-,-,-
339,"d","",,,,,,,,,
339,"d","Arizona",1,"(D)","(D)",1,"(D)","(D)",-,-,-
339,"d","California",33,"(D)","(D)",33,"(D)","(D)",-,-,-
339,"d","Colorado",2,"(D)","(D)",2,"(D)","(D)",-,-,-
339,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)",-,-,-
339,"d","Oregon",1,"(D)","(D)",1,"(D)","(D)",-,-,-
339,"d","",,,,,,,,,
339,"d","Pennsylvania",2,"(D)","(D)",2,"(D)","(D)",-,-,-
339,"d","Washington",49,27459216,13476088,49,27459216,13476088,-,-,-
339,"d","",,,,,,,,,
339,"d","GRANNY SMITH, PROCESSING",,,,,,,,,
339,"d","",,,,,,,,,
339,"d","United States",15,1524244,541910,15,1524244,541910,-,-,-
339,"d","",,,,,,,,,
339,"d","Arizona",1,"(D)","(D)",1,"(D)","(D)",-,-,-
339,"d","California",8,"(D)",207980,8,"(D)",207980,-,-,-
339,"d","Michigan",2,"(D)","(D)",2,"(D)","(D)",-,-,-
339,"d","Oregon",1,"(D)","(D)",1,"(D)","(D)",-,-,-
339,"d","Washington",3,356400,211230,3,356400,211230,-,-,-
339,"c",""
339,"c","--continued"
