346,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
346,"t","Table 37.  Organic Grapes Value of Sales by Utilization – Certified Organic Farms:  2014"
346,"t","[For meaning of abbreviations and symbols, see introductory text.]"
346,"h","","","","","","","","","",""
346,"h","","Total","Total","Total","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
346,"h","","","","","","","","","",""
346,"h","Crop and geographic area","Farms","Tons","Dollars","Farms","Tons","Dollars","Farms","Tons","Dollars"
346,"h","","","","","","","","","",""
346,"d","ALL GRAPES",,,,,,,,,
346,"d","",,,,,,,,,
346,"d","United States",756,103560,195288593,745,98763,188205067,52,4796,7083526
346,"d","",,,,,,,,,
346,"d","Arizona",2,"(D)","(D)",2,"(D)","(D)",-,-,-
346,"d","California",508,85861,177492488,501,"(D)","(D)",42,"(D)","(D)"
346,"d","Colorado",5,31,117305,5,31,117305,-,-,-
346,"d","Connecticut",4,1,1782,4,1,1782,-,-,-
346,"d","Florida",8,"(D)","(D)",8,"(D)","(D)",2,"(D)","(D)"
346,"d","",,,,,,,,,
346,"d","Georgia",12,"(D)","(D)",12,"(D)","(D)",-,-,-
346,"d","Idaho",4,2,8800,4,2,8800,-,-,-
346,"d","Illinois",3,"(D)","(D)",3,"(D)","(D)",-,-,-
346,"d","Iowa",1,"(D)","(D)",1,"(D)","(D)",-,-,-
346,"d","Kentucky",3,"(D)",3436,2,"(D)","(D)",1,"(D)","(D)"
346,"d","",,,,,,,,,
346,"d","Maine",4,"(D)","(D)",4,"(D)","(D)",-,-,-
346,"d","Maryland",3,"(D)","(D)",3,"(D)","(D)",3,"(Z)",30
346,"d","Massachusetts",6,"(D)",80466,6,"(D)",80466,-,-,-
346,"d","Michigan",9,2,8865,9,2,8865,-,-,-
346,"d","Minnesota",6,"(D)","(D)",5,"(D)",2016,1,"(D)","(D)"
346,"d","",,,,,,,,,
346,"d","Montana",2,"(D)","(D)",2,"(D)","(D)",-,-,-
346,"d","Nevada",3,"(Z)",450,3,"(Z)",450,-,-,-
346,"d","New Mexico",7,5,5088,7,5,5088,-,-,-
346,"d","New York",19,705,"(D)",19,705,"(D)",-,-,-
346,"d","North Carolina",4,18,"(D)",4,18,"(D)",-,-,-
346,"d","",,,,,,,,,
346,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)",-,-,-
346,"d","Oklahoma",2,"(D)","(D)",2,"(D)","(D)",-,-,-
346,"d","Oregon",53,"(D)",9075007,53,"(D)",9075007,-,-,-
346,"d","South Carolina",4,2,3024,4,2,3024,-,-,-
346,"d","Vermont",7,"(Z)",2442,7,"(Z)",2442,-,-,-
346,"d","",,,,,,,,,
346,"d","Virginia",4,17,68524,4,17,68524,-,-,-
346,"d","Washington",62,13559,"(D)",62,"(D)","(D)",1,"(D)","(D)"
346,"d","Wisconsin",9,2,7140,7,"(D)","(D)",2,"(D)","(D)"
346,"d","",,,,,,,,,
346,"d","FRESH, TABLE USE",,,,,,,,,
346,"d","",,,,,,,,,
346,"d","United States",217,23504,59474547,217,"(D)","(D)",7,"(D)","(D)"
346,"d","",,,,,,,,,
346,"d","Arizona",2,"(D)","(D)",2,"(D)","(D)",-,-,-
346,"d","California",92,"(D)",58566266,92,"(D)","(D)",2,"(D)","(D)"
346,"d","Colorado",2,"(D)","(D)",2,"(D)","(D)",-,-,-
346,"d","Florida",8,"(D)","(D)",8,"(D)","(D)",2,"(D)","(D)"
346,"d","Georgia",10,3,"(D)",10,3,"(D)",-,-,-
346,"d","",,,,,,,,,
346,"d","Idaho",4,2,8800,4,2,8800,-,-,-
346,"d","Illinois",3,"(D)","(D)",3,"(D)","(D)",-,-,-
346,"d","Kentucky",2,"(D)","(D)",2,"(D)","(D)",-,-,-
346,"d","Maine",4,"(D)","(D)",4,"(D)","(D)",-,-,-
346,"d","Maryland",3,"(D)","(D)",3,"(D)","(D)",3,"(Z)",30
346,"d","",,,,,,,,,
346,"d","Massachusetts",2,"(D)","(D)",2,"(D)","(D)",-,-,-
346,"d","Michigan",9,"(D)","(D)",9,"(D)","(D)",-,-,-
346,"d","Minnesota",3,"(D)","(D)",3,"(D)","(D)",-,-,-
346,"d","Nevada",3,"(Z)",450,3,"(Z)",450,-,-,-
346,"d","New Mexico",4,"(Z)",340,4,"(Z)",340,-,-,-
346,"d","",,,,,,,,,
346,"d","New York",11,73,301675,11,73,301675,-,-,-
346,"d","North Carolina",2,"(D)","(D)",2,"(D)","(D)",-,-,-
346,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)",-,-,-
346,"d","Oklahoma",2,"(D)","(D)",2,"(D)","(D)",-,-,-
346,"d","Oregon",20,"(D)","(D)",20,"(D)","(D)",-,-,-
346,"d","",,,,,,,,,
346,"d","South Carolina",4,2,3024,4,2,3024,-,-,-
346,"d","Vermont",2,"(D)","(D)",2,"(D)","(D)",-,-,-
346,"d","Washington",16,"(D)","(D)",16,"(D)","(D)",-,-,-
346,"d","Wisconsin",7,1,4740,7,1,4740,-,-,-
346,"c",""
346,"c","--continued"
