363,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
363,"t","Table 38.  Organic Field Crops Harvested and Value of Sales – Certified Organic Farms:  2014 (continued)"
363,"t","[For meaning of abbreviations and symbols, see introductory text.]"
363,"h","","","","","","",""
363,"h","","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con."
363,"h","","","","","","",""
363,"h","","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
363,"h","","","","","","",""
363,"h","Crop and geographic area","Farms","Quantity","Dollars","Farms","Quantity","Dollars"
363,"h","","","","","","",""
363,"d","HAY, ALL OTHER DRY (TONS) - Con.",,,,,,
363,"d","",,,,,,
363,"d","Kansas",5,"(D)","(D)",3,"(D)",22700
363,"d","Kentucky",7,"(D)","(D)",4,"(D)","(D)"
363,"d","Louisiana",-,-,-,-,-,-
363,"d","Maine",53,3038,"(D)",20,1712,"(D)"
363,"d","Maryland",12,"(D)","(D)",4,"(D)","(D)"
363,"d","",,,,,,
363,"d","Massachusetts",24,"(D)","(D)",10,849,86381
363,"d","Michigan",22,"(D)","(D)",12,"(D)","(D)"
363,"d","Minnesota",57,3554,413614,36,4317,305775
363,"d","Mississippi",-,-,-,-,-,-
363,"d","Missouri",20,"(D)","(D)",8,"(D)","(D)"
363,"d","",,,,,,
363,"d","Montana",8,3735,565105,6,350,48000
363,"d","Nebraska",4,"(D)","(D)",3,1113,83000
363,"d","New Hampshire",8,"(D)","(D)",-,-,-
363,"d","New Jersey",6,"(D)","(D)",2,"(D)","(D)"
363,"d","New Mexico",1,"(D)","(D)",1,"(D)","(D)"
363,"d","",,,,,,
363,"d","New York",135,"(D)","(D)",48,"(D)","(D)"
363,"d","North Carolina",4,"(D)","(D)",2,"(D)","(D)"
363,"d","North Dakota",9,945,116982,4,560,39104
363,"d","Ohio",58,4975,"(D)",22,1595,"(D)"
363,"d","Oklahoma",3,"(D)","(D)",-,-,-
363,"d","",,,,,,
363,"d","Oregon",35,7981,1794162,9,"(D)","(D)"
363,"d","Pennsylvania",81,"(D)","(D)",29,1957,188241
363,"d","Rhode Island",2,"(D)","(D)",-,-,-
363,"d","South Carolina",6,146,"(D)",4,"(D)","(D)"
363,"d","South Dakota",10,"(D)","(D)",3,368,27508
363,"d","",,,,,,
363,"d","Tennessee",1,"(D)","(D)",-,-,-
363,"d","Texas",12,5782,780490,3,528,37100
363,"d","Utah",1,"(D)","(D)",-,-,-
363,"d","Vermont",62,7312,1253878,31,"(D)","(D)"
363,"d","Virginia",9,"(D)","(D)",4,"(D)","(D)"
363,"d","",,,,,,
363,"d","Washington",29,1996,408525,9,623,106882
363,"d","West Virginia",-,-,-,-,-,-
363,"d","Wisconsin",75,10662,1365126,35,2444,"(D)"
363,"d","Wyoming",8,1499,241090,-,-,-
363,"d","",,,,,,
363,"d","HAYLAGE, OTHER SILAGE OR",,,,,,
363,"d"," GREENCHOP (TONS)",,,,,,
363,"d","",,,,,,
363,"d","United States",373,"(D)","(D)",95,"(D)","(D)"
363,"d","",,,,,,
363,"d","Arizona",2,"(D)","(D)",-,-,-
363,"d","California",17,44103,4622781,-,-,-
363,"d","Colorado",2,"(D)","(D)",-,-,-
363,"d","Idaho",3,1060,"(D)",-,-,-
363,"d","Illinois",1,"(D)","(D)",-,-,-
363,"d","",,,,,,
363,"d","Indiana",3,712,96156,-,-,-
363,"d","Iowa",17,2923,458533,11,4145,425401
363,"d","Kansas",-,-,-,-,-,-
363,"d","Kentucky",-,-,-,-,-,-
363,"d","Maine",11,2749,340876,8,3199,306896
363,"d","",,,,,,
363,"d","Maryland",4,"(D)","(D)",-,-,-
363,"d","Massachusetts",-,-,-,-,-,-
363,"d","Michigan",5,932,82970,-,-,-
363,"d","Minnesota",18,4961,573657,12,1692,129193
363,"d","Missouri",2,"(D)","(D)",-,-,-
363,"d","",,,,,,
363,"d","Nebraska",2,"(D)","(D)",-,-,-
363,"d","Nevada",1,"(D)","(D)",1,"(D)","(D)"
363,"d","New Hampshire",2,"(D)","(D)",-,-,-
363,"d","New York",104,36749,4523106,18,5703,558241
363,"d","North Carolina",-,-,-,-,-,-
363,"c",""
363,"c","--continued"
