378,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
378,"t","Table 38.  Organic Field Crops Harvested and Value of Sales – Certified Organic Farms:  2014 (continued)"
378,"t","[For meaning of abbreviations and symbols, see introductory text.]"
378,"h","","","","","","",""
378,"h","","","","","Value of sales","Value of sales","Value of sales"
378,"h","","","","","","",""
378,"h","","Harvested","Harvested","Harvested","Total","Total","Total"
378,"h","","","","","","",""
378,"h","Crop and geographic area","Farms","Acres","Quantity","Farms","Quantity","Dollars"
378,"h","","","","","","",""
378,"d","WHEAT, WINTER FOR GRAIN OR",,,,,,
378,"d"," SEED (BUSHELS) - Con.",,,,,,
378,"d","",,,,,,
378,"d","South Dakota",12,4400,112282,12,"(D)","(D)"
378,"d","Tennessee",3,"(D)","(D)",1,"(D)","(D)"
378,"d","Texas",19,2412,72375,17,71436,1035508
378,"d","Utah",25,31693,509601,25,478549,6676821
378,"d","Vermont",10,"(D)","(D)",10,6450,89986
378,"d","",,,,,,
378,"d","Virginia",17,1772,79835,17,79595,1051423
378,"d","Washington",14,1879,145245,14,144685,2062156
378,"d","Wisconsin",87,2481,116149,72,98356,991240
378,"d","Wyoming",32,27055,846130,32,834230,8172222
378,"d","",,,,,,
378,"d","OTHER FIELD CROPS (SEE TEXT)",,,,,,
378,"d","",,,,,,
378,"d","United States",408,36659,"(X)",350,"(X)",53943221
378,"d","",,,,,,
378,"d","Arizona",3,560,"(X)",3,"(X)",943200
378,"d","California",31,1310,"(X)",31,"(X)",1448050
378,"d","Colorado",1,"(D)","(X)",1,"(X)","(D)"
378,"d","Florida",2,"(D)","(X)",2,"(X)","(D)"
378,"d","Hawaii",6,27,"(X)",6,"(X)","(D)"
378,"d","",,,,,,
378,"d","Illinois",2,"(D)","(X)",-,"(X)",-
378,"d","Indiana",11,211,"(X)",7,"(X)",32570
378,"d","Iowa",2,"(D)","(X)",2,"(X)","(D)"
378,"d","Kansas",4,95,"(X)",3,"(X)",16104
378,"d","Kentucky",12,75,"(X)",12,"(X)",436570
378,"d","",,,,,,
378,"d","Maine",7,118,"(X)",7,"(X)",89330
378,"d","Maryland",5,18,"(X)",5,"(X)",8013
378,"d","Michigan",7,620,"(X)",7,"(X)",475217
378,"d","Minnesota",14,633,"(X)",9,"(X)",153667
378,"d","Missouri",2,"(D)","(X)",2,"(X)","(D)"
378,"d","",,,,,,
378,"d","Montana",15,7864,"(X)",15,"(X)",2008854
378,"d","Nebraska",4,"(D)","(X)",4,"(X)","(D)"
378,"d","New Jersey",1,"(D)","(X)",1,"(X)","(D)"
378,"d","New Mexico",4,2002,"(X)",4,"(X)",438366
378,"d","New York",47,2867,"(X)",41,"(X)",1369061
378,"d","",,,,,,
378,"d","North Carolina",52,3014,"(X)",52,"(X)",20500784
378,"d","North Dakota",4,794,"(X)",4,"(X)","(D)"
378,"d","Ohio",34,560,"(X)",22,"(X)",115555
378,"d","Oregon",16,590,"(X)",16,"(X)",304432
378,"d","Pennsylvania",50,1009,"(X)",29,"(X)",640831
378,"d","",,,,,,
378,"d","South Dakota",2,"(D)","(X)",2,"(X)","(D)"
378,"d","Tennessee",3,26,"(X)",3,"(X)",211000
378,"d","Texas",5,2516,"(X)",5,"(X)",2439014
378,"d","Utah",2,"(D)","(X)",1,"(X)","(D)"
378,"d","Vermont",4,253,"(X)",2,"(X)","(D)"
378,"d","",,,,,,
378,"d","Virginia",39,1780,"(X)",38,"(X)",14061874
378,"d","Washington",9,"(D)","(X)",9,"(X)",251962
378,"d","Wisconsin",8,443,"(X)",5,"(X)",156545
378,"c",""
378,"c","--continued"
