383,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
383,"t","Table 40.  Organic Cut Christmas Trees Produced and Value of Sales – Certified Organic Farms:  2014"
383,"t","[For meaning of abbreviations and symbols, see introductory text.]"
383,"h","","","","","",""
383,"h","","Acres in production","Acres in production","Harvested","Harvested","Harvested"
383,"h","","","","","",""
383,"h","","","","","Number of","Value of sales"
383,"h","Geographic area","Farms","Acres","Farms","trees cut","(dollars)"
383,"h","","","","","",""
383,"d","United States",13,103,13,2286,83495
383,"d","",,,,,
383,"d","California",2,"(D)",2,"(D)","(D)"
383,"d","Massachusetts",4,7,4,468,27360
383,"d","New Jersey",1,"(D)",1,"(D)","(D)"
383,"d","New York",2,"(D)",2,"(D)","(D)"
383,"d","Ohio",1,"(D)",1,"(D)","(D)"
383,"d","",,,,,
383,"d","Oregon",1,"(D)",1,"(D)","(D)"
383,"d","Washington",2,"(D)",2,"(D)","(D)"
383,"c",""
