389,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
389,"t","Table 42.  Organic Livestock and Poultry Inventory and Sales – Certified Organic Farms:  2014 (continued)"
389,"t","[For meaning of abbreviations and symbols, see introductory text.]"
389,"h","","","","","","",""
389,"h","","","","","Value of sales","Value of sales","Value of sales"
389,"h","","","","","","",""
389,"h","","Inventory","Inventory","Inventory","Total","Total","Total"
389,"h","","","","","","",""
389,"h","","","","December 31,","","",""
389,"h","Commodity and geographic area","Farms","Peak","2014","Farms","Quantity","Dollars"
389,"h","","","","","","",""
389,"d","OTHER ORGANIC CATTLE AND",,,,,,
389,"d"," CALVES (SEE TEXT) - Con.",,,,,,
389,"d","",,,,,,
389,"d","North Carolina",15,552,401,13,498,503391
389,"d","North Dakota",3,"(D)",66,1,"(D)","(D)"
389,"d","Ohio",222,6142,5018,187,"(D)","(D)"
389,"d","Oklahoma",3,533,"(D)",3,304,401625
389,"d","Oregon",69,23284,17024,66,13603,11310888
389,"d","",,,,,,
389,"d","Pennsylvania",308,"(D)",9898,292,"(D)","(D)"
389,"d","South Carolina",2,"(D)","(D)",2,"(D)","(D)"
389,"d","South Dakota",9,752,403,9,581,765293
389,"d","Tennessee",3,"(D)","(D)",3,"(D)","(D)"
389,"d","Texas",9,"(D)","(D)",9,"(D)","(D)"
389,"d","",,,,,,
389,"d","Utah",6,292,276,4,"(D)","(D)"
389,"d","Vermont",192,10648,9463,148,"(D)","(D)"
389,"d","Virginia",24,2237,1727,24,1235,887551
389,"d","Washington",51,6165,5007,49,3981,2221699
389,"d","West Virginia",1,"(D)","(D)",1,"(D)","(D)"
389,"d","",,,,,,
389,"d","Wisconsin",507,28337,24461,476,16350,10428989
389,"d","Wyoming",13,3068,495,13,2539,3583500
389,"d","",,,,,,
389,"d","HOGS AND PIGS",,,,,,
389,"d","",,,,,,
389,"d","United States",201,12798,8524,177,16042,4986140
389,"d","",,,,,,
389,"d","California",4,1083,"(D)",4,1951,586459
389,"d","Colorado",2,"(D)","(D)",2,"(D)","(D)"
389,"d","Florida",2,"(D)","(D)",2,"(D)","(D)"
389,"d","Idaho",1,"(D)","(D)",1,"(D)","(D)"
389,"d","Illinois",8,"(D)","(D)",8,"(D)","(D)"
389,"d","",,,,,,
389,"d","Indiana",5,220,"(D)",5,"(D)",75520
389,"d","Iowa",14,4274,3398,12,5380,1599273
389,"d","Kansas",4,"(D)","(D)",2,"(D)","(D)"
389,"d","Kentucky",2,"(D)","(D)",2,"(D)","(D)"
389,"d","Maine",19,239,114,17,225,63872
389,"d","",,,,,,
389,"d","Massachusetts",8,408,150,8,362,122814
389,"d","Michigan",7,178,"(D)",4,"(D)","(D)"
389,"d","Minnesota",8,152,114,6,142,36314
389,"d","Montana",10,351,185,10,355,111356
389,"d","Nebraska",4,"(D)",94,2,"(D)","(D)"
389,"d","",,,,,,
389,"d","New Hampshire",3,27,-,2,"(D)","(D)"
389,"d","New York",25,757,412,24,1370,365784
389,"d","North Carolina",4,"(D)","(D)",4,"(D)",14552
389,"d","North Dakota",2,"(D)",-,-,-,-
389,"d","Ohio",7,"(D)","(D)",7,"(D)","(D)"
389,"d","",,,,,,
389,"d","Oregon",2,"(D)","(D)",-,-,-
389,"d","Pennsylvania",12,"(D)",92,11,"(D)","(D)"
389,"d","Utah",2,"(D)","(D)",2,"(D)","(D)"
389,"d","Vermont",12,271,"(D)",11,370,129604
389,"d","Washington",3,300,"(D)",3,318,101176
389,"d","Wisconsin",31,2561,1265,28,"(D)","(D)"
389,"d","",,,,,,
389,"d","SHEEP AND LAMBS",,,,,,
389,"d","",,,,,,
389,"d","United States",141,11370,8731,118,5573,1243253
389,"d","",,,,,,
389,"d","California",12,3252,2764,7,"(D)","(D)"
389,"d","Colorado",3,115,41,3,73,15200
389,"d","Florida",2,"(D)","(D)",2,"(D)","(D)"
389,"d","Georgia",2,"(D)","(D)",-,-,-
389,"d","Hawaii",1,"(D)",-,-,-,-
389,"d","",,,,,,
389,"d","Illinois",4,"(D)","(D)",4,"(D)",44461
389,"d","Iowa",5,419,"(D)",3,181,26350
389,"c",""
389,"c","--continued"
