405,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
405,"t","Table 46.  Organic Production Expenses – Certified Organic Farms:  2014"
405,"t","[For meaning of abbreviations and symbols, see introductory text.]"
405,"h","","","","","","","",""
405,"h","Item","","United States","Alabama","Alaska","Arizona","Arkansas","California"
405,"h","","","","","","","",""
405,"d","Total organic production expenses","farms",12634,15,7,61,26,2632
405,"d","","$1,000",3949342,909,709,55269,"(D)",1727720
405,"d","    Average per farm","dollars",312596,60569,101354,906056,"(D)",656429
405,"d","","",,,,,,
405,"d","  Organic certification expense","farms",12634,15,7,61,26,2632
405,"d","","$1,000",19162,17,15,198,23,5527
405,"d","  Fertilizer, lime, and soil conditioners","farms",8465,11,7,51,19,1929
405,"d","","$1,000",203513,101,56,5308,"(D)",98397
405,"d","  Agricultural chemicals, beneficial insects,","",,,,,,
405,"d","   and other organic materials for pest","",,,,,,
405,"d","   control","farms",5181,10,4,45,15,1481
405,"d","","$1,000",77814,"(D)","(Z)",2433,"(D)",44390
405,"d","  Gasoline, diesel, fuels, and oils","",,,,,,
405,"d","   purchased for the farm business","farms",11829,13,7,59,25,2379
405,"d","","$1,000",175114,72,11,3961,40,66347
405,"d","  Seed, plants, vines, trees, etc.","",,,,,,
405,"d","   purchased","farms",8558,10,7,54,19,1479
405,"d","","$1,000",164017,24,25,5005,"(D)",83738
405,"d","","",,,,,,
405,"d","  Hired agricultural labor including","",,,,,,
405,"d","   contract labor (include wages","",,,,,,
405,"d","   and benefit expenses)","farms",8019,6,7,48,22,2081
405,"d","","$1,000",916269,160,"(D)",12266,911,484557
405,"d","  Livestock purchased or leased","",,,,,,
405,"d","   (see text)","farms",1532,1,-,-,4,101
405,"d","","$1,000",108160,"(D)",-,-,"(D)",24815
405,"d","  Feed purchased for livestock and","",,,,,,
405,"d","   poultry","farms",3199,1,-,2,4,223
405,"d","","$1,000",926914,"(D)",-,"(D)","(D)",297629
405,"d","  Interest paid on all debt related to the","",,,,,,
405,"d","   farm business","farms",5945,8,2,27,12,975
405,"d","","$1,000",111573,145,"(D)",408,"(D)",36616
405,"d","  Property taxes paid in 2014","farms",10026,15,5,32,21,2036
405,"d","","$1,000",65807,10,"(D)","(D)",15,25237
405,"d","","",,,,,,
405,"d","  Rent and lease expenses for land,","",,,,,,
405,"d","   buildings, machinery, etc. - including","",,,,,,
405,"d","   grazing fees","farms",5327,6,2,35,11,967
405,"d","","$1,000",218651,38,"(D)",7117,77,100471
405,"d","  Customwork such as custom","",,,,,,
405,"d","   hauling, custom planting, custom","",,,,,,
405,"d","   harvesting, etc.","farms",5288,5,-,34,7,1027
405,"d","","$1,000",199802,7,-,3224,"(D)",139122
405,"d","  Repairs, supplies, and maintenance","",,,,,,
405,"d","   costs","farms",11142,13,7,50,22,2268
405,"d","","$1,000",257216,30,204,4700,709,92878
405,"d","  Utilities expense (including water","",,,,,,
405,"d","   purchased)","farms",9175,11,5,51,20,2269
405,"d","","$1,000",155077,74,20,2497,118,71304
405,"d","  All other production expenses - Include","",,,,,,
405,"d","   animal health cost, storage, marketing","",,,,,,
405,"d","   expenses, etc. (see text)","farms",7452,8,7,29,20,1409
405,"d","","$1,000",350252,47,191,4091,"(D)",156692
405,"c",""
405,"c","--continued"
