406,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
406,"t","Table 46.  Organic Production Expenses – Certified Organic Farms:  2014 (continued)"
406,"t","[For meaning of abbreviations and symbols, see introductory text.]"
406,"h","","","","","","","",""
406,"h","Item","","Colorado","Connecticut","Delaware","Florida","Georgia","Hawaii"
406,"h","","","","","","","",""
406,"d","Total organic production expenses","farms",134,78,6,146,86,121
406,"d","","$1,000",111563,3430,186,44073,8769,8336
406,"d","    Average per farm","dollars",832559,43977,30921,301868,101969,68893
406,"d","","",,,,,,
406,"d","  Organic certification expense","farms",134,78,6,146,86,121
406,"d","","$1,000",258,44,4,215,136,133
406,"d","  Fertilizer, lime, and soil conditioners","farms",86,62,6,112,64,100
406,"d","","$1,000",2896,118,9,3367,865,679
406,"d","  Agricultural chemicals, beneficial insects,","",,,,,,
406,"d","   and other organic materials for pest","",,,,,,
406,"d","   control","farms",66,41,5,90,51,65
406,"d","","$1,000",576,"(D)","(D)",2083,456,86
406,"d","  Gasoline, diesel, fuels, and oils","",,,,,,
406,"d","   purchased for the farm business","farms",123,74,6,121,80,100
406,"d","","$1,000",3364,185,19,2156,"(D)",399
406,"d","  Seed, plants, vines, trees, etc.","",,,,,,
406,"d","   purchased","farms",110,69,6,96,63,59
406,"d","","$1,000",2036,140,21,1092,344,299
406,"d","","",,,,,,
406,"d","  Hired agricultural labor including","",,,,,,
406,"d","   contract labor (include wages","",,,,,,
406,"d","   and benefit expenses)","farms",112,32,4,112,63,70
406,"d","","$1,000",12684,"(D)","(D)",20583,3194,4111
406,"d","  Livestock purchased or leased","",,,,,,
406,"d","   (see text)","farms",10,5,-,2,-,2
406,"d","","$1,000","(D)","(D)",-,"(D)",-,"(D)"
406,"d","  Feed purchased for livestock and","",,,,,,
406,"d","   poultry","farms",16,12,-,4,10,5
406,"d","","$1,000","(D)",217,-,"(D)",29,"(D)"
406,"d","  Interest paid on all debt related to the","",,,,,,
406,"d","   farm business","farms",90,27,1,53,31,32
406,"d","","$1,000",7315,102,"(D)",1091,275,130
406,"d","  Property taxes paid in 2014","farms",115,61,6,112,60,66
406,"d","","$1,000",636,177,4,1206,408,95
406,"d","","",,,,,,
406,"d","  Rent and lease expenses for land,","",,,,,,
406,"d","   buildings, machinery, etc. - including","",,,,,,
406,"d","   grazing fees","farms",63,20,1,43,22,47
406,"d","","$1,000",1954,162,"(D)",1737,"(D)",364
406,"d","  Customwork such as custom","",,,,,,
406,"d","   hauling, custom planting, custom","",,,,,,
406,"d","   harvesting, etc.","farms",54,13,3,54,25,28
406,"d","","$1,000",2457,46,"(D)",1200,208,49
406,"d","  Repairs, supplies, and maintenance","",,,,,,
406,"d","   costs","farms",126,73,6,128,76,99
406,"d","","$1,000",4928,371,24,2885,428,519
406,"d","  Utilities expense (including water","",,,,,,
406,"d","   purchased)","farms",117,61,6,107,61,92
406,"d","","$1,000",4738,164,18,1706,177,433
406,"d","  All other production expenses - Include","",,,,,,
406,"d","   animal health cost, storage, marketing","",,,,,,
406,"d","   expenses, etc. (see text)","farms",100,59,1,90,48,60
406,"d","","$1,000",6869,264,"(D)",4663,1657,1033
406,"c",""
406,"c","--continued"
