407,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
407,"t","Table 46.  Organic Production Expenses – Certified Organic Farms:  2014 (continued)"
407,"t","[For meaning of abbreviations and symbols, see introductory text.]"
407,"h","","","","","","","",""
407,"h","Item","","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky"
407,"h","","","","","","","",""
407,"d","Total organic production expenses","farms",151,215,251,593,77,86
407,"d","","$1,000",50349,31657,41644,64632,10310,4680
407,"d","    Average per farm","dollars",333435,147240,165911,108991,133890,54416
407,"d","","",,,,,,
407,"d","  Organic certification expense","farms",151,215,251,593,77,86
407,"d","","$1,000",244,271,300,685,96,33
407,"d","  Fertilizer, lime, and soil conditioners","farms",90,144,172,347,46,65
407,"d","","$1,000","(D)",2475,1384,3788,"(D)",492
407,"d","  Agricultural chemicals, beneficial insects,","",,,,,,
407,"d","   and other organic materials for pest","",,,,,,
407,"d","   control","farms",52,71,46,107,10,45
407,"d","","$1,000",668,183,51,178,"(D)",57
407,"d","  Gasoline, diesel, fuels, and oils","",,,,,,
407,"d","   purchased for the farm business","farms",142,202,227,570,65,70
407,"d","","$1,000",2694,1732,1521,3626,744,272
407,"d","  Seed, plants, vines, trees, etc.","",,,,,,
407,"d","   purchased","farms",110,166,169,458,63,66
407,"d","","$1,000",1187,1749,925,4070,1080,247
407,"d","","",,,,,,
407,"d","  Hired agricultural labor including","",,,,,,
407,"d","   contract labor (include wages","",,,,,,
407,"d","   and benefit expenses)","farms",108,151,80,307,42,39
407,"d","","$1,000",5295,4560,6308,"(D)","(D)",584
407,"d","  Livestock purchased or leased","",,,,,,
407,"d","   (see text)","farms",17,35,53,105,1,11
407,"d","","$1,000","(D)","(D)",1845,3125,"(D)",221
407,"d","  Feed purchased for livestock and","",,,,,,
407,"d","   poultry","farms",25,47,134,179,2,33
407,"d","","$1,000","(D)",7309,21931,"(D)","(D)",1488
407,"d","  Interest paid on all debt related to the","",,,,,,
407,"d","   farm business","farms",78,116,140,312,33,31
407,"d","","$1,000","(D)",1347,1398,3069,301,187
407,"d","  Property taxes paid in 2014","farms",134,168,174,496,60,65
407,"d","","$1,000",1228,"(D)",638,1742,256,80
407,"d","","",,,,,,
407,"d","  Rent and lease expenses for land,","",,,,,,
407,"d","   buildings, machinery, etc. - including","",,,,,,
407,"d","   grazing fees","farms",72,102,112,245,33,24
407,"d","","$1,000",2712,4560,680,6008,685,91
407,"d","  Customwork such as custom","",,,,,,
407,"d","   hauling, custom planting, custom","",,,,,,
407,"d","   harvesting, etc.","farms",69,115,129,349,35,31
407,"d","","$1,000",1084,"(D)",349,1975,265,56
407,"d","  Repairs, supplies, and maintenance","",,,,,,
407,"d","   costs","farms",138,193,223,526,67,71
407,"d","","$1,000",3820,2069,2116,4982,870,502
407,"d","  Utilities expense (including water","",,,,,,
407,"d","   purchased)","farms",122,156,100,359,55,60
407,"d","","$1,000","(D)",679,468,1341,311,147
407,"d","  All other production expenses - Include","",,,,,,
407,"d","   animal health cost, storage, marketing","",,,,,,
407,"d","   expenses, etc. (see text)","farms",101,131,149,303,47,55
407,"d","","$1,000",3575,"(D)",1729,2065,292,223
407,"c",""
407,"c","--continued"
