408,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
408,"t","Table 46.  Organic Production Expenses – Certified Organic Farms:  2014 (continued)"
408,"t","[For meaning of abbreviations and symbols, see introductory text.]"
408,"h","","","","","","","",""
408,"h","Item","","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota"
408,"h","","","","","","","",""
408,"d","Total organic production expenses","farms",14,444,110,131,288,475
408,"d","","$1,000",2190,35305,12300,22940,88223,61681
408,"d","    Average per farm","dollars",156409,79515,111819,175111,306330,129855
408,"d","","",,,,,,
408,"d","  Organic certification expense","farms",14,444,110,131,288,475
408,"d","","$1,000",20,372,61,130,429,718
408,"d","  Fertilizer, lime, and soil conditioners","farms",3,268,73,106,190,290
408,"d","","$1,000","(D)",1002,725,662,3358,4975
408,"d","  Agricultural chemicals, beneficial insects,","",,,,,,
408,"d","   and other organic materials for pest","",,,,,,
408,"d","   control","farms",2,177,68,67,82,145
408,"d","","$1,000","(D)",179,58,267,104,"(D)"
408,"d","  Gasoline, diesel, fuels, and oils","",,,,,,
408,"d","   purchased for the farm business","farms",14,397,110,122,278,468
408,"d","","$1,000",389,2704,634,643,3557,4431
408,"d","  Seed, plants, vines, trees, etc.","",,,,,,
408,"d","   purchased","farms",5,250,80,97,206,365
408,"d","","$1,000","(D)",625,666,1038,2534,4041
408,"d","","",,,,,,
408,"d","  Hired agricultural labor including","",,,,,,
408,"d","   contract labor (include wages","",,,,,,
408,"d","   and benefit expenses)","farms",6,265,75,92,134,315
408,"d","","$1,000",837,7990,3506,7941,6697,7800
408,"d","  Livestock purchased or leased","",,,,,,
408,"d","   (see text)","farms",4,53,12,11,42,74
408,"d","","$1,000",8,327,6,"(D)",6099,"(D)"
408,"d","  Feed purchased for livestock and","",,,,,,
408,"d","   poultry","farms",4,123,27,24,62,161
408,"d","","$1,000",90,10661,"(D)",3975,"(D)",9536
408,"d","  Interest paid on all debt related to the","",,,,,,
408,"d","   farm business","farms",5,141,33,52,144,262
408,"d","","$1,000",18,909,325,"(D)",4378,3900
408,"d","  Property taxes paid in 2014","farms",8,281,89,88,207,418
408,"d","","$1,000",28,946,404,521,1133,2052
408,"d","","",,,,,,
408,"d","  Rent and lease expenses for land,","",,,,,,
408,"d","   buildings, machinery, etc. - including","",,,,,,
408,"d","   grazing fees","farms",4,156,37,56,142,249
408,"d","","$1,000",33,1359,909,794,5317,6366
408,"d","  Customwork such as custom","",,,,,,
408,"d","   hauling, custom planting, custom","",,,,,,
408,"d","   harvesting, etc.","farms",4,113,41,42,129,275
408,"d","","$1,000",277,278,"(D)",333,"(D)",1707
408,"d","  Repairs, supplies, and maintenance","",,,,,,
408,"d","   costs","farms",8,373,94,105,266,437
408,"d","","$1,000",247,4260,1250,2049,5538,7406
408,"d","  Utilities expense (including water","",,,,,,
408,"d","   purchased)","farms",7,260,71,87,168,344
408,"d","","$1,000",38,969,"(D)",1025,1524,1976
408,"d","  All other production expenses - Include","",,,,,,
408,"d","   animal health cost, storage, marketing","",,,,,,
408,"d","   expenses, etc. (see text)","farms",5,249,59,73,153,284
408,"d","","$1,000","(D)",2724,902,3063,4550,5010
408,"c",""
408,"c","--continued"
