409,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
409,"t","Table 46.  Organic Production Expenses – Certified Organic Farms:  2014 (continued)"
409,"t","[For meaning of abbreviations and symbols, see introductory text.]"
409,"h","","","","","","","",""
409,"h","Item","","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire"
409,"h","","","","","","","",""
409,"d","Total organic production expenses","farms",8,184,138,166,45,112
409,"d","","$1,000",2818,31487,26088,52801,17873,14834
409,"d","    Average per farm","dollars",352192,171125,189046,318079,397169,132450
409,"d","","",,,,,,
409,"d","  Organic certification expense","farms",8,184,138,166,45,112
409,"d","","$1,000",17,255,312,280,100,73
409,"d","  Fertilizer, lime, and soil conditioners","farms",3,124,53,107,23,74
409,"d","","$1,000","(D)",1911,2395,2925,"(D)",164
409,"d","  Agricultural chemicals, beneficial insects,","",,,,,,
409,"d","   and other organic materials for pest","",,,,,,
409,"d","   control","farms",2,45,39,51,15,48
409,"d","","$1,000","(D)",33,34,"(D)","(D)",25
409,"d","  Gasoline, diesel, fuels, and oils","",,,,,,
409,"d","   purchased for the farm business","farms",8,174,132,164,42,109
409,"d","","$1,000",612,1334,3651,2206,"(D)",538
409,"d","  Seed, plants, vines, trees, etc.","",,,,,,
409,"d","   purchased","farms",6,134,105,126,35,73
409,"d","","$1,000",59,1221,2612,2580,"(D)",196
409,"d","","",,,,,,
409,"d","  Hired agricultural labor including","",,,,,,
409,"d","   contract labor (include wages","",,,,,,
409,"d","   and benefit expenses)","farms",4,94,76,84,24,57
409,"d","","$1,000",81,1904,"(D)",6057,1954,3166
409,"d","  Livestock purchased or leased","",,,,,,
409,"d","   (see text)","farms",-,29,22,11,-,16
409,"d","","$1,000",-,1648,677,"(D)",-,965
409,"d","  Feed purchased for livestock and","",,,,,,
409,"d","   poultry","farms",2,48,26,19,-,26
409,"d","","$1,000","(D)",15387,"(D)","(D)",-,6243
409,"d","  Interest paid on all debt related to the","",,,,,,
409,"d","   farm business","farms",4,121,83,99,26,28
409,"d","","$1,000",103,2082,1879,1278,"(D)",267
409,"d","  Property taxes paid in 2014","farms",8,169,120,143,40,68
409,"d","","$1,000",8,474,740,1681,"(D)",289
409,"d","","",,,,,,
409,"d","  Rent and lease expenses for land,","",,,,,,
409,"d","   buildings, machinery, etc. - including","",,,,,,
409,"d","   grazing fees","farms",2,55,81,70,17,29
409,"d","","$1,000","(D)",1047,4068,3562,919,325
409,"d","  Customwork such as custom","",,,,,,
409,"d","   hauling, custom planting, custom","",,,,,,
409,"d","   harvesting, etc.","farms",2,67,63,76,9,18
409,"d","","$1,000","(D)",406,1490,1338,132,132
409,"d","  Repairs, supplies, and maintenance","",,,,,,
409,"d","   costs","farms",8,160,115,148,35,88
409,"d","","$1,000",87,1933,2051,2908,"(D)",873
409,"d","  Utilities expense (including water","",,,,,,
409,"d","   purchased)","farms",7,129,93,126,44,64
409,"d","","$1,000",97,545,766,1172,"(D)",330
409,"d","  All other production expenses - Include","",,,,,,
409,"d","   animal health cost, storage, marketing","",,,,,,
409,"d","   expenses, etc. (see text)","farms",4,80,91,98,31,69
409,"d","","$1,000",7,1307,"(D)","(D)",11067,1248
409,"c",""
409,"c","--continued"
