411,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
411,"t","Table 46.  Organic Production Expenses – Certified Organic Farms:  2014 (continued)"
411,"t","[For meaning of abbreviations and symbols, see introductory text.]"
411,"h","","","","","","",""
411,"h","Item","","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina"
411,"h","","","","","","",""
411,"d","Total organic production expenses","farms",35,455,653,23,35
411,"d","","$1,000",2252,185463,231130,"(D)",7152
411,"d","    Average per farm","dollars",64331,407610,353950,"(D)",204341
411,"d","","",,,,,
411,"d","  Organic certification expense","farms",35,455,653,23,35
411,"d","","$1,000",12,747,1073,8,48
411,"d","  Fertilizer, lime, and soil conditioners","farms",20,299,513,18,30
411,"d","","$1,000",19,6133,11617,50,758
411,"d","  Agricultural chemicals, beneficial insects,","",,,,,
411,"d","   and other organic materials for pest","",,,,,
411,"d","   control","farms",17,244,226,15,30
411,"d","","$1,000",18,1689,1783,3,717
411,"d","  Gasoline, diesel, fuels, and oils","",,,,,
411,"d","   purchased for the farm business","farms",26,430,613,23,32
411,"d","","$1,000",169,7819,8905,12,129
411,"d","  Seed, plants, vines, trees, etc.","",,,,,
411,"d","   purchased","farms",18,292,496,23,24
411,"d","","$1,000",59,8186,6810,"(D)",827
411,"d","","",,,,,
411,"d","  Hired agricultural labor including","",,,,,
411,"d","   contract labor (include wages","",,,,,
411,"d","   and benefit expenses)","farms",18,336,352,13,21
411,"d","","$1,000",747,44590,40630,20,"(D)"
411,"d","  Livestock purchased or leased","",,,,,
411,"d","   (see text)","farms",2,27,187,4,-
411,"d","","$1,000","(D)",1533,12077,"(Z)",-
411,"d","  Feed purchased for livestock and","",,,,,
411,"d","   poultry","farms",6,69,348,4,-
411,"d","","$1,000","(D)",51841,86032,2,-
411,"d","  Interest paid on all debt related to the","",,,,,
411,"d","   farm business","farms",6,193,416,4,5
411,"d","","$1,000","(D)",4131,"(D)","(Z)",51
411,"d","  Property taxes paid in 2014","farms",28,370,483,7,24
411,"d","","$1,000",53,1651,4603,13,82
411,"d","","",,,,,
411,"d","  Rent and lease expenses for land,","",,,,,
411,"d","   buildings, machinery, etc. - including","",,,,,
411,"d","   grazing fees","farms",5,176,373,4,5
411,"d","","$1,000",17,16310,5265,2,3
411,"d","  Customwork such as custom","",,,,,
411,"d","   hauling, custom planting, custom","",,,,,
411,"d","   harvesting, etc.","farms",11,142,330,-,7
411,"d","","$1,000",36,4927,"(D)",-,9
411,"d","  Repairs, supplies, and maintenance","",,,,,
411,"d","   costs","farms",29,401,585,19,30
411,"d","","$1,000","(D)",11799,11829,24,"(D)"
411,"d","  Utilities expense (including water","",,,,,
411,"d","   purchased)","farms",19,381,406,19,25
411,"d","","$1,000",84,7396,7894,19,"(D)"
411,"d","  All other production expenses - Include","",,,,,
411,"d","   animal health cost, storage, marketing","",,,,,
411,"d","   expenses, etc. (see text)","farms",14,300,444,17,17
411,"d","","$1,000",85,16710,21846,181,101
411,"c",""
411,"c","--continued"
